agent,equity,cash,pnl,pnl_pct
CommitteeTeamAgent,100877.4,98181.1,877.4,0.008774
LowVolatilityAgent,100843.55,100843.55,843.55,0.0084355
TruthfulReporterAgent,99805.0,99805.0,-195.0,-0.00195
MeanReversionAgent,99472.32,4929.7,-527.68,-0.0052768
FreeRiderAgent,99219.8,97508.3,-780.2,-0.007802000000000001
ContrarianAgent,99133.0,85754.0,-867.0,-0.00867
SocialGraphAgent,98031.0,98031.0,-1969.0,-0.01969
DynamicTeamAgent,97320.4,93649.4,-2679.6,-0.026796
RandomAgent,96283.7,14437.7,-3716.3,-0.037163
PersuaderAgent,92990.0,38712.9,-7010.0,-0.0701
DrawdownBuyerAgent,92148.97,123.23,-7851.03,-0.07851029999999999
MomentumAgent,77652.5,49360.5,-22347.5,-0.223475
