agent,equity,cash,pnl,pnl_pct
PersuaderAgent,102137.88,95191.65,2137.88,0.0213788
MeanReversionAgent,101157.64,98840.62,1157.64,0.0115764
SocialGraphAgent,100730.79,99586.62,730.79,0.0073079
CommitteeTeamAgent,100672.53,94578.18,672.53,0.0067253
LowVolatilityAgent,100611.57,100531.93,611.57,0.006115700000000001
DynamicTeamAgent,100550.95,95957.21,550.95,0.0055095000000000005
FreeRiderAgent,100385.66,97486.02,385.66,0.0038566000000000004
RandomAgent,100147.54,92590.04,147.54,0.0014754
TruthfulReporterAgent,99988.58,99279.78,-11.42,-0.0001142
MomentumAgent,98635.19,90883.88,-1364.81,-0.0136481
ContrarianAgent,97827.46,97635.15,-2172.54,-0.0217254
DrawdownBuyerAgent,96581.77,16904.27,-3418.23,-0.0341823
