date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-08,MomentumAgent,600036,BUY,100,55.26,5526.0,22817.1,104105.3,4105.3,0.041053,BUY 100 600036 @ 55.26；5日涨幅5.46%，20日14.13%，强势趋势延续，追涨加仓。
2021-02-08,MeanReversionAgent,300750,SELL,10,404.0,4040.0,11828.72,107163.25,7163.25,0.0716325,SELL 10 300750 @ 404.00；多Agent拥挤卖出共识，减仓规避回调风险
2021-02-08,LowVolatilityAgent,000333,BUY,10,96.66,966.6,97028.5,99928.3,-71.7,-0.0007170000000000001,BUY 10 000333 @ 96.66；低波动回撤后反弹信号，仓位可控，拥挤风险小。
2021-02-08,DrawdownBuyerAgent,601318,BUY,20,78.57,1571.4,7601.56,107364.88,7364.88,0.0736488,BUY 20 601318 @ 78.57；20日跌幅6.5%深度回撤，价值修复机会，跟随ContrarianAgent逆向加仓
2021-02-08,RandomAgent,601318,BUY,10,78.57,785.7,81143.97,104917.06,4917.06,0.0491706,BUY 10 601318 @ 78.57；逆向低吸，20日跌幅7.41%提供随机入场机会
2021-02-08,TruthfulReporterAgent,000002,BUY,10,29.13,291.3,99242.4,100116.3,116.3,0.001163,BUY 10 000002 @ 29.13；逆向买入共识增强，超跌反弹概率大
2021-02-08,PersuaderAgent,601318,BUY,10,78.57,785.7,102385.1,105482.1,5482.1,0.054821,BUY 10 601318 @ 78.57；20日跌幅7.41%，逆向加仓，跟随ContrarianAgent逻辑，期待价值修复。
2021-02-08,FreeRiderAgent,000002,BUY,20,29.13,582.6,97614.7,100477.0,477.0,0.00477,BUY 20 000002 @ 29.13；跟随多Agent逆向买入，拥挤卖出后超跌反弹机会
2021-02-08,CommitteeTeamAgent,000002,BUY,20,29.13,582.6,98332.85,101310.65,1310.65,0.0131065,BUY 20 000002 @ 29.13；拥挤卖出后逆向反弹信号，多Agent买入验证超跌修复
2021-02-08,DynamicTeamAgent,000002,BUY,10,28.88,288.8,98856.7,100114.6,114.6,0.0011459999999999999,BUY 10 000002 @ 28.88；多Agent逆向买入，拥挤卖出后超跌反弹机会
2021-02-08,SocialGraphAgent,000002,BUY,10,29.13,291.3,100229.8,100521.1,521.1,0.005211,BUY 10 000002 @ 29.13；跟随ContrarianAgent逆向买入，拥挤卖出后超跌反弹概率大
