date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-16,MomentumAgent,600036,BUY,100,54.32,5432.0,2506.05,89323.05,-10676.95,-0.1067695,BUY 100 600036 @ 54.32；600036近期强势，ret5=12%，追涨加仓
2021-03-16,MeanReversionAgent,601318,SELL,10,85.11,851.1,1188.59,92856.61,-7143.39,-0.07143390000000001,SELL 10 601318 @ 85.11；均值回归卖出强势，回笼资金准备买入超卖标的
2021-03-16,LowVolatilityAgent,601318,SELL,10,85.4,854.0,99533.97,99533.97,-466.03,-0.0046603,SELL 10 601318 @ 85.40；跟随PersuaderAgent逆向信号，降低单一持仓风险，控制回撤
2021-03-16,DrawdownBuyerAgent,601318,SELL,30,85.4,2562.0,2602.0,98597.87,-1402.13,-0.0140213,SELL 30 601318 @ 85.40；获利了结部分仓位，腾出资金抄底深跌股
2021-03-16,RandomAgent,601899,BUY,10,11.11,111.1,91022.02,101976.98,1976.98,0.0197698,BUY 10 601899 @ 11.11；多空分歧极端，随机视角逆势加仓验证卖压过度
2021-03-16,PersuaderAgent,601899,BUY,10,11.11,111.1,77633.1,99472.1,-527.9,-0.005279,BUY 10 601899 @ 11.11；多人卖出拥挤，ContrarianAgent逆向买入验证过度悲观，跟随买入验证反弹机会
2021-03-16,FreeRiderAgent,601318,SELL,10,85.4,854.0,76669.9,96144.3,-3855.7,-0.038557,SELL 10 601318 @ 85.40；跟随PersuaderAgent逆向卖出信号，验证拥挤调整风险
2021-03-16,ContrarianAgent,601899,BUY,50,11.25,562.5,2052.2,89403.2,-10596.8,-0.10596799999999999,BUY 50 601899 @ 11.25；逆向加仓拥挤卖出，验证过度悲观
2021-03-16,DynamicTeamAgent,601899,BUY,20,11.25,225.0,85968.0,99999.0,-1.0,-1e-05,BUY 20 601899 @ 11.25；ContrarianAgent大额买入验证卖出拥挤过度，逆向补仓
2021-03-16,SocialGraphAgent,600036,BUY,10,54.32,543.2,98267.9,100033.2,33.2,0.00033200000000000005,BUY 10 600036 @ 54.32；短期强势，跟随动量，多个Agent未关注
