agent,equity,cash,pnl,pnl_pct
RandomAgent,101520.44,90911.12,1520.44,0.0152044
CommitteeTeamAgent,100885.36,87187.96,885.36,0.0088536
SocialGraphAgent,99897.6,96368.9,-102.4,-0.001024
DynamicTeamAgent,99711.0,87051.0,-289.0,-0.00289
LowVolatilityAgent,99510.57,98566.42,-489.43,-0.0048943
PersuaderAgent,98598.9,78438.9,-1401.1,-0.014011
DrawdownBuyerAgent,96202.68,1904.27,-3797.32,-0.0379732
FreeRiderAgent,95209.6,76040.2,-4790.4,-0.047903999999999995
TruthfulReporterAgent,94339.0,45618.2,-5661.0,-0.05661
MeanReversionAgent,90890.29,3180.4,-9109.71,-0.09109709999999999
MomentumAgent,86384.25,5382.45,-13615.75,-0.1361575
ContrarianAgent,85882.8,3607.75,-14117.2,-0.14117200000000002
