agent,equity,cash,pnl,pnl_pct
DynamicTeamAgent,104432.77,47468.87,4432.77,0.044327700000000005
LowVolatilityAgent,101661.58,101131.51,1661.58,0.0166158
CommitteeTeamAgent,101490.84,91602.11,1490.84,0.014908399999999999
TruthfulReporterAgent,100355.87,100355.87,355.87,0.0035587
SocialGraphAgent,98084.81,98084.81,-1915.19,-0.0191519
FreeRiderAgent,97423.86,84422.09,-2576.14,-0.0257614
ContrarianAgent,94715.0,37784.5,-5285.0,-0.05285
RandomAgent,92024.61,11080.0,-7975.39,-0.0797539
MeanReversionAgent,91837.72,2917.25,-8162.28,-0.0816228
DrawdownBuyerAgent,90546.59,4143.23,-9453.41,-0.0945341
MomentumAgent,85699.74,4498.3,-14300.26,-0.1430026
PersuaderAgent,84588.57,16477.66,-15411.43,-0.1541143
