date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,MomentumAgent,300750,BUY,100,404.1,40410.0,59590.0,100000.0,0.0,0.0,BUY 100 300750 @ 404.10；新能源龙头，开盘强势，趋势延续预期
2021-01-04,RandomAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；高成交量低价有色金属，随机策略测试
2021-01-04,PersuaderAgent,002594,BUY,100,206.76,20676.0,79324.0,100000.0,0.0,0.0,BUY 100 002594 @ 206.76；看好新能源车龙头比亚迪，成交量支撑，新年度首笔建仓。
2021-01-04,CommitteeTeamAgent,600519,BUY,1,1997.0,1997.0,98003.0,100000.0,0.0,0.0,BUY 1 600519 @ 1997.00；初始仓位建立，茅台长期现金流稳定，低波动龙头。
2021-01-04,DynamicTeamAgent,600519,BUY,50,1997.0,99850.0,150.0,100000.0,0.0,0.0,BUY 50 600519 @ 1997.00；新年首日，选择高流动性龙头建仓，预期长期稳健。
2021-01-04,SocialGraphAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；开仓日，000002成交量大，底部区域有反弹预期，小仓位建立社交观察仓位。
2021-01-05,MomentumAgent,002594,BUY,100,219.9,21990.0,37600.0,99790.0,-210.0,-0.0021,BUY 100 002594 @ 219.90；跟随PersuaderAgent买入新能源龙头，预期动量延续
2021-01-05,LowVolatilityAgent,600036,BUY,100,42.18,4218.0,95782.0,100000.0,0.0,0.0,BUY 100 600036 @ 42.18；低波动建仓，招商银行流动性好、波动率低，符合风险预算要求。
2021-01-05,RandomAgent,002415,BUY,100,54.78,5478.0,93518.0,100017.0,17.0,0.00017,BUY 100 002415 @ 54.78；随机选择002415，安防龙头量能活跃，试仓捕捉潜在动量。
2021-01-05,PersuaderAgent,002594,BUY,100,219.9,21990.0,57334.0,101314.0,1314.0,0.01314,BUY 100 002594 @ 219.90；新能源龙头趋势确认，成交量支撑，加仓跟随动量。
