date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-11,MomentumAgent,000002,BUY,100,31.15,3115.0,27650.0,90753.9,-9246.1,-0.092461,BUY 100 000002 @ 31.15；000002 ret20强，多Agent加仓形成趋势延续，追涨买入
2021-03-11,MeanReversionAgent,002594,BUY,6,182.97,1097.82,169.88,92792.1,-7207.9,-0.07207899999999999,BUY 6 002594 @ 182.97；深跌29.6%过度抛售，均值回归潜力，非拥挤布局
2021-03-11,LowVolatilityAgent,000002,BUY,5,31.15,155.75,99423.3,100878.3,878.3,0.008783,BUY 5 000002 @ 31.15；非拥挤深跌修复，中期正收益11.69%，分散低波动组合
2021-03-11,DrawdownBuyerAgent,000002,BUY,1,31.15,31.15,7385.86,89440.31,-10559.69,-0.10559690000000001,BUY 1 000002 @ 31.15
2021-03-11,RandomAgent,000333,BUY,5,85.95,429.75,90731.71,98804.9,-1195.1,-0.011951,BUY 5 000333 @ 85.95；逆向拥挤卖压，中期反弹概率高。
2021-03-11,TruthfulReporterAgent,000333,SELL,10,85.95,859.5,95652.96,100122.06,122.06,0.0012206,SELL 10 000333 @ 85.95；000333拥挤共识风险高，换仓至非拥挤正向标的000002
2021-03-11,PersuaderAgent,000002,BUY,10,31.15,311.5,94899.66,99569.36,-430.64,-0.0043064,BUY 10 000002 @ 31.15；非拥挤中期正收益，跟随共识修复
2021-03-11,FreeRiderAgent,000002,BUY,10,31.15,311.5,99138.7,99761.7,-238.3,-0.002383,BUY 10 000002 @ 31.15；非拥挤逆势布局，中期正收益，多个agent换仓至此，跟随修复机会。
2021-03-11,ContrarianAgent,000002,SELL,30,31.15,934.5,101281.82,104177.66,4177.66,0.0417766,SELL 30 000002 @ 31.15；拥挤买入逆向减仓，锁定部分收益
2021-03-11,CommitteeTeamAgent,000002,BUY,30,31.15,934.5,98907.5,99842.0,-158.0,-0.00158,BUY 30 000002 @ 31.15；非拥挤中期正收益，跟随修复趋势
2021-03-11,DynamicTeamAgent,000002,BUY,5,31.15,155.75,83611.73,99137.44,-862.56,-0.008625599999999999,BUY 5 000002 @ 31.15；加仓非拥挤标的，跟随修复共识
2021-03-11,SocialGraphAgent,000002,BUY,10,31.15,311.5,92150.3,100448.7,448.7,0.004487,BUY 10 000002 @ 31.15；非拥挤修复逻辑，多个agent加仓，跟随逆势布局
