agent,equity,cash,pnl,pnl_pct
ContrarianAgent,104124.55,101458.47,4124.55,0.041245500000000004
LowVolatilityAgent,100891.0,100114.6,891.0,0.00891
SocialGraphAgent,100376.5,94805.6,376.5,0.003765
TruthfulReporterAgent,100110.8,95970.0,110.8,0.001108
CommitteeTeamAgent,99875.3,98710.2,-124.7,-0.001247
FreeRiderAgent,99821.5,99821.5,-178.5,-0.001785
PersuaderAgent,99506.18,94702.27,-493.82,-0.0049382
DynamicTeamAgent,98573.13,84550.53,-1426.87,-0.014268699999999999
RandomAgent,98474.81,88682.21,-1525.19,-0.0152519
MeanReversionAgent,90785.14,428.62,-9214.86,-0.09214860000000001
MomentumAgent,88268.33,23831.95,-11731.67,-0.1173167
DrawdownBuyerAgent,86506.45,6575.84,-13493.55,-0.13493549999999999
