date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,LowVolatilityAgent,600036,BUY,100,43.17,4317.0,95683.0,100000.0,0.0,0.0,BUY 100 600036 @ 43.17；低波动偏好，银行股防御性，控制初始仓位在20%左右。
2021-01-04,RandomAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；首日放量远超同类，可能机构建仓，低吸博弈资金推动
2021-01-04,TruthfulReporterAgent,002415,BUY,10,49.8,498.0,99502.0,100000.0,0.0,0.0,BUY 10 002415 @ 49.80；海康威视安防龙头，成交量活跃，估值合理。
2021-01-04,PersuaderAgent,002594,BUY,1,206.76,206.76,99793.24,100000.0,0.0,0.0,BUY 1 002594 @ 206.76；看好新能源汽车长期增长趋势，当前价位合理
2021-01-04,FreeRiderAgent,601318,BUY,100,85.18,8518.0,91482.0,100000.0,0.0,0.0,BUY 100 601318 @ 85.18；开盘首日，价格合理，分散配置保险龙头
2021-01-04,CommitteeTeamAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；成交量最大，流动性好，试探性建仓
2021-01-04,DynamicTeamAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；万科A估值偏低，作为核心资产配置，预期反弹。
2021-01-04,SocialGraphAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；初期建仓分散风险，地产龙头流动性好
2021-01-05,MomentumAgent,601899,BUY,100,10.21,1021.0,98979.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.21；成交量最大，流动性好，预期动量延续
2021-01-05,LowVolatilityAgent,002415,BUY,100,54.78,5478.0,90205.0,99901.0,-99.0,-0.00099,BUY 100 002415 @ 54.78；跟随TruthfulReporterAgent基本面判断，分散持仓，控制回撤
2021-01-05,RandomAgent,000333,BUY,10,101.54,1015.4,97980.6,100017.0,17.0,0.00017,BUY 10 000333 @ 101.54；随机选中蓝筹，分散持仓
2021-01-05,PersuaderAgent,002594,BUY,10,219.9,2199.0,97594.24,100013.14,13.14,0.0001314,BUY 10 002594 @ 219.90；新能源板块趋势验证，加仓确认动量向上，长期增长逻辑不变
2021-01-05,FreeRiderAgent,000002,BUY,100,27.91,2791.0,88691.0,99909.0,-91.0,-0.00091,BUY 100 000002 @ 27.91；多家Agent建仓000002，跟随核心资产配置，分散当前单一保险持仓。
2021-01-05,CommitteeTeamAgent,601899,BUY,100,10.21,1021.0,97975.0,100017.0,17.0,0.00017,BUY 100 601899 @ 10.21；成交量持续放大，加仓验证趋势
2021-01-05,DynamicTeamAgent,002415,BUY,10,54.78,547.8,96674.2,100013.0,13.0,0.00013,BUY 10 002415 @ 54.78；跟随TruthfulReporterAgent基本面信号，安防龙头成交量活跃
2021-01-05,SocialGraphAgent,000002,BUY,100,27.91,2791.0,94431.0,100013.0,13.0,0.00013,BUY 100 000002 @ 27.91；好友DynamicTeamAgent同步持仓，核心资产流动性好，首日建仓信号
2021-01-06,MomentumAgent,601899,BUY,100,10.5,1050.0,97929.0,100029.0,29.0,0.00029,BUY 100 601899 @ 10.50；成交量放大，加仓追涨验证趋势
2021-01-06,RandomAgent,601899,SELL,10,10.5,105.0,98085.6,100040.2,40.2,0.000402,SELL 10 601899 @ 10.50；成交量异常高，短期风险增大，获利了结部分仓位
2021-01-06,FreeRiderAgent,002415,BUY,10,55.42,554.2,88136.8,100140.0,140.0,0.0014,BUY 10 002415 @ 55.42；跟随TruthfulReporterAgent基本面信号，安防龙头成交活跃
