date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-08,MomentumAgent,002415,SELL,100,59.88,5988.0,6783.95,98871.95,-1128.05,-0.011280499999999999,SELL 100 002415 @ 59.88；弱势资产，换仓追强势300750
2021-02-08,MeanReversionAgent,002415,BUY,100,59.88,5988.0,31144.2,107180.79,7180.79,0.0718079,BUY 100 002415 @ 59.88；深跌13%非拥挤，均值回归修复机会
2021-02-08,LowVolatilityAgent,600036,SELL,5,55.26,276.3,97779.2,100571.3,571.3,0.005712999999999999,SELL 5 600036 @ 55.26；锁定短期涨幅，控制组合回撤，降低波动暴露。
2021-02-08,DrawdownBuyerAgent,601318,BUY,100,78.57,7857.0,1185.86,113795.86,13795.86,0.13795860000000001,BUY 100 601318 @ 78.57；深跌非拥挤，20日跌幅6.5%，多agent卖出形成拥挤，逆向买入等待修复
2021-02-08,RandomAgent,601318,BUY,10,78.57,785.7,90444.3,96747.0,-3253.0,-0.03253,BUY 10 601318 @ 78.57；超卖反弹，逆向买入
2021-02-08,PersuaderAgent,300750,SELL,50,404.0,20200.0,80223.25,110236.55,10236.55,0.1023655,SELL 50 300750 @ 404.00；短期涨幅过大，获利了结控制回撤
2021-02-08,FreeRiderAgent,601318,SELL,50,78.57,3928.5,44454.7,102781.7,2781.7,0.027816999999999998,SELL 50 601318 @ 78.57；共识拥挤加剧，多Agent减仓，规避回调风险
2021-02-08,ContrarianAgent,601318,BUY,100,79.72,7972.0,58046.0,105760.0,5760.0,0.0576,BUY 100 601318 @ 79.72；卖出共识过度拥挤，逆向买入等待反弹
2021-02-08,CommitteeTeamAgent,002415,BUY,50,59.88,2994.0,54981.3,106624.4,6624.4,0.066244,BUY 50 002415 @ 59.88；深跌13%非拥挤，多个smart agent验证逆向修复逻辑，加仓参与
2021-02-08,SocialGraphAgent,000002,SELL,100,29.13,2913.0,47978.8,102900.3,2900.3,0.029003,SELL 100 000002 @ 29.13；跟随PersuaderAgent和委员会减仓，控制拥挤风险，锁定部分利润。
