agent,equity,cash,pnl,pnl_pct
PersuaderAgent,107116.13,80474.15,7116.13,0.0711613
ContrarianAgent,106619.9,93890.2,6619.9,0.066199
CommitteeTeamAgent,102676.5,82748.5,2676.5,0.026765
LowVolatilityAgent,100448.25,99671.85,448.25,0.0044825
FreeRiderAgent,99932.2,66080.4,-67.8,-0.000678
DrawdownBuyerAgent,99232.58,11.53,-767.42,-0.0076742
SocialGraphAgent,98528.7,59867.8,-1471.3,-0.014713
TruthfulReporterAgent,98016.3,59454.4,-1983.7,-0.019837
RandomAgent,96735.6,82871.7,-3264.4,-0.032644
DynamicTeamAgent,96317.04,28185.91,-3682.96,-0.0368296
MeanReversionAgent,96163.01,27950.33,-3836.99,-0.0383699
MomentumAgent,94717.63,47023.73,-5282.37,-0.0528237
