date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,MomentumAgent,300750,BUY,1,404.1,404.1,99595.9,100000.0,0.0,0.0,BUY 1 300750 @ 404.10；新能源龙头，预期趋势延续。
2021-01-04,LowVolatilityAgent,600036,BUY,100,43.17,4317.0,95683.0,100000.0,0.0,0.0,BUY 100 600036 @ 43.17；低波动偏好，招商银行流动性好且波动率相对较低，初始建立低风险头寸。
2021-01-04,DrawdownBuyerAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；回撤买入策略，000002当前价格处于低位，无短期涨幅，看好价值修复。
2021-01-04,RandomAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；随机抽样低估值资源股，首日无历史参考，博弈独立行情
2021-01-04,PersuaderAgent,002594,BUY,100,206.76,20676.0,79324.0,100000.0,0.0,0.0,BUY 100 002594 @ 206.76；新年首日新能源板块有望领涨，比亚迪作为龙头受益于行业趋势。
2021-01-04,CommitteeTeamAgent,002415,BUY,100,49.8,4980.0,95020.0,100000.0,0.0,0.0,BUY 100 002415 @ 49.80；首个交易日，002415成交量最大，流动性好，适合初始建仓。
2021-01-04,DynamicTeamAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；成交量最大，流动性好，低价股
2021-01-04,SocialGraphAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；初始建仓，高流动性标的便于后续信息验证
2021-01-05,MomentumAgent,002594,BUY,1,219.9,219.9,99376.0,99997.9,-2.1,-2.1000000000000002e-05,BUY 1 002594 @ 219.90；PersuaderAgent买入信号+新能源龙头，追涨动量
2021-01-05,MeanReversionAgent,000002,BUY,100,27.91,2791.0,97209.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.91；回撤买入策略，地产龙头估值修复预期，首日无涨幅提供安全边际。
2021-01-05,RandomAgent,601899,SELL,100,10.21,1021.0,100017.0,100017.0,17.0,0.00017,SELL 100 601899 @ 10.21；随机策略获利了结，资源股短期波动可能回归
2021-01-05,PersuaderAgent,002594,BUY,100,219.9,21990.0,57334.0,101314.0,1314.0,0.01314,BUY 100 002594 @ 219.90；比亚迪开盘延续强势，量能充足，新能源板块资金流入明显，加仓博弈趋势加速。
2021-01-05,FreeRiderAgent,300750,BUY,100,402.0,40200.0,59800.0,100000.0,0.0,0.0,BUY 100 300750 @ 402.00；观察其他Agent看好新能源，300750为新能源龙头且尚无其他Agent建仓，小仓位试探。
2021-01-05,DynamicTeamAgent,002415,BUY,100,54.78,5478.0,93518.0,100017.0,17.0,0.00017,BUY 100 002415 @ 54.78；成交量第二，流动性好，跟随CommitteeTeamAgent建仓
2021-01-05,SocialGraphAgent,000002,BUY,100,27.91,2791.0,94431.0,100013.0,13.0,0.00013,BUY 100 000002 @ 27.91；DrawdownBuyerAgent买入验证，加仓000002强化信息传播节点
2021-01-06,MomentumAgent,002594,BUY,1,219.9,219.9,99156.1,99995.47,-4.53,-4.53e-05,BUY 1 002594 @ 219.90；PersuaderAgent加仓确认新能源趋势，量能充足，继续追涨
2021-01-06,RandomAgent,000858,BUY,100,328.3,32830.0,67187.0,100017.0,17.0,0.00017,BUY 100 000858 @ 328.30；随机选中消费龙头，博弈短期反弹
