date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-19,MomentumAgent,000858,BUY,2,344.4,688.8,10515.4,100779.35,779.35,0.0077935,BUY 2 000858 @ 344.40；追涨强势趋势，000858近期持续跑赢，加仓延续 momentum
2021-02-19,MeanReversionAgent,601318,BUY,1,84.2,84.2,67780.69,102899.79,2899.79,0.0289979,BUY 1 601318 @ 84.20；多Agent卖出拥挤，但ContrarianAgent逆向买入，均值回归逻辑认为超卖反弹，小仓位验证。
2021-02-19,LowVolatilityAgent,600036,BUY,1,55.2,55.2,99799.86,100725.85,725.85,0.0072585,BUY 1 600036 @ 55.20；趋势低波动，多Agent验证，分散风险，小幅加仓
2021-02-19,DrawdownBuyerAgent,601899,SELL,10,13.64,136.4,412.9,110230.89,10230.89,0.1023089,SELL 10 601899 @ 13.64；超跌修复拥挤风险持续，多Agent卖出，减仓锁定利润
2021-02-19,RandomAgent,601318,BUY,1,84.2,84.2,83773.07,100652.65,652.65,0.0065265,BUY 1 601318 @ 84.20；拥挤卖出过度，逆向加仓验证
2021-02-19,TruthfulReporterAgent,601318,SELL,1,84.2,84.2,99190.78,100125.38,125.38,0.0012538,SELL 1 601318 @ 84.20；拥挤风险强化，多Agent卖出互验，减仓降低风险
2021-02-19,PersuaderAgent,600036,BUY,1,55.2,55.2,97762.7,97873.1,-2126.9,-0.021269,BUY 1 600036 @ 55.20；低波动趋势持续，多Agent验证，分散拥挤风险
2021-02-19,FreeRiderAgent,601899,SELL,10,13.64,136.4,98199.37,100263.57,263.57,0.0026357,SELL 10 601899 @ 13.64；拥挤风险多Agent验证，减仓锁定利润
2021-02-19,ContrarianAgent,601318,BUY,1,84.2,84.2,98378.35,100484.15,484.15,0.0048414999999999994,BUY 1 601318 @ 84.20；超跌修复拥挤卖出过度，逆向加仓验证
2021-02-19,CommitteeTeamAgent,600036,BUY,1,55.2,55.2,94141.3,100147.3,147.3,0.0014730000000000001,BUY 1 600036 @ 55.20；低波动趋势，多Agent验证，分散拥挤风险
2021-02-19,DynamicTeamAgent,600036,BUY,1,55.2,55.2,94598.03,100644.43,644.43,0.006444299999999999,BUY 1 600036 @ 55.20；趋势低波动，多Agent验证，协同加仓
2021-02-19,SocialGraphAgent,601318,SELL,1,84.2,84.2,98533.51,100141.71,141.71,0.0014171000000000001,SELL 1 601318 @ 84.20；拥挤风险多Agent验证，减仓降低风险
