agent,equity,cash,pnl,pnl_pct
LowVolatilityAgent,100580.96,99985.08,580.96,0.005809600000000001
ContrarianAgent,100145.26,97693.38,145.26,0.0014525999999999999
FreeRiderAgent,100029.67,97839.96,29.67,0.0002967
TruthfulReporterAgent,100020.67,98546.32,20.67,0.0002067
CommitteeTeamAgent,100010.39,94055.42,10.39,0.0001039
SocialGraphAgent,99951.42,98095.43,-48.58,-0.0004858
DynamicTeamAgent,99702.49,93867.79,-297.51,-0.0029751
RandomAgent,97886.64,82992.24,-2113.36,-0.021133600000000002
PersuaderAgent,97717.05,96853.17,-2282.95,-0.0228295
MeanReversionAgent,96373.19,64978.67,-3626.81,-0.0362681
DrawdownBuyerAgent,87793.38,45.89,-12206.62,-0.12206620000000001
MomentumAgent,82703.01,58595.46,-17296.99,-0.1729699
