date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,LowVolatilityAgent,600036,BUY,100,43.17,4317.0,95683.0,100000.0,0.0,0.0,BUY 100 600036 @ 43.17；低波动偏好银行股，初始建仓控制回撤
2021-01-04,RandomAgent,002415,BUY,100,49.8,4980.0,95020.0,100000.0,0.0,0.0,BUY 100 002415 @ 49.80；随机试探初始仓位，低价格高流动性
2021-01-04,PersuaderAgent,300750,BUY,100,404.1,40410.0,59590.0,100000.0,0.0,0.0,BUY 100 300750 @ 404.10；新能源电池龙头，2021年政策利好，长期增长确定性高
2021-01-04,SocialGraphAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；观察成交量巨大，可能是板块轮动信号，小仓位试仓
2021-01-05,MomentumAgent,300750,BUY,100,402.0,40200.0,59800.0,100000.0,0.0,0.0,BUY 100 300750 @ 402.00；跟随PersuaderAgent新能源动量信号，小仓位试探
2021-01-05,RandomAgent,002415,SELL,100,54.78,5478.0,100498.0,100498.0,498.0,0.00498,SELL 100 002415 @ 54.78；随机止盈，切换观察其他标的
2021-01-05,TruthfulReporterAgent,601899,BUY,100,10.21,1021.0,98979.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.21；成交量异常放大，可能是资金流入信号，小仓位试仓
2021-01-05,PersuaderAgent,300750,BUY,100,402.0,40200.0,19390.0,99790.0,-210.0,-0.0021,BUY 100 300750 @ 402.00；新能源龙头回调买入，政策长期利好
2021-01-05,FreeRiderAgent,601899,BUY,100,10.21,1021.0,98979.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.21；SocialGraphAgent建仓601899且成交量异常放大，试探跟随
2021-01-05,DynamicTeamAgent,601899,BUY,100,10.21,1021.0,98979.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.21；成交量巨幅放大，资金流入信号，小仓位试仓
2021-01-06,RandomAgent,000333,BUY,100,100.96,10096.0,90402.0,100498.0,498.0,0.00498,BUY 100 000333 @ 100.96；随机选择消费龙头，首日成交量适中，获取非共识暴露
2021-01-06,PersuaderAgent,601899,BUY,100,10.5,1050.0,18340.0,100744.0,744.0,0.00744,BUY 100 601899 @ 10.50；成交量异常放大，资金流入信号，试仓观察
2021-01-06,CommitteeTeamAgent,601899,BUY,100,10.21,1021.0,98979.0,100029.0,29.0,0.00029,BUY 100 601899 @ 10.21；成交量异常放大，多agent关注，小仓位试仓
2021-01-07,MomentumAgent,601899,BUY,100,11.18,1118.0,58682.0,101123.0,1123.0,0.01123,BUY 100 601899 @ 11.18；首日成交量异常放大，多Agent关注，追涨量能信号
2021-01-07,LowVolatilityAgent,601899,BUY,100,11.18,1118.0,94565.0,100273.0,273.0,0.00273,BUY 100 601899 @ 11.18；601899成交量异常放大，轻仓试盘，控制风险
2021-01-07,RandomAgent,601899,BUY,50,11.18,559.0,89843.0,100884.0,884.0,0.00884,BUY 50 601899 @ 11.18；随机试仓，量能异常信号，小仓位跟随
2021-01-07,CommitteeTeamAgent,601899,SELL,50,11.18,559.0,99538.0,100097.0,97.0,0.00097,SELL 50 601899 @ 11.18；盈利9.5%，量能未完全确认，部分止盈降低风险
2021-01-08,MomentumAgent,601899,BUY,50,11.35,567.5,58114.5,100267.0,267.0,0.00267,BUY 50 601899 @ 11.35；量能异常，追涨加仓，预期趋势延续
2021-01-08,LowVolatilityAgent,601899,SELL,100,11.35,1135.0,95700.0,100360.0,360.0,0.0036,SELL 100 601899 @ 11.35；多agent拥挤，部分止盈信号出现，控制回撤
2021-01-08,RandomAgent,601899,SELL,50,11.35,567.5,90410.5,100711.5,711.5,0.007115,SELL 50 601899 @ 11.35；拥挤风险锁定利润
2021-01-08,TruthfulReporterAgent,601899,SELL,50,11.35,567.5,99546.5,100114.0,114.0,0.00114,SELL 50 601899 @ 11.35；成交量异常但价格未动，多agent拥挤增加回调风险，部分止盈锁定利润。
2021-01-08,DynamicTeamAgent,601899,SELL,50,11.35,567.5,99546.5,100114.0,114.0,0.00114,SELL 50 601899 @ 11.35；部分止盈，降低拥挤风险，等待量能确认
2021-01-11,MomentumAgent,300750,SELL,100,390.0,39000.0,97114.5,98715.0,-1285.0,-0.01285,SELL 100 300750 @ 390.00；300750弱势，ret5=-3.49%，卖出止损，腾出资金
2021-01-11,MeanReversionAgent,300750,BUY,100,390.0,39000.0,61000.0,100000.0,0.0,0.0,BUY 100 300750 @ 390.00；300750短期超卖，5日跌幅-3.49%，均值回归预期
2021-01-11,LowVolatilityAgent,600036,SELL,50,48.42,2421.0,98121.0,100542.0,542.0,0.00542,SELL 50 600036 @ 48.42；短期涨幅12.16%，止盈降低回撤风险
2021-01-11,DrawdownBuyerAgent,300750,BUY,100,390.0,39000.0,61000.0,100000.0,0.0,0.0,BUY 100 300750 @ 390.00；近5日回撤3.49%，相对其他股票跌幅最大，存在价值修复可能
2021-01-11,RandomAgent,300750,BUY,10,390.0,3900.0,86510.5,100510.5,510.5,0.005105,BUY 10 300750 @ 390.00；非共识：短期跌幅最大，超卖反弹概率高，其他agent忽略此机会
2021-01-11,TruthfulReporterAgent,601899,SELL,50,10.67,533.5,100080.0,100080.0,80.0,0.0008,SELL 50 601899 @ 10.67；拥挤风险未减，成交量异常但趋势未确认，清仓规避
2021-01-11,PersuaderAgent,601899,SELL,50,10.67,533.5,18873.5,97407.0,-2593.0,-0.02593,SELL 50 601899 @ 10.67；多Agent拥挤风险加剧，部分止盈降低暴露，锁定利润
2021-01-11,FreeRiderAgent,601899,SELL,50,10.67,533.5,99512.5,100046.0,46.0,0.00046,SELL 50 601899 @ 10.67；跟随部分止盈，降低拥挤风险，等待量能确认
2021-01-11,ContrarianAgent,601899,BUY,10,10.67,106.7,99893.3,100000.0,0.0,0.0,BUY 10 601899 @ 10.67；多Agent止盈后拥挤缓解，量能异常或持续，逆向布局
2021-01-11,CommitteeTeamAgent,601899,SELL,50,10.67,533.5,100071.5,100071.5,71.5,0.000715,SELL 50 601899 @ 10.67；多Agent止盈导致拥挤风险上升，量能异常未确认趋势，全部卖出锁定利润。
2021-01-11,DynamicTeamAgent,002415,BUY,50,59.0,2950.0,96596.5,100080.0,80.0,0.0008,BUY 50 002415 @ 59.00；短期动量强劲，量能配合，分散拥挤风险
2021-01-11,SocialGraphAgent,601899,SELL,50,10.67,533.5,99529.5,100063.0,63.0,0.00063,SELL 50 601899 @ 10.67；拥挤风险上升，部分止盈降低风险
2021-01-12,MomentumAgent,601899,SELL,100,10.9,1090.0,98204.5,98749.5,-1250.5,-0.012505,SELL 100 601899 @ 10.90；多Agent拥挤风险上升，追涨逻辑止盈，等待回调再入
2021-01-12,LowVolatilityAgent,600036,SELL,25,49.7,1242.5,99363.5,100606.0,606.0,0.00606,SELL 25 600036 @ 49.70；高动量后回撤风险上升，部分止盈控制回撤
2021-01-12,DrawdownBuyerAgent,000858,BUY,50,310.0,15500.0,45500.0,101117.0,1117.0,0.01117,BUY 50 000858 @ 310.00；近5日回调3.12%，价值修复机会。
2021-01-12,RandomAgent,601899,BUY,10,10.9,109.0,86401.5,100932.2,932.2,0.009322,BUY 10 601899 @ 10.90；多Agent止盈后拥挤缓解，逆向布局验证量能持续性
2021-01-12,TruthfulReporterAgent,002415,BUY,10,61.25,612.5,99467.5,100080.0,80.0,0.0008,BUY 10 002415 @ 61.25；002415 ret5=11.81%动量强劲，量能配合，分散拥挤风险
2021-01-12,PersuaderAgent,002415,BUY,10,61.25,612.5,18261.0,99652.5,-347.5,-0.003475,BUY 10 002415 @ 61.25；跟随动量，分散拥挤风险
2021-01-12,FreeRiderAgent,002415,BUY,50,61.25,3062.5,96450.0,100057.5,57.5,0.000575,BUY 50 002415 @ 61.25；跟随动量，002415短期ret5达11.81%，量能配合，分散拥挤风险。
2021-01-12,ContrarianAgent,601899,BUY,10,10.67,106.7,99786.6,100004.6,4.6,4.599999999999999e-05,BUY 10 601899 @ 10.67；多Agent持续止盈推升拥挤恐慌，逆向加仓押注量能持续
2021-01-12,CommitteeTeamAgent,002415,BUY,50,61.25,3062.5,97009.0,100071.5,71.5,0.000715,BUY 50 002415 @ 61.25；002415短期动量强劲11.81%，量能配合，分散拥挤风险
2021-01-12,DynamicTeamAgent,601899,SELL,50,10.9,545.0,97141.5,100204.0,204.0,0.00204,SELL 50 601899 @ 10.90；拥挤风险加剧，多Agent止盈，量能未确认
