agent,equity,cash,pnl,pnl_pct
FreeRiderAgent,100390.22,100359.02,390.22,0.0039022
MeanReversionAgent,100261.62,97247.04,261.62,0.0026162
TruthfulReporterAgent,100185.88,100134.12,185.88,0.0018587999999999999
CommitteeTeamAgent,100137.15,100051.84,137.15,0.0013715
ContrarianAgent,100125.34,99966.06,125.34,0.0012534
LowVolatilityAgent,100094.96,100094.96,94.96,0.0009496
DynamicTeamAgent,100078.5,99449.45,78.5,0.000785
SocialGraphAgent,99993.26,99845.36,-6.74,-6.74e-05
RandomAgent,99903.13,96262.34,-96.87,-0.0009687000000000001
PersuaderAgent,99844.17,99063.85,-155.83,-0.0015583
DrawdownBuyerAgent,99684.9,93537.44,-315.1,-0.003151
MomentumAgent,99222.59,92669.97,-777.41,-0.0077741
