date,agent,equity,cash,pnl,pnl_pct
2021-01-04,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,100000.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,99956.83,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,98996.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,79324.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,98003.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,95020.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,97222.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,97222.0,0.0,0.0
2021-01-05,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-05,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-05,LowVolatilityAgent,99999.01,99956.83,-0.99,-9.9e-06
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-05,RandomAgent,100017.0,98996.0,17.0,0.00017
2021-01-05,TruthfulReporterAgent,100498.0,95020.0,498.0,0.00498
2021-01-05,PersuaderAgent,101314.0,57334.0,1314.0,0.01314
2021-01-05,FreeRiderAgent,100062.45,98003.0,62.45,0.0006245000000000001
2021-01-05,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-05,CommitteeTeamAgent,100498.0,95020.0,498.0,0.00498
2021-01-05,DynamicTeamAgent,100013.0,94431.0,13.0,0.00013
2021-01-05,SocialGraphAgent,100013.0,97222.0,13.0,0.00013
2021-01-06,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-06,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-06,LowVolatilityAgent,100000.98,99956.83,0.98,9.8e-06
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-06,RandomAgent,100046.0,100046.0,46.0,0.00046
2021-01-06,TruthfulReporterAgent,100562.0,89478.0,562.0,0.00562
2021-01-06,PersuaderAgent,100594.0,57334.0,594.0,0.00594
2021-01-06,FreeRiderAgent,100103.0,98003.0,103.0,0.00103
2021-01-06,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-06,CommitteeTeamAgent,100562.0,95020.0,562.0,0.00562
2021-01-06,DynamicTeamAgent,100181.0,94431.0,181.0,0.00181
2021-01-06,SocialGraphAgent,100097.0,97222.0,97.0,0.00097
2021-01-07,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-07,MeanReversionAgent,100000.0,98882.0,0.0,0.0
2021-01-07,LowVolatilityAgent,100002.73,99956.83,2.73,2.73e-05
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-07,RandomAgent,100046.0,99987.71,46.0,0.00046
2021-01-07,TruthfulReporterAgent,101136.0,89478.0,1136.0,0.01136
2021-01-07,PersuaderAgent,102342.0,57334.0,2342.0,0.02342
2021-01-07,FreeRiderAgent,100143.0,92174.0,143.0,0.00143
2021-01-07,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-07,CommitteeTeamAgent,100849.0,95020.0,849.0,0.00849
2021-01-07,DynamicTeamAgent,100189.0,94431.0,189.0,0.00189
2021-01-07,SocialGraphAgent,100101.0,97222.0,101.0,0.00101
2021-01-08,MomentumAgent,100000.0,94266.0,0.0,0.0
2021-01-08,MeanReversionAgent,100017.0,98882.0,17.0,0.00017
2021-01-08,LowVolatilityAgent,100003.43,99956.83,3.43,3.43e-05
2021-01-08,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-08,RandomAgent,100045.05,100045.05,45.05,0.00045049999999999995
2021-01-08,TruthfulReporterAgent,100946.0,89478.0,946.0,0.00946
2021-01-08,PersuaderAgent,102836.0,57334.0,2836.0,0.02836
2021-01-08,FreeRiderAgent,99998.0,92174.0,-2.0,-2e-05
2021-01-08,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-08,CommitteeTeamAgent,100754.0,95020.0,754.0,0.00754
2021-01-08,DynamicTeamAgent,100299.0,91564.0,299.0,0.00299
2021-01-08,SocialGraphAgent,100156.0,91488.0,156.0,0.00156
2021-01-11,MomentumAgent,100166.0,88366.0,166.0,0.00166
2021-01-11,MeanReversionAgent,99949.0,98882.0,-51.0,-0.00051
2021-01-11,LowVolatilityAgent,100005.25,99956.83,5.25,5.25e-05
2021-01-11,DrawdownBuyerAgent,100000.0,61000.0,0.0,0.0
2021-01-11,RandomAgent,100045.05,98978.05,45.05,0.00045049999999999995
2021-01-11,TruthfulReporterAgent,101278.0,89478.0,1278.0,0.01278
2021-01-11,PersuaderAgent,104306.0,57334.0,4306.0,0.04306
2021-01-11,FreeRiderAgent,100173.73,92174.0,173.73,0.0017373
2021-01-11,ContrarianAgent,100000.0,100000.0,0.0,0.0
