agent,equity,cash,pnl,pnl_pct
PersuaderAgent,106864.5,90740.15,6864.5,0.068645
CommitteeTeamAgent,101078.9,92419.8,1078.9,0.010789000000000002
ContrarianAgent,100198.63,83820.28,198.63,0.0019863
LowVolatilityAgent,99916.63,88711.53,-83.37,-0.0008337
FreeRiderAgent,99075.9,79382.0,-924.1,-0.009241000000000001
SocialGraphAgent,99054.89,94854.69,-945.11,-0.0094511
DynamicTeamAgent,98740.43,92172.93,-1259.57,-0.0125957
RandomAgent,94822.4,54560.62,-5177.6,-0.051776
MomentumAgent,93801.44,55531.18,-6198.56,-0.0619856
MeanReversionAgent,93088.55,6158.9,-6911.45,-0.0691145
TruthfulReporterAgent,91396.4,54886.9,-8603.6,-0.086036
DrawdownBuyerAgent,84982.49,3.65,-15017.51,-0.1501751
