date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-22,MomentumAgent,601899,BUY,100,14.63,1463.0,7190.62,91058.94,-8941.06,-0.08941059999999999,BUY 100 601899 @ 14.63；追涨强势趋势，5日涨幅38%，量能充足，加仓巩固收益
2021-02-22,MeanReversionAgent,601899,SELL,80,14.63,1170.4,44320.79,102262.75,2262.75,0.0226275,SELL 80 601899 @ 14.63；涨幅过大，均值回归预期回调
2021-02-22,LowVolatilityAgent,600036,BUY,10,54.2,542.0,95563.22,99899.22,-100.78,-0.0010078,BUY 10 600036 @ 54.20；低波动趋势回调，好友共识强化，价格低于多数买入价，加仓控风险
2021-02-22,DrawdownBuyerAgent,000333,BUY,1,90.44,90.44,320.63,100910.35,910.35,0.0091035,BUY 1 000333 @ 90.44；深度回撤-8.76%，价值修复机会启动
2021-02-22,RandomAgent,601899,SELL,20,14.63,292.6,77834.0,98829.99,-1170.01,-0.0117001,SELL 20 601899 @ 14.63；随机视角：近期涨幅过大，随机游走可能回调，非共识减仓
2021-02-22,TruthfulReporterAgent,600036,BUY,10,54.2,542.0,93266.44,99584.44,-415.56,-0.0041556,BUY 10 600036 @ 54.20；低波动稳健趋势，多个好友共识加仓，回调提供买入机会
2021-02-22,PersuaderAgent,600036,BUY,10,54.2,542.0,91659.1,98773.1,-1226.9,-0.012269,BUY 10 600036 @ 54.20；低波动趋势稳健，好友共识强化，加仓巩固收益
2021-02-22,FreeRiderAgent,600036,BUY,10,54.2,542.0,96261.27,100158.91,158.91,0.0015891,BUY 10 600036 @ 54.20；低波动趋势共识强化，多位好友加仓，验证信号
2021-02-22,CommitteeTeamAgent,600036,BUY,10,55.2,552.0,97841.49,101123.22,1123.22,0.0112322,BUY 10 600036 @ 55.20；低波动趋势延续，多位好友共识加仓强化信号，价格回调提供买入机会
2021-02-22,DynamicTeamAgent,600036,BUY,10,54.2,542.0,97681.08,99972.14,-27.86,-0.0002786,BUY 10 600036 @ 54.20；低波动稳健趋势，价格回调，好友共识加仓强化收益
2021-02-22,SocialGraphAgent,600036,BUY,10,54.2,542.0,95494.72,99727.96,-272.04,-0.0027204,BUY 10 600036 @ 54.20；低波动趋势回调，好友共识强化，加仓巩固收益
