agent,equity,cash,pnl,pnl_pct
CommitteeTeamAgent,100924.86,99653.72,924.86,0.009248600000000001
FreeRiderAgent,99910.8,97938.58,-89.2,-0.000892
DynamicTeamAgent,99696.18,98236.66,-303.82,-0.0030382
LowVolatilityAgent,99613.75,98371.51,-386.25,-0.0038625
SocialGraphAgent,99347.84,96803.82,-652.16,-0.0065216
TruthfulReporterAgent,99238.81,94852.11,-761.19,-0.0076119000000000004
PersuaderAgent,98198.78,92517.27,-1801.22,-0.0180122
ContrarianAgent,96629.06,81810.3,-3370.94,-0.0337094
RandomAgent,95857.49,64077.02,-4142.51,-0.0414251
MeanReversionAgent,92862.88,38025.27,-7137.12,-0.0713712
DrawdownBuyerAgent,88724.14,103.9,-11275.86,-0.1127586
MomentumAgent,75259.32,18685.82,-24740.68,-0.2474068
