agent,equity,cash,pnl,pnl_pct
ContrarianAgent,107854.63,86396.03,7854.63,0.0785463
DynamicTeamAgent,100141.28,99377.69,141.28,0.0014128
CommitteeTeamAgent,99932.56,99772.06,-67.44,-0.0006744
TruthfulReporterAgent,99879.45,93251.8,-120.55,-0.0012055
SocialGraphAgent,99706.1,95487.88,-293.9,-0.0029389999999999998
FreeRiderAgent,99691.19,96179.36,-308.81,-0.0030881
LowVolatilityAgent,99034.97,97792.73,-965.03,-0.0096503
RandomAgent,97843.21,65349.8,-2156.79,-0.0215679
PersuaderAgent,94680.15,68103.15,-5319.85,-0.0531985
MeanReversionAgent,93133.4,44703.86,-6866.6,-0.068666
DrawdownBuyerAgent,89153.78,29.18,-10846.22,-0.1084622
MomentumAgent,80143.0,62644.2,-19857.0,-0.19857
