agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.6398105975682633,0.4496164235727857,0.37353731379268096,0.5887010061340845,0.6933155812791222,0.4344734471564893,0.37293284011884326,0.5248387497212017,0.4125840035995875,0.5816303810997815,0.8781103168777052
ContrarianAgent,0.6398105975682633,1.0,0.37623813102455955,0.30230637895182005,0.4567483522325384,0.5276878893536368,0.38205626632230216,0.2904104162826778,0.36941498109963994,0.3707984545279304,0.38974792275488973,0.6704560041587965
DrawdownBuyerAgent,0.4496164235727857,0.37623813102455955,1.0,0.3575293679606723,0.4100762577620608,0.429671986954267,0.8708023043546376,0.6600184137139758,0.8000452895707263,0.7560296967738354,0.4644930866157884,0.5626824053408888
DynamicTeamAgent,0.37353731379268096,0.30230637895182005,0.3575293679606723,1.0,0.6361690306408889,0.311272076212903,0.28090905117299403,0.17867151847786023,0.26099550001774907,0.21432734872222794,0.2754032110224221,0.48718389632514153
FreeRiderAgent,0.5887010061340845,0.4567483522325384,0.4100762577620608,0.6361690306408889,1.0,0.6744013305819497,0.31824285967043214,0.3008708489207877,0.36266450345088147,0.2937981602409479,0.43374543094002327,0.6548711662048164
LowVolatilityAgent,0.6933155812791222,0.5276878893536368,0.429671986954267,0.311272076212903,0.6744013305819497,1.0,0.3019052216439373,0.40439105689136234,0.3906667721446758,0.40301057271208246,0.4418530906952243,0.7197960608807263
MeanReversionAgent,0.4344734471564893,0.38205626632230216,0.8708023043546376,0.28090905117299403,0.31824285967043214,0.3019052216439373,1.0,0.5554604570115292,0.7948205792545737,0.7717021482664468,0.37509571561116256,0.5245493091905373
MomentumAgent,0.37293284011884326,0.2904104162826778,0.6600184137139758,0.17867151847786023,0.3008708489207877,0.40439105689136234,0.5554604570115292,1.0,0.5587945092524423,0.5145154842378808,0.46032802690195257,0.48630932962978773
PersuaderAgent,0.5248387497212017,0.36941498109963994,0.8000452895707263,0.26099550001774907,0.36266450345088147,0.3906667721446758,0.7948205792545737,0.5587945092524423,1.0,0.661053393803864,0.2922188237348022,0.6119324533698736
RandomAgent,0.4125840035995875,0.3707984545279304,0.7560296967738354,0.21432734872222794,0.2937981602409479,0.40301057271208246,0.7717021482664468,0.5145154842378808,0.661053393803864,1.0,0.25180518260606555,0.4973400027449455
SocialGraphAgent,0.5816303810997815,0.38974792275488973,0.4644930866157884,0.2754032110224221,0.43374543094002327,0.4418530906952243,0.37509571561116256,0.46032802690195257,0.2922188237348022,0.25180518260606555,1.0,0.49456606584125234
TruthfulReporterAgent,0.8781103168777052,0.6704560041587965,0.5626824053408888,0.48718389632514153,0.6548711662048164,0.7197960608807263,0.5245493091905373,0.48630932962978773,0.6119324533698736,0.4973400027449455,0.49456606584125234,1.0
