date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,95020.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,59590.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,91482.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,97222.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,98996.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,95020.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100498.0,95020.0
2021-01-05,ContrarianAgent,100000.0,100000.0
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0
2021-01-05,DynamicTeamAgent,99790.0,59590.0
2021-01-05,FreeRiderAgent,99909.0,91482.0
2021-01-05,LowVolatilityAgent,99901.0,95683.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,100013.0,100013.0
2021-01-05,PersuaderAgent,100017.0,98996.0
2021-01-05,RandomAgent,100017.0,97975.0
2021-01-05,SocialGraphAgent,100498.0,95020.0
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100562.0,95020.0
2021-01-06,ContrarianAgent,100000.0,100000.0
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0
2021-01-06,DynamicTeamAgent,100267.0,59590.0
2021-01-06,FreeRiderAgent,100056.0,91482.0
2021-01-06,LowVolatilityAgent,100098.0,95683.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,100013.0,100013.0
2021-01-06,PersuaderAgent,100046.0,98996.0
2021-01-06,RandomAgent,100075.0,99025.0
2021-01-06,SocialGraphAgent,100562.0,95020.0
2021-01-06,TruthfulReporterAgent,100000.0,98950.0
2021-01-07,CommitteeTeamAgent,100849.0,95020.0
2021-01-07,ContrarianAgent,100000.0,100000.0
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0
2021-01-07,DynamicTeamAgent,100913.0,59590.0
2021-01-07,FreeRiderAgent,100108.0,91482.0
2021-01-07,LowVolatilityAgent,100273.0,95683.0
2021-01-07,MeanReversionAgent,100000.0,100000.0
2021-01-07,MomentumAgent,100013.0,98895.0
2021-01-07,PersuaderAgent,100114.0,97878.0
2021-01-07,RandomAgent,100143.0,97907.0
2021-01-07,SocialGraphAgent,100849.0,95020.0
2021-01-07,TruthfulReporterAgent,100068.0,98950.0
2021-01-08,CommitteeTeamAgent,100754.0,95020.0
2021-01-08,ContrarianAgent,100000.0,100000.0
2021-01-08,DrawdownBuyerAgent,100000.0,100000.0
2021-01-08,DynamicTeamAgent,100040.0,59590.0
2021-01-08,FreeRiderAgent,100092.0,91482.0
2021-01-08,LowVolatilityAgent,100343.0,95683.0
2021-01-08,MeanReversionAgent,100000.0,100000.0
2021-01-08,MomentumAgent,100030.0,97760.0
2021-01-08,PersuaderAgent,100148.0,97310.5
2021-01-08,RandomAgent,100177.0,96772.0
2021-01-08,SocialGraphAgent,100754.0,95020.0
2021-01-08,TruthfulReporterAgent,100085.0,98950.0
2021-01-11,CommitteeTeamAgent,100920.0,100920.0
2021-01-11,ContrarianAgent,100000.0,100000.0
2021-01-11,DrawdownBuyerAgent,100000.0,61000.0
2021-01-11,DynamicTeamAgent,98590.0,59590.0
2021-01-11,FreeRiderAgent,99885.0,91482.0
2021-01-11,LowVolatilityAgent,100525.0,95683.0
2021-01-11,MeanReversionAgent,100000.0,100000.0
2021-01-11,MomentumAgent,99894.0,96693.0
2021-01-11,PersuaderAgent,99978.0,96777.0
2021-01-11,RandomAgent,99973.0,97839.0
2021-01-11,SocialGraphAgent,100920.0,95020.0
2021-01-11,TruthfulReporterAgent,100017.0,98950.0
2021-01-12,CommitteeTeamAgent,100920.0,100920.0
2021-01-12,ContrarianAgent,100000.0,100000.0
2021-01-12,DrawdownBuyerAgent,101117.0,61000.0
2021-01-12,DynamicTeamAgent,99707.0,59590.0
2021-01-12,FreeRiderAgent,100264.0,91482.0
2021-01-12,LowVolatilityAgent,100653.0,100653.0
2021-01-12,MeanReversionAgent,100000.0,69000.0
2021-01-12,MomentumAgent,99963.0,96148.0
2021-01-12,PersuaderAgent,100047.0,96777.0
2021-01-12,RandomAgent,100019.0,97730.0
2021-01-12,SocialGraphAgent,101145.0,98082.5
