agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
LowVolatilityAgent,0.00843550000000004,0.04324558110515486,0.023710989939238963,1.8238623193706645,-0.006760976673639174,50
CommitteeTeamAgent,0.008773999999999837,0.04501170884297778,0.03509218008055391,1.282670633162535,-0.013900253359227843,50
MeanReversionAgent,-0.00527679999999997,-0.026313103250564684,0.35285469603466707,-0.07457206477983076,-0.16126006933395853,50
TruthfulReporterAgent,-0.0019500000000000073,-0.009789363927839911,0.017690454644046023,-0.553369832760893,-0.0071757919319747066,50
RandomAgent,-0.03716300000000006,-0.17376047604751632,0.20605613553210608,-0.8432676639247284,-0.10744249543376427,50
DrawdownBuyerAgent,-0.07851030000000003,-0.33773463109103263,0.3966241458705547,-0.8515231223498387,-0.2050488984230564,50
ContrarianAgent,-0.008669999999999956,-0.042938214227356,0.03455117181601156,-1.24274263275371,-0.011457689316128561,50
SocialGraphAgent,-0.019689999999999985,-0.0953685097215311,0.06357293745833986,-1.5001431982599085,-0.0489670100967462,50
DynamicTeamAgent,-0.026796000000000042,-0.1279375598524003,0.08432649022176493,-1.5171692728577386,-0.04381992409303059,50
PersuaderAgent,-0.07010000000000005,-0.30670400967242306,0.1971084620304989,-1.556016451617213,-0.11435418818073773,50
FreeRiderAgent,-0.007801999999999976,-0.03870724248623503,0.02356060264557551,-1.6428799835263947,-0.015345487911912592,50
MomentumAgent,-0.22347499999999998,-0.720498959438292,0.31531003815212705,-2.2850492285649158,-0.2422039298731843,50
