agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.0532465145602713,0.7371973519970142,0.8162567385309619,0.7184998634682875,0.1267468262343655,0.3531000157807763,0.5730017314393836,0.8320099860154297,0.5936492825619284,0.5541401363854775,0.5128108021849509
ContrarianAgent,0.0532465145602713,1.0,0.2922415747369259,0.07365856824197846,0.17204181356006656,0.39491853929380566,0.5095156835420307,0.010476866992345074,0.28413240667780193,0.03419327483880313,0.1063039518681467,-0.08156481696626439
DrawdownBuyerAgent,0.7371973519970142,0.2922415747369259,1.0,0.7559220359993933,0.6996426838011827,0.12340726724816073,0.4695041198244686,0.5307753642787633,0.6512186838778977,0.5124025918701163,0.5537262143980011,0.49802313361161193
DynamicTeamAgent,0.8162567385309619,0.07365856824197846,0.7559220359993933,1.0,0.7601985342906562,0.15452884911434522,0.24453182943120175,0.6198385851499103,0.6347024267348231,0.6580933953686894,0.5841524788314145,0.6312881254953482
FreeRiderAgent,0.7184998634682875,0.17204181356006656,0.6996426838011827,0.7601985342906562,1.0,0.19158735088748802,0.32214000481370236,0.3972215429827049,0.5611589253238306,0.4980481732328303,0.5552585488705065,0.37083770424826296
LowVolatilityAgent,0.1267468262343655,0.39491853929380566,0.12340726724816073,0.15452884911434522,0.19158735088748802,1.0,0.19823387279584853,0.23015980318957371,0.24536350404597734,0.10277431291334806,-0.026249895386939236,0.07321202576474176
MeanReversionAgent,0.3531000157807763,0.5095156835420307,0.4695041198244686,0.24453182943120175,0.32214000481370236,0.19823387279584853,1.0,0.21674959686424303,0.4904341284992781,0.07964708254832924,0.37257225493379503,0.019902127658365156
MomentumAgent,0.5730017314393836,0.010476866992345074,0.5307753642787633,0.6198385851499103,0.3972215429827049,0.23015980318957371,0.21674959686424303,1.0,0.6364314376402925,0.44245947478083103,0.37650053384530335,0.4862062261839868
PersuaderAgent,0.8320099860154297,0.28413240667780193,0.6512186838778977,0.6347024267348231,0.5611589253238306,0.24536350404597734,0.4904341284992781,0.6364314376402925,1.0,0.3955316947172266,0.5173234927951238,0.31187580674000137
RandomAgent,0.5936492825619284,0.03419327483880313,0.5124025918701163,0.6580933953686894,0.4980481732328303,0.10277431291334806,0.07964708254832924,0.44245947478083103,0.3955316947172266,1.0,0.3175867661211659,0.6811143885831963
SocialGraphAgent,0.5541401363854775,0.1063039518681467,0.5537262143980011,0.5841524788314145,0.5552585488705065,-0.026249895386939236,0.37257225493379503,0.37650053384530335,0.5173234927951238,0.3175867661211659,1.0,0.27054472283869774
TruthfulReporterAgent,0.5128108021849509,-0.08156481696626439,0.49802313361161193,0.6312881254953482,0.37083770424826296,0.07321202576474176,0.019902127658365156,0.4862062261839868,0.31187580674000137,0.6811143885831963,0.27054472283869774,1.0
