date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,95020.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,97222.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,98003.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,98003.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,98996.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,79324.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,97222.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100498.0,95020.0
2021-01-05,ContrarianAgent,100013.0,94431.0
2021-01-05,DrawdownBuyerAgent,100000.0,91573.0
2021-01-05,DynamicTeamAgent,100062.45,98003.0
2021-01-05,FreeRiderAgent,100062.45,95943.55
2021-01-05,LowVolatilityAgent,99901.0,85529.0
2021-01-05,MeanReversionAgent,100000.0,97209.0
2021-01-05,MomentumAgent,100017.0,98996.0
2021-01-05,PersuaderAgent,101314.0,79324.0
2021-01-05,RandomAgent,100017.0,98893.9
2021-01-05,SocialGraphAgent,100013.0,94431.0
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100562.0,95020.0
2021-01-06,ContrarianAgent,100181.0,94431.0
2021-01-06,DrawdownBuyerAgent,100147.0,91573.0
2021-01-06,DynamicTeamAgent,100103.0,98003.0
2021-01-06,FreeRiderAgent,100143.55,95943.55
2021-01-06,LowVolatilityAgent,100040.0,85529.0
2021-01-06,MeanReversionAgent,100084.0,97209.0
2021-01-06,MomentumAgent,100046.0,98996.0
2021-01-06,PersuaderAgent,100954.0,79324.0
2021-01-06,RandomAgent,100048.9,98565.6
2021-01-06,SocialGraphAgent,100181.0,94431.0
2021-01-06,TruthfulReporterAgent,100000.0,100000.0
2021-01-07,CommitteeTeamAgent,100849.0,95020.0
2021-01-07,ContrarianAgent,100189.0,94431.0
2021-01-07,DrawdownBuyerAgent,100199.0,91573.0
2021-01-07,DynamicTeamAgent,100143.0,98003.0
2021-01-07,FreeRiderAgent,100223.55,95943.55
2021-01-07,LowVolatilityAgent,100601.0,85529.0
2021-01-07,MeanReversionAgent,100088.0,97209.0
2021-01-07,MomentumAgent,100114.0,100114.0
2021-01-07,PersuaderAgent,101828.0,79324.0
2021-01-07,RandomAgent,100125.4,98677.4
2021-01-07,SocialGraphAgent,100189.0,94431.0
2021-01-07,TruthfulReporterAgent,100000.0,100000.0
2021-01-08,CommitteeTeamAgent,100754.0,95020.0
2021-01-08,ContrarianAgent,100299.0,94431.0
2021-01-08,DrawdownBuyerAgent,100183.0,91573.0
2021-01-08,DynamicTeamAgent,100093.0,98003.0
2021-01-08,FreeRiderAgent,100123.55,95943.55
2021-01-08,LowVolatilityAgent,100490.0,85529.0
2021-01-08,MeanReversionAgent,100143.0,97209.0
2021-01-08,MomentumAgent,100114.0,100114.0
2021-01-08,PersuaderAgent,102075.0,79324.0
2021-01-08,RandomAgent,100129.4,99244.9
2021-01-08,SocialGraphAgent,100299.0,94431.0
2021-01-08,TruthfulReporterAgent,100000.0,100000.0
2021-01-11,CommitteeTeamAgent,100920.0,100920.0
2021-01-11,ContrarianAgent,100387.0,97409.0
2021-01-11,DrawdownBuyerAgent,99976.0,91573.0
2021-01-11,DynamicTeamAgent,100102.73,98003.0
2021-01-11,FreeRiderAgent,100143.01,95943.55
2021-01-11,LowVolatilityAgent,100471.0,83108.0
2021-01-11,MeanReversionAgent,100187.0,100187.0
2021-01-11,MomentumAgent,100114.0,94214.0
2021-01-11,PersuaderAgent,102810.0,79324.0
2021-01-11,RandomAgent,100079.6,99185.9
2021-01-11,SocialGraphAgent,100387.0,94431.0
2021-01-11,TruthfulReporterAgent,100000.0,100000.0
2021-01-12,CommitteeTeamAgent,100920.0,100920.0
2021-01-12,ContrarianAgent,100379.0,97409.0
2021-01-12,DrawdownBuyerAgent,100355.0,60573.0
2021-01-12,DynamicTeamAgent,100163.9,93033.0
2021-01-12,FreeRiderAgent,100265.35,95943.55
2021-01-12,LowVolatilityAgent,100973.0,85593.0
2021-01-12,MeanReversionAgent,100187.0,69187.0
2021-01-12,MomentumAgent,100339.0,89244.0
2021-01-12,PersuaderAgent,103023.0,91173.5
2021-01-12,RandomAgent,100102.15,99458.4
2021-01-12,SocialGraphAgent,100371.0,97401.0
