agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
SocialGraphAgent,0.007307900000000034,0.03737956710462709,0.008823548434458605,4.236341805372616,-0.002410243017646474,50
DynamicTeamAgent,0.005509500000000056,0.02807864419039774,0.017454275913367116,1.6086971656552134,-0.008617170039921351,50
PersuaderAgent,0.021378800000000142,0.11250422757777168,0.07108473514913975,1.5826777344212017,-0.03407614620369004,50
LowVolatilityAgent,0.006115700000000057,0.031206275264183292,0.019941628342512913,1.5648809980905942,-0.0049270597090311785,50
CommitteeTeamAgent,0.006725300000000045,0.034359135019584874,0.02975353903474719,1.1547915352005391,-0.016372761402511427,50
FreeRiderAgent,0.003856599999999988,0.0195892796678816,0.018342938947793357,1.0679466209660025,-0.009808938718150695,50
MeanReversionAgent,0.011576400000000042,0.059725515614921676,0.12277248908992326,0.4864731183480073,-0.04799524888458584,50
RandomAgent,0.0014753999999999046,0.007458210776125851,0.022259452380144696,0.3350581428848866,-0.007152334924197312,50
TruthfulReporterAgent,-0.00011419999999995323,-0.0005754352410353158,0.0015513415295284718,-0.37092750376522093,-0.0005597504632435246,50
DrawdownBuyerAgent,-0.0341823,-0.16078815035514193,0.3838496056345867,-0.418883197989286,-0.18560853574092506,50
MomentumAgent,-0.01364809999999994,-0.0669160850299978,0.04407012180467887,-1.5184002741488543,-0.031792498255751145,50
ContrarianAgent,-0.021725399999999895,-0.10479537106516323,0.03921196970639997,-2.672535244972891,-0.027191505891492995,50
