agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.26009067090174914,0.5629074464189638,0.4449494582678354,0.7271747294763526,0.3771423279549882,0.5324990723292196,0.5649690179351602,0.6707066909790466,0.5210689018687852,0.5111284433591778,0.29412573224036975
ContrarianAgent,0.26009067090174914,1.0,0.22633499067654808,0.36434544947857306,0.3579782685622253,0.16004968262313107,0.3507175059402737,0.3692015947634107,0.08225283399942956,0.22437747212501336,0.39571138123167643,0.5472948415842354
DrawdownBuyerAgent,0.5629074464189638,0.22633499067654808,1.0,0.5042843807853076,0.7188983920898728,0.29443851600630405,0.9426643876662836,0.7987762595331706,0.4859415676419487,0.872024197964301,0.6467838366811439,0.42805520868266417
DynamicTeamAgent,0.4449494582678354,0.36434544947857306,0.5042843807853076,1.0,0.5810352071092141,0.44787926596128147,0.5459591304183485,0.49682231628464335,0.353413848704069,0.49135228611934345,0.5883961307246637,0.5115154868470099
FreeRiderAgent,0.7271747294763526,0.3579782685622253,0.7188983920898728,0.5810352071092141,1.0,0.4381095933229883,0.7055379760963674,0.6954929738231762,0.38543212425072504,0.6996831059526731,0.7213830158848964,0.5021753869228559
LowVolatilityAgent,0.3771423279549882,0.16004968262313107,0.29443851600630405,0.44787926596128147,0.4381095933229883,1.0,0.3218557299275446,0.39683631629216354,0.03164118916669089,0.2790555519346375,0.10085306948393438,0.17694436951978718
MeanReversionAgent,0.5324990723292196,0.3507175059402737,0.9426643876662836,0.5459591304183485,0.7055379760963674,0.3218557299275446,1.0,0.8299413428035483,0.45334787367947504,0.9090739514512752,0.6448717522749169,0.4369912478437573
MomentumAgent,0.5649690179351602,0.3692015947634107,0.7987762595331706,0.49682231628464335,0.6954929738231762,0.39683631629216354,0.8299413428035483,1.0,0.4826823233022252,0.8026151672113717,0.4324277070246284,0.33175373041187134
PersuaderAgent,0.6707066909790466,0.08225283399942956,0.4859415676419487,0.353413848704069,0.38543212425072504,0.03164118916669089,0.45334787367947504,0.4826823233022252,1.0,0.6014082369703242,0.26174704035992075,0.1386947465545553
RandomAgent,0.5210689018687852,0.22437747212501336,0.872024197964301,0.49135228611934345,0.6996831059526731,0.2790555519346375,0.9090739514512752,0.8026151672113717,0.6014082369703242,1.0,0.5521610902979273,0.3748304772358574
SocialGraphAgent,0.5111284433591778,0.39571138123167643,0.6467838366811439,0.5883961307246637,0.7213830158848964,0.10085306948393438,0.6448717522749169,0.4324277070246284,0.26174704035992075,0.5521610902979273,1.0,0.7556639863374932
TruthfulReporterAgent,0.29412573224036975,0.5472948415842354,0.42805520868266417,0.5115154868470099,0.5021753869228559,0.17694436951978718,0.4369912478437573,0.33175373041187134,0.1386947465545553,0.3748304772358574,0.7556639863374932,1.0
