date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,95020.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,97222.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,97222.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,79324.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,98996.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100498.0,95020.0
2021-01-05,ContrarianAgent,100013.0,94431.0
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0
2021-01-05,DynamicTeamAgent,100000.0,100000.0
2021-01-05,FreeRiderAgent,100000.0,100000.0
2021-01-05,LowVolatilityAgent,100013.0,97222.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,100000.0,78010.0
2021-01-05,PersuaderAgent,101314.0,79324.0
2021-01-05,RandomAgent,100017.0,100017.0
2021-01-05,SocialGraphAgent,100017.0,98996.0
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100562.0,95020.0
2021-01-06,ContrarianAgent,100181.0,94431.0
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0
2021-01-06,DynamicTeamAgent,100000.0,98950.0
2021-01-06,FreeRiderAgent,100000.0,98950.0
2021-01-06,LowVolatilityAgent,100097.0,97222.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,99640.0,76960.0
2021-01-06,PersuaderAgent,100954.0,79324.0
2021-01-06,RandomAgent,100017.0,98967.0
2021-01-06,SocialGraphAgent,100046.0,98996.0
2021-01-06,TruthfulReporterAgent,100000.0,100000.0
2021-01-07,CommitteeTeamAgent,100849.0,95020.0
2021-01-07,ContrarianAgent,100189.0,94431.0
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0
2021-01-07,DynamicTeamAgent,100068.0,98950.0
2021-01-07,FreeRiderAgent,100068.0,98950.0
2021-01-07,LowVolatilityAgent,100101.0,97222.0
2021-01-07,MeanReversionAgent,100000.0,100000.0
2021-01-07,MomentumAgent,100582.0,75842.0
2021-01-07,PersuaderAgent,101828.0,78206.0
2021-01-07,RandomAgent,100085.0,100085.0
2021-01-07,SocialGraphAgent,100114.0,98996.0
2021-01-07,TruthfulReporterAgent,100000.0,98882.0
2021-01-08,CommitteeTeamAgent,100754.0,95020.0
2021-01-08,ContrarianAgent,100299.0,94431.0
2021-01-08,DrawdownBuyerAgent,100000.0,97066.0
2021-01-08,DynamicTeamAgent,100085.0,98950.0
2021-01-08,FreeRiderAgent,100085.0,98950.0
2021-01-08,LowVolatilityAgent,100156.0,97222.0
2021-01-08,MeanReversionAgent,100000.0,100000.0
2021-01-08,MomentumAgent,100863.0,74707.0
2021-01-08,PersuaderAgent,102092.0,77071.0
2021-01-08,RandomAgent,100085.0,99971.5
2021-01-08,SocialGraphAgent,100131.0,98996.0
2021-01-08,TruthfulReporterAgent,100017.0,98882.0
2021-01-11,CommitteeTeamAgent,100920.0,95020.0
2021-01-11,ContrarianAgent,100387.0,94431.0
2021-01-11,DrawdownBuyerAgent,100044.0,58066.0
2021-01-11,DynamicTeamAgent,100017.0,98950.0
2021-01-11,FreeRiderAgent,100017.0,98950.0
2021-01-11,LowVolatilityAgent,100200.0,97222.0
2021-01-11,MeanReversionAgent,100000.0,61000.0
2021-01-11,MomentumAgent,101394.0,68807.0
2021-01-11,PersuaderAgent,102691.0,77071.0
2021-01-11,RandomAgent,100078.2,100078.2
2021-01-11,SocialGraphAgent,100063.0,98996.0
2021-01-11,TruthfulReporterAgent,99949.0,98882.0
2021-01-12,CommitteeTeamAgent,101145.0,98082.5
2021-01-12,ContrarianAgent,100371.0,94431.0
2021-01-12,DrawdownBuyerAgent,101153.0,27066.0
2021-01-12,DynamicTeamAgent,100040.0,100040.0
2021-01-12,FreeRiderAgent,100040.0,98950.0
2021-01-12,LowVolatilityAgent,100192.0,97222.0
2021-01-12,MeanReversionAgent,101117.0,61000.0
2021-01-12,MomentumAgent,101901.0,63837.0
2021-01-12,PersuaderAgent,102950.0,77616.0
2021-01-12,RandomAgent,100078.2,84578.2
2021-01-12,SocialGraphAgent,100086.0,98996.0
