date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,97222.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,99595.9
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,59590.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,90099.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,97222.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,98996.0
2021-01-05,CommitteeTeamAgent,100013.0,87068.0
2021-01-05,ContrarianAgent,100000.0,100000.0
2021-01-05,DrawdownBuyerAgent,100000.0,99598.0
2021-01-05,DynamicTeamAgent,99997.9,99193.9
2021-01-05,FreeRiderAgent,100000.0,100000.0
2021-01-05,LowVolatilityAgent,99901.0,85529.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,99790.0,59590.0
2021-01-05,PersuaderAgent,100253.0,79945.0
2021-01-05,RandomAgent,100017.0,100017.0
2021-01-05,SocialGraphAgent,100013.0,94431.0
2021-01-05,TruthfulReporterAgent,100017.0,98996.0
2021-01-06,CommitteeTeamAgent,100039.0,87068.0
2021-01-06,ContrarianAgent,100000.0,100000.0
2021-01-06,DrawdownBuyerAgent,100004.77,99598.0
2021-01-06,DynamicTeamAgent,100007.44,99193.9
2021-01-06,FreeRiderAgent,100000.0,100000.0
2021-01-06,LowVolatilityAgent,100040.0,85529.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,100267.0,59590.0
2021-01-06,PersuaderAgent,100137.0,77070.0
2021-01-06,RandomAgent,100017.0,94475.0
2021-01-06,SocialGraphAgent,100181.0,84335.0
2021-01-06,TruthfulReporterAgent,100046.0,98996.0
2021-01-07,CommitteeTeamAgent,100429.0,87068.0
2021-01-07,ContrarianAgent,100000.0,100000.0
2021-01-07,DrawdownBuyerAgent,100011.23,99598.0
2021-01-07,DynamicTeamAgent,100020.36,99193.9
2021-01-07,FreeRiderAgent,100000.0,99712.1
2021-01-07,LowVolatilityAgent,100601.0,82650.0
2021-01-07,MeanReversionAgent,100000.0,100000.0
2021-01-07,MomentumAgent,100913.0,59590.0
2021-01-07,PersuaderAgent,100913.0,75952.0
2021-01-07,RandomAgent,100304.0,93357.0
2021-01-07,SocialGraphAgent,100575.0,84335.0
2021-01-07,TruthfulReporterAgent,100114.0,100114.0
2021-01-08,CommitteeTeamAgent,100303.0,87068.0
2021-01-08,ContrarianAgent,100000.0,100000.0
2021-01-08,DrawdownBuyerAgent,100002.5,99598.0
2021-01-08,DynamicTeamAgent,100002.9,99193.9
2021-01-08,FreeRiderAgent,100005.5,99712.1
2021-01-08,LowVolatilityAgent,100545.0,82650.0
2021-01-08,MeanReversionAgent,100000.0,100000.0
2021-01-08,MomentumAgent,100040.0,58455.0
2021-01-08,PersuaderAgent,100623.0,75952.0
2021-01-08,RandomAgent,100226.0,90423.0
2021-01-08,SocialGraphAgent,100504.0,83200.0
2021-01-08,TruthfulReporterAgent,100114.0,100114.0
2021-01-11,CommitteeTeamAgent,100146.0,81168.0
