agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
RandomAgent,0.015204400000000007,0.07902025327388373,0.10913339726401085,0.724070314449401,-0.023891617037578805,50
CommitteeTeamAgent,0.008853599999999906,0.045427370633609465,0.2072748850029214,0.21916485749331954,-0.06713069450585174,50
SocialGraphAgent,-0.0010239999999999139,-0.005150295728979737,0.12372872058343452,-0.0416257090891578,-0.04639645659520031,50
DynamicTeamAgent,-0.002889999999999948,-0.014480817589807904,0.2000184181903085,-0.07239742080166868,-0.07488895189490596,50
PersuaderAgent,-0.014011000000000107,-0.06864503948977796,0.18878436369793536,-0.3636161287150536,-0.07249849061305069,50
DrawdownBuyerAgent,-0.03797320000000004,-0.17725862075192722,0.3129158167412461,-0.5664738286416009,-0.16317898008022724,50
LowVolatilityAgent,-0.004894299999999907,-0.02442460584509787,0.035603826892364125,-0.6860106897760522,-0.02282514337339936,50
TruthfulReporterAgent,-0.05661000000000005,-0.25450627430829853,0.2779768057387525,-0.9155665834490091,-0.14296844892009186,50
MeanReversionAgent,-0.09109710000000004,-0.3820858434366734,0.30834528684253304,-1.239149290554256,-0.15201826765635384,50
FreeRiderAgent,-0.04790399999999995,-0.21917999343623173,0.16171703349003735,-1.3553302871446402,-0.08903585315820084,50
MomentumAgent,-0.13615750000000004,-0.5217772663528905,0.31717252666591106,-1.6450897303047207,-0.1654279086802588,50
ContrarianAgent,-0.14117199999999996,-0.5356053334253918,0.25666604842773755,-2.0867790528056056,-0.1632659622663568,50
