date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,MomentumAgent,300750,BUY,100,404.1,40410.0,59590.0,100000.0,0.0,0.0,BUY 100 300750 @ 404.10；首日无历史回报，但宁德时代为新能源龙头，预期趋势延续，追涨买入。
2021-01-04,LowVolatilityAgent,600036,BUY,100,43.17,4317.0,95683.0,100000.0,0.0,0.0,BUY 100 600036 @ 43.17；低估值银行，波动率低，适合初始建仓，控制回撤
2021-01-04,RandomAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；成交量异常放大，可能预示资金关注，随机因子触发买入
2021-01-04,TruthfulReporterAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；首日成交量最高达4.45亿，资金关注度高，但无历史趋势参考，轻仓试多。
2021-01-04,PersuaderAgent,000333,BUY,100,99.01,9901.0,90099.0,100000.0,0.0,0.0,BUY 100 000333 @ 99.01；基于低波动和基本面稳健，000333作为家电龙头，当前估值合理，适合作为长期持仓，且资金充足可买入10手。
2021-01-04,CommitteeTeamAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；初始建仓，选择低估值蓝筹，分散风险
2021-01-04,DynamicTeamAgent,300750,BUY,1,404.1,404.1,99595.9,100000.0,0.0,0.0,BUY 1 300750 @ 404.10；新能源龙头，长期看好，少量试仓建立头寸
2021-01-04,SocialGraphAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；初期建仓，基于社交图谱策略，先建立头寸以观察市场情绪和好友反馈。
2021-01-05,LowVolatilityAgent,000333,BUY,100,101.54,10154.0,85529.0,99901.0,-99.0,-0.00099,BUY 100 000333 @ 101.54；低波动偏好，000333防御属性，估值合理，分散持仓
2021-01-05,DrawdownBuyerAgent,300750,BUY,1,402.0,402.0,99598.0,100000.0,0.0,0.0,BUY 1 300750 @ 402.00；首日微跌0.52%，新能源龙头，轻仓博反弹
2021-01-05,RandomAgent,601899,SELL,100,10.21,1021.0,100017.0,100017.0,17.0,0.00017,SELL 100 601899 @ 10.21；首日成交量异常但无价格变动，随机离场观望
2021-01-05,PersuaderAgent,000333,BUY,100,101.54,10154.0,79945.0,100253.0,253.0,0.00253,BUY 100 000333 @ 101.54；加仓000333，低波动防御策略，估值合理，继续看好
2021-01-05,CommitteeTeamAgent,000333,BUY,100,101.54,10154.0,87068.0,100013.0,13.0,0.00013,BUY 100 000333 @ 101.54；低波动防御，平衡组合，参考PersuaderAgent信号。
2021-01-05,DynamicTeamAgent,300750,BUY,1,402.0,402.0,99193.9,99997.9,-2.1,-2.1000000000000002e-05,BUY 1 300750 @ 402.00；看好新能源长期趋势，当前回调提供加仓机会，摊薄成本
2021-01-05,SocialGraphAgent,000002,BUY,100,27.91,2791.0,94431.0,100013.0,13.0,0.00013,BUY 100 000002 @ 27.91；加仓基于社交图谱信号，CommitteeTeamAgent同向建仓，低估值蓝筹稳健
2021-01-06,RandomAgent,002415,BUY,100,55.42,5542.0,94475.0,100017.0,17.0,0.00017,BUY 100 002415 @ 55.42；随机选择002415，高成交量无趋势，押注随机波动
2021-01-06,PersuaderAgent,000002,BUY,100,28.75,2875.0,77070.0,100137.0,137.0,0.00137,BUY 100 000002 @ 28.75；低估值蓝筹，社交信号验证，分散组合风险
2021-01-06,SocialGraphAgent,000333,BUY,100,100.96,10096.0,84335.0,100181.0,181.0,0.00181,BUY 100 000333 @ 100.96；跟随好友CommitteeTeamAgent低波动防御信号，看好估值安全边际
2021-01-07,LowVolatilityAgent,000002,BUY,100,28.79,2879.0,82650.0,100601.0,601.0,0.00601,BUY 100 000002 @ 28.79；首日无趋势，低波动蓝筹分散持仓，跟随社交验证信号
2021-01-07,RandomAgent,601899,BUY,100,11.18,1118.0,93357.0,100304.0,304.0,0.00304,BUY 100 601899 @ 11.18；随机策略，放量无趋势博弈反转
2021-01-07,TruthfulReporterAgent,601899,SELL,100,11.18,1118.0,100114.0,100114.0,114.0,0.00114,SELL 100 601899 @ 11.18；放量无趋势，做空信号验证，减仓回避风险
2021-01-07,PersuaderAgent,601899,BUY,100,11.18,1118.0,75952.0,100913.0,913.0,0.00913,BUY 100 601899 @ 11.18；放量滞涨，后续动量突破概率大；与ContrarianAgent反向验证拥挤交易逻辑
2021-01-07,FreeRiderAgent,000002,BUY,10,28.79,287.9,99712.1,100000.0,0.0,0.0,BUY 10 000002 @ 28.79；跟随好友PersuaderAgent低估值逻辑，社交信号验证
2021-01-08,MomentumAgent,601899,BUY,100,11.35,1135.0,58455.0,100040.0,40.0,0.0004,BUY 100 601899 @ 11.35；放量滞涨，后续动量突破概率大，追涨介入
2021-01-08,RandomAgent,000002,BUY,100,29.34,2934.0,90423.0,100226.0,226.0,0.00226,BUY 100 000002 @ 29.34；放量零回报，随机博弈反转
2021-01-08,SocialGraphAgent,601899,BUY,100,11.35,1135.0,83200.0,100504.0,504.0,0.00504,BUY 100 601899 @ 11.35；跟随PersuaderAgent动量突破逻辑，与TruthfulReporter反向验证，利用社交图谱信息传播价值
2021-01-11,MomentumAgent,002415,BUY,100,59.0,5900.0,52555.0,98522.0,-1478.0,-0.01478,BUY 100 002415 @ 59.00；近5日涨幅18%领涨，趋势延续强势
2021-01-11,RandomAgent,002415,SELL,50,59.0,2950.0,93373.0,100368.0,368.0,0.00368,SELL 50 002415 @ 59.00；随机视角：002415近5日涨幅18.47%超买，部分锁定利润；买入300750逆向抄底
2021-01-11,TruthfulReporterAgent,002415,BUY,100,59.0,5900.0,94214.0,100114.0,114.0,0.00114,BUY 100 002415 @ 59.00；ret5=18.47%全市场最高，动量信号强，但ret20=0需确认趋势持续性
2021-01-11,CommitteeTeamAgent,002415,BUY,100,59.0,5900.0,81168.0,100146.0,146.0,0.00146,BUY 100 002415 @ 59.00；002415 ret5=18.47%动量最强，首日零回报但短期突破信号明显，买入博弈延续
2021-01-11,SocialGraphAgent,601899,SELL,100,10.67,1067.0,84267.0,100323.0,323.0,0.00323,SELL 100 601899 @ 10.67；ContrarianAgent做空信号验证放量反转风险，止损
2021-01-12,MomentumAgent,600036,BUY,100,49.7,4970.0,47585.0,99887.0,-113.0,-0.00113,BUY 100 600036 @ 49.70；ret5=17.83%全市场最强，动量延续追涨
2021-01-12,MeanReversionAgent,000858,BUY,100,310.0,31000.0,69000.0,100000.0,0.0,0.0,BUY 100 000858 @ 310.00；均值回归策略：000858近5日跌幅-3.12%最大，超卖反弹概率高
2021-01-12,LowVolatilityAgent,600036,SELL,50,49.7,2485.0,85135.0,101000.0,1000.0,0.01,SELL 50 600036 @ 49.70；600036近5日涨幅17.83%，回撤风险增加，减仓锁定利润
2021-01-12,DrawdownBuyerAgent,000858,BUY,1,310.0,310.0,99288.0,99999.17,-0.83,-8.3e-06,BUY 1 000858 @ 310.00；回撤-3.12%价值修复信号
2021-01-12,RandomAgent,601899,SELL,100,10.9,1090.0,94463.0,100495.5,495.5,0.004955,SELL 100 601899 @ 10.90；放量零回报，Contrarian做空信号验证，卖出锁定利润并准备买入超卖300750
2021-01-12,PersuaderAgent,601899,SELL,100,10.9,1090.0,77042.0,100832.0,832.0,0.00832,SELL 100 601899 @ 10.90；放量零回报，Contrarian做空验证反转风险，减仓止损
2021-01-12,SocialGraphAgent,002415,BUY,100,59.0,5900.0,78367.0,100842.0,842.0,0.00842,BUY 100 002415 @ 59.00；Delta Agent 好友 CommitteeTeamAgent 和 TruthfulReporterAgent 均买入动量，社交信号验证
2021-01-13,MomentumAgent,002594,BUY,100,239.3,23930.0,23655.0,98084.0,-1916.0,-0.01916,BUY 100 002594 @ 239.30；追涨强势股，ret5=10.63%全市场第二强
2021-01-13,MeanReversionAgent,000858,BUY,50,305.33,15266.5,53733.5,99533.0,-467.0,-0.00467,BUY 50 000858 @ 305.33；000858 ret5=-7%过度抛售，均值回归预期反弹。
2021-01-13,LowVolatilityAgent,600036,SELL,50,49.4,2470.0,87605.0,100929.0,929.0,0.00929,SELL 50 600036 @ 49.40；近5日涨幅11.89%，回撤风险增大，锁定利润控制波动
2021-01-13,DrawdownBuyerAgent,300750,BUY,1,385.0,385.0,98903.0,99978.33,-21.67,-0.0002167,BUY 1 300750 @ 385.00；300750近5日回调-5.35%，属于跌深标的，且DynamicTeamAgent持有相同逻辑，加仓博价值修复。
2021-01-13,RandomAgent,300750,BUY,100,385.0,38500.0,55963.0,100448.5,448.5,0.004485,BUY 100 300750 @ 385.00；跌幅-5.35%，随机视角反向买入，非共识抄底
2021-01-13,PersuaderAgent,002415,BUY,100,59.91,5991.0,71051.0,100700.0,700.0,0.007,BUY 100 002415 @ 59.91；ret5=8.1%动量强，SocialGraphAgent等验证，分歧中做多趋势延续。
2021-01-14,MomentumAgent,002415,BUY,100,57.24,5724.0,17931.0,94623.0,-5377.0,-0.05377,BUY 100 002415 @ 57.24；002415 ret5=8.1%趋势最强，多家agent分歧验证，追涨加仓
2021-01-14,MeanReversionAgent,000858,BUY,50,289.4,14470.0,39263.5,97143.5,-2856.5,-0.028565,BUY 50 000858 @ 289.40；5日跌幅12.3%，超卖均值回归
2021-01-14,LowVolatilityAgent,000333,SELL,100,99.6,9960.0,97565.0,100564.0,564.0,0.00564,SELL 100 000333 @ 99.60；000333 5日跌幅-4.98%，波动加大，降低回撤风险
2021-01-14,DrawdownBuyerAgent,300750,BUY,1,369.01,369.01,98533.99,99930.42,-69.58,-0.0006958,BUY 1 300750 @ 369.01；300750近5日跌幅-10.7%，回撤充分，低吸价值修复机会。
2021-01-14,RandomAgent,601899,BUY,100,10.43,1043.0,54920.0,98725.0,-1275.0,-0.01275,BUY 100 601899 @ 10.43；跌幅-6.71%且成交量放大，随机视角反向抄底，非共识博弈反弹。
2021-01-14,PersuaderAgent,600036,BUY,100,49.05,4905.0,66146.0,99694.0,-306.0,-0.00306,BUY 100 600036 @ 49.05；银行股动量6.86%，分歧中做多趋势延续
2021-01-14,CommitteeTeamAgent,002415,SELL,100,57.24,5724.0,86892.0,99851.0,-149.0,-0.00149,SELL 100 002415 @ 57.24；Contrarian做空信号强化，002415 ret5转为负，分歧中反转风险上升，减仓锁定利润
2021-01-15,MomentumAgent,600036,BUY,100,51.14,5114.0,12817.0,96456.0,-3544.0,-0.03544,BUY 100 600036 @ 51.14；银行股动量9.74%最强，分歧验证趋势延续，加仓做多
2021-01-15,MeanReversionAgent,000858,BUY,100,287.7,28770.0,10493.5,96803.5,-3196.5,-0.031965,BUY 100 000858 @ 287.70；ret5跌9.24%超卖，均值回归预期
2021-01-15,DrawdownBuyerAgent,000858,BUY,1,287.7,287.7,98246.29,99963.34,-36.66,-0.00036659999999999997,BUY 1 000858 @ 287.70；000858 ret5深跌9.24%，回撤买入价值修复
2021-01-15,RandomAgent,000858,BUY,100,287.7,28770.0,26150.0,99971.0,-29.0,-0.00029,BUY 100 000858 @ 287.70；000858 ret5跌幅-9.24%放量，随机反向非共识，验证超卖反转
2021-01-15,PersuaderAgent,002415,SELL,100,58.9,5890.0,72036.0,100083.0,83.0,0.00083,SELL 100 002415 @ 58.90；反转信号强化，委员会已离场，分歧验证后减仓
2021-01-15,CommitteeTeamAgent,000333,SELL,100,99.69,9969.0,96861.0,99856.0,-144.0,-0.00144,SELL 100 000333 @ 99.69；000333 ret5转负，反转信号增强，减仓控制回撤
2021-01-15,DynamicTeamAgent,300750,SELL,2,380.55,761.1,99955.0,99955.0,-45.0,-0.00045,SELL 2 300750 @ 380.55；跌幅大且全市场零趋势，分歧验证中风险上升，止损离场
2021-01-15,SocialGraphAgent,002415,SELL,100,58.9,5890.0,84257.0,100216.0,216.0,0.00216,SELL 100 002415 @ 58.90；委员会卖出信号强化，社交图谱显示反转风险上升
2021-01-18,MomentumAgent,300750,SELL,100,383.9,38390.0,51207.0,96785.0,-3215.0,-0.03215,SELL 100 300750 @ 383.90；追涨
2021-01-18,DrawdownBuyerAgent,000858,BUY,1,284.55,284.55,97961.74,99967.09,-32.91,-0.0003291,BUY 1 000858 @ 284.55；000858 ret5=-5.53%深度回撤，加仓摊低成本，等待均值修复
2021-01-18,RandomAgent,000002,SELL,100,31.26,3126.0,29276.0,100179.0,179.0,0.00179,SELL 100 000002 @ 31.26；000002超买，随机反向卖出验证分歧
2021-01-18,TruthfulReporterAgent,002415,SELL,100,59.78,5978.0,100192.0,100192.0,192.0,0.00192,SELL 100 002415 @ 59.78；反转信号增强，多位agent卖出，分歧验证后看跌
2021-01-18,PersuaderAgent,600036,SELL,100,51.92,5192.0,77228.0,100178.0,178.0,0.00178,SELL 100 600036 @ 51.92；600036近5日涨幅7.23%，超买信号明显，ContrarianAgent预期反转，分歧验证后减仓控制风险。
2021-01-18,ContrarianAgent,000858,BUY,100,284.55,28455.0,71545.0,100000.0,0.0,0.0,BUY 100 000858 @ 284.55；超卖放量，逆向买入分歧验证
