agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.5159668276423265,0.5129725741957879,0.6425606579449924,0.5085234753001882,0.28990051851973997,0.5554348248022598,0.6741265791344434,0.7030179511163812,0.5495715249687197,0.37310899103878176,0.7207299927662568
ContrarianAgent,0.5159668276423265,1.0,0.714271031859494,0.5347554782284457,0.48293867450685496,0.046711564977679525,0.7155707055122782,0.5467367620103155,0.7994219784031084,0.7755702782764969,0.16354664753842751,0.29600324919973087
DrawdownBuyerAgent,0.5129725741957879,0.714271031859494,1.0,0.7723942902993846,0.5674453337562769,0.051234556613831146,0.9727847429173194,0.6201520325187918,0.7390186584625738,0.9325033997717846,0.06503347128511305,0.23554854657176294
DynamicTeamAgent,0.6425606579449924,0.5347554782284457,0.7723942902993846,1.0,0.4715008873772652,-0.00705859772253462,0.7602539421561126,0.5962941885703462,0.6137937566972942,0.7392700040334668,-0.023380187726055667,0.28827584019386787
FreeRiderAgent,0.5085234753001882,0.48293867450685496,0.5674453337562769,0.4715008873772652,1.0,0.08394272767209511,0.48033265295862226,0.5024180252427843,0.5813867336645222,0.7117657075602479,0.3350314720287322,0.388510665134971
LowVolatilityAgent,0.28990051851973997,0.046711564977679525,0.051234556613831146,-0.00705859772253462,0.08394272767209511,1.0,0.054188069109467746,0.0817864299357049,0.18374285457407752,0.0890311605337816,0.2680021622852844,0.2623396000915368
MeanReversionAgent,0.5554348248022598,0.7155707055122782,0.9727847429173194,0.7602539421561126,0.48033265295862226,0.054188069109467746,1.0,0.6463587772919488,0.7429285738434243,0.8961228913072444,0.08380559057217082,0.2754878660338
MomentumAgent,0.6741265791344434,0.5467367620103155,0.6201520325187918,0.5962941885703462,0.5024180252427843,0.0817864299357049,0.6463587772919488,1.0,0.7602096466760758,0.6790312435426209,0.30336490851711234,0.5409904626697283
PersuaderAgent,0.7030179511163812,0.7994219784031084,0.7390186584625738,0.6137937566972942,0.5813867336645222,0.18374285457407752,0.7429285738434243,0.7602096466760758,1.0,0.8149562784077232,0.27203024063938924,0.6023397235225362
RandomAgent,0.5495715249687197,0.7755702782764969,0.9325033997717846,0.7392700040334668,0.7117657075602479,0.0890311605337816,0.8961228913072444,0.6790312435426209,0.8149562784077232,1.0,0.09791751863341075,0.2657527521408652
SocialGraphAgent,0.37310899103878176,0.16354664753842751,0.06503347128511305,-0.023380187726055667,0.3350314720287322,0.2680021622852844,0.08380559057217082,0.30336490851711234,0.27203024063938924,0.09791751863341075,1.0,0.6663997848683115
TruthfulReporterAgent,0.7207299927662568,0.29600324919973087,0.23554854657176294,0.28827584019386787,0.388510665134971,0.2623396000915368,0.2754878660338,0.5409904626697283,0.6023397235225362,0.2657527521408652,0.6663997848683115,1.0
