date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,98003.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,150.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,59590.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,79324.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,97222.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100062.45,95212.0
2021-01-05,ContrarianAgent,100000.0,100000.0
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0
2021-01-05,DynamicTeamAgent,103122.5,10.45
2021-01-05,FreeRiderAgent,100000.0,78010.0
2021-01-05,LowVolatilityAgent,100000.0,95782.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,99790.0,37600.0
2021-01-05,PersuaderAgent,101314.0,57334.0
2021-01-05,RandomAgent,100017.0,93518.0
2021-01-05,SocialGraphAgent,100013.0,97222.0
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100187.0,73582.0
2021-01-06,ContrarianAgent,100000.0,100000.0
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0
2021-01-06,DynamicTeamAgent,105154.2,10.45
2021-01-06,FreeRiderAgent,99640.0,99640.0
2021-01-06,LowVolatilityAgent,100197.0,92907.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,99907.0,15970.0
2021-01-06,PersuaderAgent,100594.0,35704.0
2021-01-06,RandomAgent,100110.0,94568.0
2021-01-06,SocialGraphAgent,100097.0,97222.0
2021-01-06,TruthfulReporterAgent,100000.0,78370.0
