date,manager,agent,previous_weight,agent_return,log_loss,drawdown_penalty,cvar_penalty,total_loss
2021-01-04,hedge_agent_portfolio,CommitteeTeamAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,ContrarianAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,DrawdownBuyerAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,DynamicTeamAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,FreeRiderAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,LowVolatilityAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,MeanReversionAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,MomentumAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,PersuaderAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,RandomAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,SocialGraphAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-04,hedge_agent_portfolio,TruthfulReporterAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-05,hedge_agent_portfolio,CommitteeTeamAgent,0.08333333333333333,0.0006245000000000278,-0.0006243050810220737,0.0,0.0,-0.0006243050810220737
2021-01-05,hedge_agent_portfolio,ContrarianAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-05,hedge_agent_portfolio,DrawdownBuyerAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-05,hedge_agent_portfolio,DynamicTeamAgent,0.08333333333333333,0.031225000000000058,-0.030747415948659006,0.0,0.0,-0.030747415948659006
2021-01-05,hedge_agent_portfolio,FreeRiderAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-05,hedge_agent_portfolio,LowVolatilityAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-05,hedge_agent_portfolio,MeanReversionAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-05,hedge_agent_portfolio,MomentumAgent,0.08333333333333333,-0.0020999999999999908,0.0021022080918701985,0.0007349999999999967,0.0004199999999999982,0.0032572080918701935
2021-01-05,hedge_agent_portfolio,PersuaderAgent,0.08333333333333333,0.01313999999999993,-0.01305441907370944,0.0,0.0,-0.01305441907370944
2021-01-05,hedge_agent_portfolio,RandomAgent,0.08333333333333333,0.00017000000000000348,-0.00016998555163746137,0.0,0.0,-0.00016998555163746137
2021-01-05,hedge_agent_portfolio,SocialGraphAgent,0.08333333333333333,0.00012999999999996348,-0.00012999155073222543,0.0,0.0,-0.00012999155073222543
2021-01-05,hedge_agent_portfolio,TruthfulReporterAgent,0.08333333333333333,0.0,-0.0,0.0,0.0,0.0
2021-01-06,hedge_agent_portfolio,CommitteeTeamAgent,0.08284898763301475,0.0012447226706921999,-0.0012439486456598233,0.0,0.0,-0.0012439486456598233
2021-01-06,hedge_agent_portfolio,ContrarianAgent,0.08274560610018854,0.0,-0.0,0.0,0.0,0.0
2021-01-06,hedge_agent_portfolio,DrawdownBuyerAgent,0.08274560610018854,0.0,-0.0,0.0,0.0,0.0
2021-01-06,hedge_agent_portfolio,DynamicTeamAgent,0.087993746218809,0.019701810952992727,-0.019510242352919527,0.0,0.0,-0.019510242352919527
2021-01-06,hedge_agent_portfolio,FreeRiderAgent,0.08274560610018854,-0.0036000000000000476,0.003606495594111744,0.0012600000000000165,0.0007200000000000096,0.0055864955941117705
2021-01-06,hedge_agent_portfolio,LowVolatilityAgent,0.08274560610018854,0.0019700000000000273,-0.0019680620946982723,0.0,0.0,-0.0019680620946982723
2021-01-06,hedge_agent_portfolio,MeanReversionAgent,0.08274560610018854,0.0,-0.0,0.0,0.0,0.0
