agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
LowVolatilityAgent,0.01661580000000007,0.08660212446202409,0.014406721801359204,6.011230428136233,-0.003399416621347684,50
CommitteeTeamAgent,0.014908399999999933,0.07743556965502929,0.066453930161879,1.16525191913254,-0.027641817302211602,50
DynamicTeamAgent,0.04432769999999997,0.2443354081142497,0.32439854442354377,0.7531951431793066,-0.1647006678087488,50
TruthfulReporterAgent,0.0035586999999999147,0.018065246967351234,0.05047636380147969,0.3578951732418899,-0.022063243032547253,50
MeanReversionAgent,-0.0816228,-0.3489320606676466,0.399501039647877,-0.8734196561170348,-0.20797949735749155,50
RandomAgent,-0.07975390000000004,-0.34222693248763514,0.3581731713570433,-0.9554789689886845,-0.2057691578542553,50
FreeRiderAgent,-0.025761400000000045,-0.12325504321471215,0.12107189989758496,-1.018031792009326,-0.050611995706675406,50
DrawdownBuyerAgent,-0.09453410000000007,-0.39377285235314885,0.38303324920019005,-1.028038305226463,-0.2041894589738471,50
MomentumAgent,-0.14300259999999998,-0.5405728018795646,0.3232895800245249,-1.672100912867518,-0.19312652675914532,50
SocialGraphAgent,-0.0191519,-0.0928630735612459,0.05309300338657305,-1.749064238937564,-0.029434803773433327,50
PersuaderAgent,-0.15411429999999993,-0.5698193386384034,0.32400819507717643,-1.7586571799601443,-0.22543614020950842,50
ContrarianAgent,-0.05284999999999995,-0.23941007460325237,0.12430855474733354,-1.9259340203083473,-0.06199554345134939,50
