agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.2466899046960138,0.5181665468691623,0.5386387603182802,0.5666972639605207,0.5302346096105649,0.5086764626608532,0.4345108723278337,0.4916686950372138,0.3875063336009176,0.4736469922958579,0.3675037244623663
ContrarianAgent,0.2466899046960138,1.0,0.3728289152079265,0.08885475628994352,-0.10273927014662854,-0.11283798867148344,0.3552927071436721,0.12463761288266408,0.1250336044916097,0.2986007224573536,-0.005796968379687653,0.15692383391886858
DrawdownBuyerAgent,0.5181665468691623,0.3728289152079265,1.0,0.8248658560140314,0.2498934471647424,0.19665472246941842,0.9104356159860872,0.8277710043693561,0.7662031650260226,0.5462254051474199,0.6150562521592997,0.5161659118346227
DynamicTeamAgent,0.5386387603182802,0.08885475628994352,0.8248658560140314,1.0,0.5107723667484192,0.37743295751046874,0.7923410471253494,0.8011873987399732,0.8865345999128885,0.4924803181017882,0.8548860029556155,0.7499381353088945
FreeRiderAgent,0.5666972639605207,-0.10273927014662854,0.2498934471647424,0.5107723667484192,1.0,0.4551647929694274,0.2466685626826582,0.2661015537567429,0.3181572671976267,0.49183001638309304,0.4521201398731295,0.22999453457212213
LowVolatilityAgent,0.5302346096105649,-0.11283798867148344,0.19665472246941842,0.37743295751046874,0.4551647929694274,1.0,0.1922096934816895,0.23934455764456083,0.4159950625002124,0.22548605138880698,0.4743354096489251,0.3579040728711171
MeanReversionAgent,0.5086764626608532,0.3552927071436721,0.9104356159860872,0.7923410471253494,0.2466685626826582,0.1922096934816895,1.0,0.7211989074038875,0.7632472835701772,0.42751221953846663,0.5740553364423324,0.5394276303576191
MomentumAgent,0.4345108723278337,0.12463761288266408,0.8277710043693561,0.8011873987399732,0.2661015537567429,0.23934455764456083,0.7211989074038875,1.0,0.7276186993925478,0.36329089863293856,0.646877771628245,0.50949688327603
PersuaderAgent,0.4916686950372138,0.1250336044916097,0.7662031650260226,0.8865345999128885,0.3181572671976267,0.4159950625002124,0.7632472835701772,0.7276186993925478,1.0,0.4303264887586225,0.7947948220137805,0.8003976405747686
RandomAgent,0.3875063336009176,0.2986007224573536,0.5462254051474199,0.4924803181017882,0.49183001638309304,0.22548605138880698,0.42751221953846663,0.36329089863293856,0.4303264887586225,1.0,0.3098134796345048,0.24670369241540477
SocialGraphAgent,0.4736469922958579,-0.005796968379687653,0.6150562521592997,0.8548860029556155,0.4521201398731295,0.4743354096489251,0.5740553364423324,0.646877771628245,0.7947948220137805,0.3098134796345048,1.0,0.7346333716188701
TruthfulReporterAgent,0.3675037244623663,0.15692383391886858,0.5161659118346227,0.7499381353088945,0.22999453457212213,0.3579040728711171,0.5394276303576191,0.50949688327603,0.8003976405747686,0.24670369241540477,0.7346333716188701,1.0
