agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
LowVolatilityAgent,0.008909999999999973,0.04572196497645842,0.016715380078036662,2.7353230834718048,-0.004704842595884107,50
ContrarianAgent,0.041245500000000046,0.2259360412494109,0.09808017629533752,2.3035851869706656,-0.025870201105448132,50
SocialGraphAgent,0.0037650000000000183,0.019120466779812162,0.031136998559403516,0.6140754621333819,-0.011099312447721665,50
TruthfulReporterAgent,0.001108000000000109,0.005596832642680072,0.0167346748362261,0.3344452579720536,-0.006664861873614036,50
CommitteeTeamAgent,-0.0012469999999999981,-0.006269068756425189,0.011907424908659465,-0.5264840051072771,-0.008182046813912436,50
FreeRiderAgent,-0.0017850000000000366,-0.008964020301558073,0.0163443585656081,-0.5484473597159218,-0.008332397239234846,50
MeanReversionAgent,-0.09214860000000002,-0.3856803192343782,0.45910157688091047,-0.8400762242087059,-0.24813614304065135,50
RandomAgent,-0.015251899999999985,-0.07453763198730579,0.07663808047243757,-0.972592626639609,-0.032422577886281,50
DrawdownBuyerAgent,-0.13493549999999999,-0.5183579569544923,0.4638274932714738,-1.1175662600300027,-0.2681320485776174,50
DynamicTeamAgent,-0.014268699999999912,-0.06987123248576399,0.04987145956424075,-1.4010264206476852,-0.02625197398090995,50
PersuaderAgent,-0.004938200000000115,-0.02464150006529009,0.017051758845041676,-1.4451001969486195,-0.009528214782232314,50
MomentumAgent,-0.11731669999999994,-0.46684099797233036,0.27706834701538624,-1.6849308230304836,-0.1665272813111216,50
