agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.23399944232640965,0.6310424938603361,0.7763447089830658,0.8048732457770652,0.3092053913746513,0.6645087167633136,0.5214349257826648,0.7657791368601744,0.13389664862332878,0.7466262406271021,0.9130464559406662
ContrarianAgent,0.23399944232640965,1.0,0.6460587319981804,0.25091002308856514,0.5862449813111937,0.3190473773621359,0.7431067711268514,0.30632493669391136,0.3725868969639398,0.7508620765780668,0.474970880843308,0.39331263283242895
DrawdownBuyerAgent,0.6310424938603361,0.6460587319981804,1.0,0.7773004875665083,0.7649608266181128,0.45627291480416254,0.9344890355616379,0.5436438080297613,0.5844039413853017,0.4649046215530702,0.8920369838459319,0.7709807445717657
DynamicTeamAgent,0.7763447089830658,0.25091002308856514,0.7773004875665083,1.0,0.7091289834678955,0.4854147404200485,0.7999239558487539,0.43187367610320526,0.6981402610757087,0.25898410537324307,0.8833091869516946,0.8494851202445461
FreeRiderAgent,0.8048732457770652,0.5862449813111937,0.7649608266181128,0.7091289834678955,1.0,0.34313328762615836,0.8215037978328148,0.5060765682847459,0.6310355501071886,0.44511188832578624,0.8266098031670571,0.854862440668296
LowVolatilityAgent,0.3092053913746513,0.3190473773621359,0.45627291480416254,0.4854147404200485,0.34313328762615836,1.0,0.44801409535604797,0.3694728255824897,0.3472239048110736,0.16691851061471955,0.5625561574401822,0.410468903670938
MeanReversionAgent,0.6645087167633136,0.7431067711268514,0.9344890355616379,0.7999239558487539,0.8215037978328148,0.44801409535604797,1.0,0.49585762297547337,0.6796944004807841,0.6067414353552307,0.868260975654996,0.8095542566978644
MomentumAgent,0.5214349257826648,0.30632493669391136,0.5436438080297613,0.43187367610320526,0.5060765682847459,0.3694728255824897,0.49585762297547337,1.0,0.47671674309152307,0.1765661693667435,0.5663234450454226,0.5004550400344898
PersuaderAgent,0.7657791368601744,0.3725868969639398,0.5844039413853017,0.6981402610757087,0.6310355501071886,0.3472239048110736,0.6796944004807841,0.47671674309152307,1.0,0.3971656900667222,0.6692226389518307,0.6983502749573984
RandomAgent,0.13389664862332878,0.7508620765780668,0.4649046215530702,0.25898410537324307,0.44511188832578624,0.16691851061471955,0.6067414353552307,0.1765661693667435,0.3971656900667222,1.0,0.3028623360767188,0.25994977507338507
SocialGraphAgent,0.7466262406271021,0.474970880843308,0.8920369838459319,0.8833091869516946,0.8266098031670571,0.5625561574401822,0.868260975654996,0.5663234450454226,0.6692226389518307,0.3028623360767188,1.0,0.8260627690291951
TruthfulReporterAgent,0.9130464559406662,0.39331263283242895,0.7709807445717657,0.8494851202445461,0.854862440668296,0.410468903670938,0.8095542566978644,0.5004550400344898,0.6983502749573984,0.25994977507338507,0.8260627690291951,1.0
