date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,95020.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,97222.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,98996.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,99595.9
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,79324.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,97222.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100498.0,95020.0
2021-01-05,ContrarianAgent,100000.0,100000.0
2021-01-05,DrawdownBuyerAgent,100013.0,97222.0
2021-01-05,DynamicTeamAgent,100017.0,93518.0
2021-01-05,FreeRiderAgent,100000.0,59800.0
2021-01-05,LowVolatilityAgent,99901.0,95683.0
2021-01-05,MeanReversionAgent,100000.0,97209.0
2021-01-05,MomentumAgent,99997.9,99376.0
2021-01-05,PersuaderAgent,101314.0,57334.0
2021-01-05,RandomAgent,100017.0,100017.0
2021-01-05,SocialGraphAgent,100013.0,94431.0
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100562.0,95020.0
2021-01-06,ContrarianAgent,100000.0,100000.0
2021-01-06,DrawdownBuyerAgent,100097.0,97222.0
2021-01-06,DynamicTeamAgent,100110.0,94568.0
2021-01-06,FreeRiderAgent,100477.0,59800.0
2021-01-06,LowVolatilityAgent,100098.0,95683.0
2021-01-06,MeanReversionAgent,100084.0,97209.0
2021-01-06,MomentumAgent,99995.47,99156.1
2021-01-06,PersuaderAgent,100594.0,57334.0
2021-01-06,RandomAgent,100017.0,67187.0
2021-01-06,SocialGraphAgent,100181.0,88889.0
2021-01-06,TruthfulReporterAgent,100000.0,100000.0
2021-01-07,CommitteeTeamAgent,100849.0,89191.0
2021-01-07,ContrarianAgent,100000.0,100000.0
2021-01-07,DrawdownBuyerAgent,100101.0,97222.0
2021-01-07,DynamicTeamAgent,100397.0,94568.0
2021-01-07,FreeRiderAgent,101123.0,59800.0
2021-01-07,LowVolatilityAgent,100273.0,95683.0
2021-01-07,MeanReversionAgent,100088.0,97209.0
2021-01-07,MomentumAgent,100019.41,99156.1
2021-01-07,PersuaderAgent,102342.0,34830.0
2021-01-07,RandomAgent,100187.0,44683.0
2021-01-07,SocialGraphAgent,100476.0,88889.0
2021-01-07,TruthfulReporterAgent,100000.0,100000.0
2021-01-08,CommitteeTeamAgent,100659.0,89191.0
2021-01-08,ContrarianAgent,100000.0,100000.0
2021-01-08,DrawdownBuyerAgent,100156.0,97222.0
2021-01-08,DynamicTeamAgent,100302.0,71817.0
2021-01-08,FreeRiderAgent,100250.0,59800.0
2021-01-08,LowVolatilityAgent,100343.0,95683.0
2021-01-08,MeanReversionAgent,100143.0,97209.0
2021-01-08,MomentumAgent,100015.62,98928.59
2021-01-08,PersuaderAgent,103083.0,34830.0
2021-01-08,RandomAgent,99134.0,43548.0
2021-01-08,SocialGraphAgent,100491.0,88889.0
2021-01-08,TruthfulReporterAgent,100000.0,100000.0
2021-01-11,CommitteeTeamAgent,100991.0,95091.0
2021-01-11,ContrarianAgent,100000.0,100000.0
2021-01-11,DrawdownBuyerAgent,100200.0,97222.0
2021-01-11,DynamicTeamAgent,101203.0,83560.0
2021-01-11,FreeRiderAgent,98800.0,98800.0
2021-01-11,LowVolatilityAgent,100525.0,95683.0
2021-01-11,MeanReversionAgent,100187.0,100187.0
2021-01-11,MomentumAgent,100023.17,98693.73
2021-01-11,PersuaderAgent,105288.0,34830.0
2021-01-11,RandomAgent,98221.0,67034.0
2021-01-11,SocialGraphAgent,100745.0,91839.0
2021-01-11,TruthfulReporterAgent,100000.0,94100.0
2021-01-12,CommitteeTeamAgent,101216.0,101216.0
2021-01-12,ContrarianAgent,100000.0,100000.0
2021-01-12,DrawdownBuyerAgent,100192.0,97222.0
2021-01-12,DynamicTeamAgent,101534.5,83560.0
2021-01-12,FreeRiderAgent,98800.0,98800.0
2021-01-12,LowVolatilityAgent,100653.0,98168.0
2021-01-12,MeanReversionAgent,100187.0,69187.0
2021-01-12,MomentumAgent,100042.86,99094.9
2021-01-12,PersuaderAgent,105820.5,46573.0
2021-01-12,RandomAgent,99124.0,68124.0
2021-01-12,SocialGraphAgent,100841.5,91839.0
