agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
PersuaderAgent,0.07116129999999998,0.41406236327429013,0.15834933340645102,2.6148664750705013,-0.0412694683271867,50
ContrarianAgent,0.0661989999999999,0.3813536676620928,0.20508214937674032,1.8595166318524285,-0.06197882289507195,50
LowVolatilityAgent,0.004482499999999945,0.02279729213789561,0.012727496764215706,1.7911842807921095,-0.005317157007412754,50
CommitteeTeamAgent,0.026764999999999928,0.14238929059050864,0.11335933808429957,1.256087879453045,-0.05189425133603154,50
FreeRiderAgent,-0.0006780000000000674,-0.0034124432633348967,0.15507264119840655,-0.022005450071420858,-0.05109318597683776,50
DrawdownBuyerAgent,-0.007674199999999964,-0.03808303106506883,0.39486150491515454,-0.09644655300914147,-0.20456037793088033,50
TruthfulReporterAgent,-0.019836999999999994,-0.09605198780081037,0.2518515626832363,-0.38138333063122093,-0.142997446997447,50
SocialGraphAgent,-0.014712999999999976,-0.07198227006665503,0.14055051083256204,-0.5121452041708164,-0.07637157136845063,50
MeanReversionAgent,-0.03836990000000007,-0.17896708995783694,0.34388656649458327,-0.5204247778043285,-0.1548161418537235,50
DynamicTeamAgent,-0.03682960000000002,-0.17231752000952194,0.21958625480908317,-0.7847372785666457,-0.1235900713127388,50
MomentumAgent,-0.05282369999999992,-0.23930362539156036,0.21892743725018995,-1.093072793420975,-0.08480530096497729,50
RandomAgent,-0.032643999999999895,-0.15402972837701867,0.12958048979479306,-1.1886799364699427,-0.06631598910038228,50
