date,agent,return
2021-01-04,CommitteeTeamAgent,0.0
2021-01-04,CommitteeTeamAgent,0.0
2021-01-05,CommitteeTeamAgent,0.0
2021-01-06,CommitteeTeamAgent,0.00028999999999990145
2021-01-07,CommitteeTeamAgent,0.0006798028571715076
2021-01-08,CommitteeTeamAgent,8.491762989892848e-05
2021-01-11,CommitteeTeamAgent,-0.0003396416780296896
2021-01-12,CommitteeTeamAgent,0.0
2021-01-13,CommitteeTeamAgent,-0.000669521292276043
2021-01-14,CommitteeTeamAgent,-0.0013349399277032825
2021-01-15,CommitteeTeamAgent,0.0
2021-01-18,CommitteeTeamAgent,7.810074996750238e-05
2021-01-19,CommitteeTeamAgent,-7.00849429502437e-06
2021-01-20,CommitteeTeamAgent,-1.3015866341059557e-05
2021-01-21,CommitteeTeamAgent,9.211348381210627e-05
2021-01-22,CommitteeTeamAgent,-0.00010011413010835302
2021-01-25,CommitteeTeamAgent,4.705835235685463e-05
2021-01-26,CommitteeTeamAgent,-7.108480417128415e-05
2021-01-27,CommitteeTeamAgent,-0.00024030374393235743
2021-01-28,CommitteeTeamAgent,-0.0010105198218121059
2021-01-29,CommitteeTeamAgent,-0.0006285796205864891
2021-02-01,CommitteeTeamAgent,0.0003832032582307132
2021-02-02,CommitteeTeamAgent,0.00011431528154659532
2021-02-03,CommitteeTeamAgent,0.0012673508757152785
2021-02-04,CommitteeTeamAgent,0.00010814924595936581
2021-02-05,CommitteeTeamAgent,0.0013887665110019487
2021-02-08,CommitteeTeamAgent,0.00037545682246542533
2021-02-09,CommitteeTeamAgent,-0.00036382154553205037
2021-02-10,CommitteeTeamAgent,-0.0002157727047527036
2021-02-18,CommitteeTeamAgent,0.001851265317992734
2021-02-19,CommitteeTeamAgent,-0.0002882920870009853
2021-02-22,CommitteeTeamAgent,-0.0006799983624121708
2021-02-23,CommitteeTeamAgent,0.001018893036714985
2021-02-24,CommitteeTeamAgent,-0.001062475113836281
2021-02-25,CommitteeTeamAgent,0.0033075282841132925
2021-02-26,CommitteeTeamAgent,-0.0017144439864139605
2021-03-01,CommitteeTeamAgent,-6.744246115497621e-05
2021-03-02,CommitteeTeamAgent,-0.000635757910331991
2021-03-03,CommitteeTeamAgent,0.0020261950732161083
2021-03-04,CommitteeTeamAgent,-0.0011404253589309965
2021-03-05,CommitteeTeamAgent,-0.001404865358757501
2021-03-08,CommitteeTeamAgent,-0.0014757654421960753
2021-03-09,CommitteeTeamAgent,-0.0009788619831614387
2021-03-10,CommitteeTeamAgent,0.0003887241167266353
2021-03-11,CommitteeTeamAgent,0.0020397583720128676
2021-03-12,CommitteeTeamAgent,0.0007157286592238687
2021-03-15,CommitteeTeamAgent,-0.000721006370370203
2021-03-16,CommitteeTeamAgent,0.0018789859149976884
2021-03-17,CommitteeTeamAgent,-0.0005760988377420118
2021-03-18,CommitteeTeamAgent,0.0004265868136590356
2021-03-19,CommitteeTeamAgent,-0.002691257213408016
2021-01-04,ContrarianAgent,0.0
2021-01-04,ContrarianAgent,0.0
2021-01-05,ContrarianAgent,0.0
2021-01-06,ContrarianAgent,0.0
2021-01-07,ContrarianAgent,0.0
2021-01-08,ContrarianAgent,0.0
2021-01-11,ContrarianAgent,0.0
2021-01-12,ContrarianAgent,4.599999999999049e-05
2021-01-13,ContrarianAgent,-4.399797609322409e-05
2021-01-14,ContrarianAgent,-4.9999900000208264e-05
2021-01-15,ContrarianAgent,2.600124805995918e-05
2021-01-18,ContrarianAgent,2.600057201251893e-05
2021-01-19,ContrarianAgent,-9.99995999895198e-07
2021-01-20,ContrarianAgent,3.6999889000410846e-05
2021-01-21,ContrarianAgent,0.0003209871605136527
2021-01-22,ContrarianAgent,-1.3994947823947612e-05
2021-01-25,ContrarianAgent,0.0
2021-01-26,ContrarianAgent,0.00010196461827738368
2021-01-27,ContrarianAgent,-8.995960813595882e-05
2021-01-28,ContrarianAgent,0.0
2021-01-29,ContrarianAgent,-7.997129030679062e-05
2021-02-01,ContrarianAgent,0.000867757895547161
2021-02-02,ContrarianAgent,0.002131555106293259
2021-02-03,ContrarianAgent,-0.00035084886487446454
2021-02-04,ContrarianAgent,-0.00025425528626654703
2021-02-05,ContrarianAgent,-0.0005141252291371856
2021-02-08,ContrarianAgent,0.0014468769161763984
2021-02-09,ContrarianAgent,0.0007204004350300774
2021-02-10,ContrarianAgent,0.000765882579606636
2021-02-18,ContrarianAgent,-0.00026305821894268
2021-02-19,ContrarianAgent,5.17497228136321e-06
2021-02-22,ContrarianAgent,-0.00018112309254736392
2021-02-23,ContrarianAgent,-0.00020385016017865354
2021-02-24,ContrarianAgent,-0.0010112949842338015
2021-02-25,ContrarianAgent,-5.1821790046147065e-05
2021-02-26,ContrarianAgent,-0.0007498602981562685
2021-03-01,ContrarianAgent,0.0007487274774606867
2021-03-02,ContrarianAgent,6.278745191767854e-06
2021-03-03,ContrarianAgent,0.0002466634409401536
2021-03-04,ContrarianAgent,-0.000989798124624408
2021-03-05,ContrarianAgent,-0.0002686891559690041
2021-03-08,ContrarianAgent,-0.0007309630855161231
2021-03-09,ContrarianAgent,-0.0005277326713546415
2021-03-10,ContrarianAgent,0.00036958794639851966
2021-03-11,ContrarianAgent,0.0010288722276290407
2021-03-12,ContrarianAgent,0.00011351447703589201
2021-03-15,ContrarianAgent,-0.0009516978910745211
2021-03-16,ContrarianAgent,0.0002432925093760474
2021-03-17,ContrarianAgent,0.00014512156975610147
2021-03-18,ContrarianAgent,0.000283015855274682
2021-03-19,ContrarianAgent,-0.0008929038189945393
2021-01-04,DrawdownBuyerAgent,0.0
2021-01-04,DrawdownBuyerAgent,0.0
2021-01-05,DrawdownBuyerAgent,0.0
2021-01-06,DrawdownBuyerAgent,0.0
2021-01-07,DrawdownBuyerAgent,0.0
2021-01-08,DrawdownBuyerAgent,0.0
2021-01-11,DrawdownBuyerAgent,0.0
2021-01-12,DrawdownBuyerAgent,0.011169999999999902
2021-01-13,DrawdownBuyerAgent,-0.018300582493547046
2021-01-14,DrawdownBuyerAgent,-0.025736779275989385
2021-01-15,DrawdownBuyerAgent,0.010701910937352954
2021-01-18,DrawdownBuyerAgent,0.00020461048812903115
2021-01-19,DrawdownBuyerAgent,-0.024435723001799192
2021-01-20,DrawdownBuyerAgent,0.033805491220694206
2021-01-21,DrawdownBuyerAgent,0.02457780010322308
2021-01-22,DrawdownBuyerAgent,0.014017265557249248
2021-01-25,DrawdownBuyerAgent,0.028621503138717808
2021-01-26,DrawdownBuyerAgent,-0.02779663661294851
2021-01-27,DrawdownBuyerAgent,-0.01850953262405175
2021-01-28,DrawdownBuyerAgent,-0.0340648191898999
2021-01-29,DrawdownBuyerAgent,-0.008184969288990263
2021-02-01,DrawdownBuyerAgent,-0.00036219923137770227
2021-02-02,DrawdownBuyerAgent,0.041767699126761704
2021-02-03,DrawdownBuyerAgent,0.020354430622020914
2021-02-04,DrawdownBuyerAgent,0.015932648359000323
2021-02-05,DrawdownBuyerAgent,-0.002625304434341169
2021-02-08,DrawdownBuyerAgent,0.031591302082419226
2021-02-09,DrawdownBuyerAgent,0.021901099929218626
2021-02-10,DrawdownBuyerAgent,0.024998202765710298
2021-02-18,DrawdownBuyerAgent,-0.0253795402302337
2021-02-19,DrawdownBuyerAgent,0.00922227430701783
2021-02-22,DrawdownBuyerAgent,-0.06215499121888601
2021-02-23,DrawdownBuyerAgent,0.004776769550710602
2021-02-24,DrawdownBuyerAgent,-0.06768629978191709
2021-02-25,DrawdownBuyerAgent,-0.011581071163892731
2021-02-26,DrawdownBuyerAgent,-0.033550119686417634
2021-03-01,DrawdownBuyerAgent,0.043064865107936834
2021-03-02,DrawdownBuyerAgent,-0.011001059864904739
2021-03-03,DrawdownBuyerAgent,0.0100802771400339
2021-03-04,DrawdownBuyerAgent,-0.06364895779690583
2021-03-05,DrawdownBuyerAgent,-0.009187720914072162
2021-03-08,DrawdownBuyerAgent,-0.06284409886520348
2021-03-09,DrawdownBuyerAgent,-0.011116209998098037
2021-03-10,DrawdownBuyerAgent,0.038783626436608154
2021-03-11,DrawdownBuyerAgent,0.04855329410620923
2021-03-12,DrawdownBuyerAgent,0.010633106695632444
2021-03-15,DrawdownBuyerAgent,-0.059636069480235476
2021-03-16,DrawdownBuyerAgent,0.039571283701087534
2021-03-17,DrawdownBuyerAgent,0.014460700384567815
2021-03-18,DrawdownBuyerAgent,0.015207202387827357
2021-03-19,DrawdownBuyerAgent,-0.044180585974545994
2021-01-04,DynamicTeamAgent,0.0
2021-01-04,DynamicTeamAgent,0.0
2021-01-05,DynamicTeamAgent,0.0
2021-01-06,DynamicTeamAgent,0.00028999999999990145
2021-01-07,DynamicTeamAgent,0.0006798028571715076
2021-01-08,DynamicTeamAgent,0.000169835259798079
2021-01-11,DynamicTeamAgent,-0.000339612841360859
2021-01-12,DynamicTeamAgent,0.001239008792965679
2021-01-13,DynamicTeamAgent,-0.000668635982595478
2021-01-14,DynamicTeamAgent,-0.001333173552233391
2021-01-15,DynamicTeamAgent,0.0
2021-01-18,DynamicTeamAgent,7.799727009549784e-05
2021-01-19,DynamicTeamAgent,7.399163894472593e-05
2021-01-20,DynamicTeamAgent,-5.0990464782962874e-05
2021-01-21,DynamicTeamAgent,0.0006519113400578203
2021-01-22,DynamicTeamAgent,0.0006075212732368218
2021-01-25,DynamicTeamAgent,0.0001378076205615919
2021-01-26,DynamicTeamAgent,-0.0002915527580691357
2021-01-27,DynamicTeamAgent,0.00022871593480910946
2021-01-28,DynamicTeamAgent,-0.0004887810031445339
2021-01-29,DynamicTeamAgent,-0.00017882448376915772
2021-02-01,DynamicTeamAgent,-2.997594430453887e-06
2021-02-02,DynamicTeamAgent,0.001756595601816402
2021-02-03,DynamicTeamAgent,0.001995895497265865
2021-02-04,DynamicTeamAgent,0.0011841022698031445
2021-02-05,DynamicTeamAgent,-0.001114593317610435
2021-02-08,DynamicTeamAgent,0.0032201005945489136
2021-02-09,DynamicTeamAgent,0.0005353907578617978
2021-02-10,DynamicTeamAgent,0.00010600935182969451
2021-02-18,DynamicTeamAgent,-0.0009628079485696217
2021-02-19,DynamicTeamAgent,-0.0010850216493183407
2021-02-22,DynamicTeamAgent,-0.0015321265170858966
2021-02-23,DynamicTeamAgent,0.000571697367992785
2021-02-24,DynamicTeamAgent,-0.0034849138239688715
2021-02-25,DynamicTeamAgent,-0.00016247946052028173
2021-02-26,DynamicTeamAgent,-0.0024061448777712435
2021-03-01,DynamicTeamAgent,0.0021847119195075315
2021-03-02,DynamicTeamAgent,0.00017562200792387017
2021-03-03,DynamicTeamAgent,0.00093275946265714
2021-03-04,DynamicTeamAgent,-0.003180733648138867
2021-03-05,DynamicTeamAgent,-0.0010645281123965455
2021-03-08,DynamicTeamAgent,-0.002665558537874979
2021-03-09,DynamicTeamAgent,-0.001145033760017955
2021-03-10,DynamicTeamAgent,0.002100964742660638
2021-03-11,DynamicTeamAgent,0.0027111709513527593
2021-03-12,DynamicTeamAgent,0.0011462530203456556
2021-03-15,DynamicTeamAgent,-0.0037148606117736183
2021-03-16,DynamicTeamAgent,0.0017307364161567307
2021-03-17,DynamicTeamAgent,0.0009402311793036411
2021-03-18,DynamicTeamAgent,0.0005920823640794826
2021-03-19,DynamicTeamAgent,-0.003089644999789476
2021-01-04,FreeRiderAgent,0.0
2021-01-04,FreeRiderAgent,0.0
2021-01-05,FreeRiderAgent,0.0
2021-01-06,FreeRiderAgent,0.00028999999999990145
2021-01-07,FreeRiderAgent,0.0006798028571715076
2021-01-08,FreeRiderAgent,0.000169835259798079
2021-01-11,FreeRiderAgent,-0.000679225682721718
2021-01-12,FreeRiderAgent,0.0001149471243229172
2021-01-13,FreeRiderAgent,-0.0007795517577392497
2021-01-14,FreeRiderAgent,-0.0014352942353181852
2021-01-15,FreeRiderAgent,0.0007171761689170886
2021-01-18,FreeRiderAgent,0.0003483218493887108
2021-01-19,FreeRiderAgent,-9.005186987653957e-06
2021-01-20,FreeRiderAgent,6.10357058881128e-05
2021-01-21,FreeRiderAgent,0.0008574493034350095
2021-01-22,FreeRiderAgent,0.00018393874839661706
2021-01-25,FreeRiderAgent,0.00024787185025343383
2021-01-26,FreeRiderAgent,-0.00031925576933644617
2021-01-27,FreeRiderAgent,6.896927418820198e-05
2021-01-28,FreeRiderAgent,-0.0005057397968744048
2021-01-29,FreeRiderAgent,-0.00014699875051071842
2021-02-01,FreeRiderAgent,0.0004940684284773234
2021-02-02,FreeRiderAgent,0.00012795451217084697
2021-02-03,FreeRiderAgent,4.997583668298056e-05
2021-02-04,FreeRiderAgent,-1.8190295477449325e-05
2021-02-05,FreeRiderAgent,0.00020789287280265079
2021-02-08,FreeRiderAgent,0.00042169498801514216
2021-02-09,FreeRiderAgent,0.00024851537534065216
2021-02-10,FreeRiderAgent,0.00020651210147915045
2021-02-18,FreeRiderAgent,0.0009536732644710444
2021-02-19,FreeRiderAgent,7.939705319248702e-05
2021-02-22,FreeRiderAgent,3.989484914601604e-05
2021-02-23,FreeRiderAgent,0.00011678751165500323
2021-02-24,FreeRiderAgent,-0.0005955367848672344
2021-02-25,FreeRiderAgent,0.0005290384431941852
2021-02-26,FreeRiderAgent,-0.0009206903821563639
2021-03-01,FreeRiderAgent,-0.00010840458988625734
2021-03-02,FreeRiderAgent,-0.0004022186416210438
2021-03-03,FreeRiderAgent,0.0009027344795133896
2021-03-04,FreeRiderAgent,-0.0006257265302661574
2021-03-05,FreeRiderAgent,-0.00042723014585421826
2021-03-08,FreeRiderAgent,-0.0010203368160296433
2021-03-09,FreeRiderAgent,-0.00039765287813398054
2021-03-10,FreeRiderAgent,0.0003340932788433726
2021-03-11,FreeRiderAgent,0.000978746364699301
2021-03-12,FreeRiderAgent,0.0001090872474209803
2021-03-15,FreeRiderAgent,-0.0004879423794488247
2021-03-16,FreeRiderAgent,0.0004706920262074199
2021-03-17,FreeRiderAgent,-0.00012585837157452762
2021-03-18,FreeRiderAgent,0.000250050124910306
2021-03-19,FreeRiderAgent,-0.0009517107422565285
2021-01-04,LowVolatilityAgent,0.0
2021-01-04,LowVolatilityAgent,0.0
2021-01-05,LowVolatilityAgent,-0.0009900000000000464
2021-01-06,LowVolatilityAgent,0.0019719522327104055
2021-01-07,LowVolatilityAgent,0.0017482866790545781
2021-01-08,LowVolatilityAgent,0.0008676313663698032
2021-01-11,LowVolatilityAgent,0.0018134715025905912
2021-01-12,LowVolatilityAgent,0.0006365498995444252
2021-01-13,LowVolatilityAgent,-7.454823767960583e-05
2021-01-14,LowVolatilityAgent,-8.697942812263548e-05
2021-01-15,LowVolatilityAgent,0.000519436622518743
2021-01-18,LowVolatilityAgent,0.00019375608592842042
2021-01-19,LowVolatilityAgent,-1.668959830714023e-05
2021-01-20,LowVolatilityAgent,-3.099548558704868e-05
2021-01-21,LowVolatilityAgent,0.00021935946638418358
2021-01-22,LowVolatilityAgent,-0.00013905611490327985
2021-01-25,LowVolatilityAgent,6.536546347191141e-05
2021-01-26,LowVolatilityAgent,-9.873711848140676e-05
2021-01-27,LowVolatilityAgent,8.34480578557617e-05
2021-01-28,LowVolatilityAgent,-9.29772199851353e-05
2021-01-29,LowVolatilityAgent,-0.00012159690110702392
2021-02-01,LowVolatilityAgent,0.0003099905790684421
2021-02-02,LowVolatilityAgent,-0.0001025035702429955
2021-02-03,LowVolatilityAgent,0.0002574772199215314
2021-02-04,LowVolatilityAgent,6.256515962754783e-05
2021-02-05,LowVolatilityAgent,0.0001723909875261942
2021-02-08,LowVolatilityAgent,8.260632486445374e-05
2021-02-09,LowVolatilityAgent,0.0
