date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,59590.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,95020.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,98996.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100000.0,100000.0
2021-01-05,ContrarianAgent,100000.0,100000.0
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0
2021-01-05,DynamicTeamAgent,100000.0,98979.0
2021-01-05,FreeRiderAgent,100000.0,98979.0
2021-01-05,LowVolatilityAgent,99901.0,95683.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,100000.0,59800.0
2021-01-05,PersuaderAgent,99790.0,19390.0
2021-01-05,RandomAgent,100498.0,100498.0
2021-01-05,SocialGraphAgent,100017.0,98996.0
2021-01-05,TruthfulReporterAgent,100000.0,98979.0
2021-01-06,CommitteeTeamAgent,100029.0,98979.0
2021-01-06,ContrarianAgent,100000.0,100000.0
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0
2021-01-06,DynamicTeamAgent,100029.0,98979.0
2021-01-06,FreeRiderAgent,100029.0,98979.0
2021-01-06,LowVolatilityAgent,100098.0,95683.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,100477.0,59800.0
2021-01-06,PersuaderAgent,100744.0,18340.0
2021-01-06,RandomAgent,100498.0,90402.0
2021-01-06,SocialGraphAgent,100046.0,98996.0
2021-01-06,TruthfulReporterAgent,100029.0,98979.0
2021-01-07,CommitteeTeamAgent,100097.0,99538.0
2021-01-07,ContrarianAgent,100000.0,100000.0
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0
