date,agent,return
2021-01-04,CommitteeTeamAgent,0.0
2021-01-04,CommitteeTeamAgent,0.0
2021-01-05,CommitteeTeamAgent,0.0
2021-01-06,CommitteeTeamAgent,0.0
2021-01-07,CommitteeTeamAgent,0.0
2021-01-08,CommitteeTeamAgent,0.0
2021-01-11,CommitteeTeamAgent,-6.799999999973494e-06
2021-01-12,CommitteeTeamAgent,2.300015640166464e-06
2021-01-13,CommitteeTeamAgent,0.0
2021-01-14,CommitteeTeamAgent,0.0
2021-01-15,CommitteeTeamAgent,0.0020900094050422258
2021-01-18,CommitteeTeamAgent,0.0007783766954017057
2021-01-19,CommitteeTeamAgent,-0.00013959997626800114
2021-01-20,CommitteeTeamAgent,-0.00038893994418209843
2021-01-21,CommitteeTeamAgent,0.0018357126930055312
2021-01-22,CommitteeTeamAgent,-0.0019916837246078956
2021-01-25,CommitteeTeamAgent,0.0004689797345873714
2021-01-26,CommitteeTeamAgent,-0.0007047356219123113
2021-01-27,CommitteeTeamAgent,0.0005958447166787284
2021-01-28,CommitteeTeamAgent,-0.00039868896465455883
2021-01-29,CommitteeTeamAgent,-0.0004889554932752116
2021-02-01,CommitteeTeamAgent,1.6972060594699911e-06
2021-02-02,CommitteeTeamAgent,0.0004142174111283481
2021-02-03,CommitteeTeamAgent,-8.981473017455333e-05
2021-02-04,CommitteeTeamAgent,-6.187792722511798e-05
2021-02-05,CommitteeTeamAgent,-0.0002289624984579408
2021-02-08,CommitteeTeamAgent,3.8335542618561647e-05
2021-02-09,CommitteeTeamAgent,0.00025595980033532584
2021-02-10,CommitteeTeamAgent,0.00026846945067160455
2021-02-18,CommitteeTeamAgent,-0.00022120335422903814
2021-02-19,CommitteeTeamAgent,9.181421393833489e-06
2021-02-22,CommitteeTeamAgent,-0.0002505906244376632
2021-02-23,CommitteeTeamAgent,7.586483920185572e-06
2021-02-24,CommitteeTeamAgent,-5.130819936971509e-05
2021-02-25,CommitteeTeamAgent,5.190979116487249e-05
2021-02-26,CommitteeTeamAgent,-2.834926049355424e-05
2021-03-01,CommitteeTeamAgent,0.0001893664499350578
2021-03-02,CommitteeTeamAgent,3.353457069921184e-05
2021-03-03,CommitteeTeamAgent,-2.7545330781975075e-05
2021-03-04,CommitteeTeamAgent,-0.0002590929292283217
2021-03-05,CommitteeTeamAgent,-1.6272377639015012e-05
2021-03-08,CommitteeTeamAgent,-0.00024129433596231653
2021-03-09,CommitteeTeamAgent,-5.1925253597429055e-05
2021-03-10,CommitteeTeamAgent,1.4979216337307477e-05
2021-03-11,CommitteeTeamAgent,4.5536135569790304e-05
2021-03-12,CommitteeTeamAgent,-2.4464572851989885e-05
2021-03-15,CommitteeTeamAgent,-3.614853893996184e-05
2021-03-16,CommitteeTeamAgent,0.0
2021-03-17,CommitteeTeamAgent,-1.8973675922628885e-06
2021-03-18,CommitteeTeamAgent,0.0
2021-03-19,CommitteeTeamAgent,-1.3980629837484493e-05
2021-01-04,ContrarianAgent,0.0
2021-01-04,ContrarianAgent,0.0
2021-01-05,ContrarianAgent,0.0
2021-01-06,ContrarianAgent,-5.8000000000557606e-06
2021-01-07,ContrarianAgent,3.860022388124662e-05
2021-01-08,ContrarianAgent,-1.8099406339455726e-05
2021-01-11,ContrarianAgent,-2.009970453431542e-05
2021-01-12,ContrarianAgent,0.0
2021-01-13,ContrarianAgent,0.0
2021-01-14,ContrarianAgent,0.0
2021-01-15,ContrarianAgent,1.3000070200330782e-06
2021-01-18,ContrarianAgent,1.3000053300515901e-06
2021-01-19,ContrarianAgent,-4.100011480101529e-06
2021-01-20,ContrarianAgent,3.630025047174357e-05
2021-01-21,ContrarianAgent,0.00024609276487264076
2021-01-22,ContrarianAgent,-3.7589644053204196e-05
2021-01-25,ContrarianAgent,0.0004104023652773403
2021-01-26,ContrarianAgent,-0.00010583137893382943
2021-01-27,ContrarianAgent,-0.00013812506715116246
2021-01-28,ContrarianAgent,-0.00014863990488644951
2021-01-29,ContrarianAgent,9.557557088402113e-05
2021-02-01,ContrarianAgent,-3.5987361238776217e-06
2021-02-02,ContrarianAgent,0.00041315638683991907
2021-02-03,ContrarianAgent,0.00022352991608687311
2021-02-04,ContrarianAgent,0.00018132147087968065
2021-02-05,ContrarianAgent,-1.9976705163404773e-06
2021-02-08,ContrarianAgent,0.00023612512673998332
2021-02-09,ContrarianAgent,0.00014769315573537334
2021-02-10,ContrarianAgent,0.0002646901537659563
2021-02-18,ContrarianAgent,8.494595051877774e-05
2021-02-19,ContrarianAgent,0.00018524828760124734
2021-02-22,ContrarianAgent,-0.0003713260821794906
2021-02-23,ContrarianAgent,6.16943730638031e-05
2021-02-24,ContrarianAgent,-0.0002529512897071484
2021-02-25,ContrarianAgent,9.705243177760003e-05
2021-02-26,ContrarianAgent,-0.0002400117330195739
2021-03-01,ContrarianAgent,0.0002519529851536806
2021-03-02,ContrarianAgent,-8.795666581751238e-05
2021-03-03,ContrarianAgent,8.377086720812166e-05
2021-03-04,ContrarianAgent,-2.176462378045141e-05
2021-03-05,ContrarianAgent,-1.5475183995028452e-05
2021-03-08,ContrarianAgent,-0.00021256242960543403
2021-03-09,ContrarianAgent,-0.00015598548875594975
2021-03-10,ContrarianAgent,0.00013094038367222893
2021-03-11,ContrarianAgent,0.0001918409954719813
2021-03-12,ContrarianAgent,-3.384779992299247e-05
2021-03-15,ContrarianAgent,-0.00020279412562029808
2021-03-16,ContrarianAgent,-4.0946556554288804e-06
2021-03-17,ContrarianAgent,-1.1684796910715889e-05
2021-03-18,ContrarianAgent,1.3582486741547939e-05
2021-03-19,ContrarianAgent,-4.9535455301841225e-05
2021-01-04,DrawdownBuyerAgent,0.0
2021-01-04,DrawdownBuyerAgent,0.0
2021-01-05,DrawdownBuyerAgent,0.0
2021-01-06,DrawdownBuyerAgent,0.0
2021-01-07,DrawdownBuyerAgent,0.0
2021-01-08,DrawdownBuyerAgent,0.0
2021-01-11,DrawdownBuyerAgent,0.0
2021-01-12,DrawdownBuyerAgent,0.00011169999999993685
2021-01-13,DrawdownBuyerAgent,-0.00016168194012722292
2021-01-14,DrawdownBuyerAgent,-0.00031921596079798054
2021-01-15,DrawdownBuyerAgent,9.843634269768309e-05
2021-01-18,DrawdownBuyerAgent,3.300893882007827e-06
2021-01-19,DrawdownBuyerAgent,-0.00024306501989279639
2021-01-20,DrawdownBuyerAgent,0.00035638193297682363
2021-01-21,DrawdownBuyerAgent,0.0005013773625268669
2021-01-22,DrawdownBuyerAgent,0.0001978313525208275
2021-01-25,DrawdownBuyerAgent,0.0006768311946820926
2021-01-26,DrawdownBuyerAgent,-0.00048750422109156144
2021-01-27,DrawdownBuyerAgent,-0.00032356250512111107
2021-01-28,DrawdownBuyerAgent,-0.0005022939590180187
2021-01-29,DrawdownBuyerAgent,-4.260393234301052e-05
2021-02-01,DrawdownBuyerAgent,2.250303565953793e-05
2021-02-02,DrawdownBuyerAgent,0.0007995898739019403
2021-02-03,DrawdownBuyerAgent,0.00021575175696786353
2021-02-04,DrawdownBuyerAgent,0.00027924783920108
2021-02-05,DrawdownBuyerAgent,-0.00029235429105090027
2021-02-08,DrawdownBuyerAgent,0.0006214470364269697
2021-02-09,DrawdownBuyerAgent,0.00039360494803974966
2021-02-10,DrawdownBuyerAgent,0.00045064107810510734
2021-02-18,DrawdownBuyerAgent,-0.0005038122625909969
2021-02-19,DrawdownBuyerAgent,-1.4972263881141146e-05
2021-02-22,DrawdownBuyerAgent,-0.0009056358940446874
2021-02-23,DrawdownBuyerAgent,-5.055297562206462e-05
2021-02-24,DrawdownBuyerAgent,-0.000993426182330115
2021-02-25,DrawdownBuyerAgent,-0.00016821929475308028
2021-02-26,DrawdownBuyerAgent,-0.0007688174984703533
2021-03-01,DrawdownBuyerAgent,0.0011184760775955205
2021-03-02,DrawdownBuyerAgent,7.67949468925e-05
2021-03-03,DrawdownBuyerAgent,0.00013478078026074591
2021-03-04,DrawdownBuyerAgent,-0.001709325833013975
2021-03-05,DrawdownBuyerAgent,-0.0003617181250422652
2021-03-08,DrawdownBuyerAgent,-0.002013210895061457
2021-03-09,DrawdownBuyerAgent,-0.0007075911105114407
2021-03-10,DrawdownBuyerAgent,0.001136222203314663
2021-03-11,DrawdownBuyerAgent,0.0014699640686599569
2021-03-12,DrawdownBuyerAgent,0.0002976691434020129
2021-03-15,DrawdownBuyerAgent,-0.0021560818565901085
2021-03-16,DrawdownBuyerAgent,0.0012437859636180715
2021-03-17,DrawdownBuyerAgent,0.0006988670153615928
2021-03-18,DrawdownBuyerAgent,0.0009298027477719906
2021-03-19,DrawdownBuyerAgent,-0.0022498320483059775
2021-01-04,DynamicTeamAgent,0.0
2021-01-04,DynamicTeamAgent,0.0
2021-01-05,DynamicTeamAgent,4.979999999998874e-05
2021-01-06,DynamicTeamAgent,6.399681295787829e-06
2021-01-07,DynamicTeamAgent,2.869838715069406e-05
2021-01-08,DynamicTeamAgent,-9.499193518558435e-06
2021-01-11,DynamicTeamAgent,9.79926113586771e-06
2021-01-12,DynamicTeamAgent,2.2998040567490108e-06
2021-01-13,DynamicTeamAgent,-2.1998075168117026e-06
2021-01-14,DynamicTeamAgent,-2.499786768139778e-06
2021-01-15,DynamicTeamAgent,0.0
2021-01-18,DynamicTeamAgent,0.0007799354213471332
2021-01-19,DynamicTeamAgent,-0.00013987931212944282
2021-01-20,DynamicTeamAgent,-0.00012990610386809376
2021-01-21,DynamicTeamAgent,0.0009194549471074343
2021-01-22,DynamicTeamAgent,0.0
2021-01-25,DynamicTeamAgent,0.0002009959333519884
2021-01-26,DynamicTeamAgent,-9.553624132885297e-05
2021-01-27,DynamicTeamAgent,-2.995152645013377e-06
2021-01-28,DynamicTeamAgent,-9.684355891326213e-06
2021-01-29,DynamicTeamAgent,1.9967937482823217e-05
2021-02-01,DynamicTeamAgent,-1.0982146324556297e-06
2021-02-02,DynamicTeamAgent,0.0003238738345683334
2021-02-03,DynamicTeamAgent,1.297471228678404e-06
2021-02-04,DynamicTeamAgent,-4.6908514325094686e-06
2021-02-05,DynamicTeamAgent,-0.0001674741622699205
2021-02-08,DynamicTeamAgent,3.114463107478649e-05
2021-02-09,DynamicTeamAgent,0.00035156402068659
2021-02-10,DynamicTeamAgent,0.0003647117848906145
2021-02-18,DynamicTeamAgent,-0.0002656288356210901
2021-02-19,DynamicTeamAgent,0.00011424176790786333
2021-02-22,DynamicTeamAgent,-0.0005328345711769211
2021-02-23,DynamicTeamAgent,2.9745244953138794e-05
2021-02-24,DynamicTeamAgent,-0.0002471377042104761
2021-02-25,DynamicTeamAgent,9.983796298573822e-07
2021-02-26,DynamicTeamAgent,-0.0002226384351811106
2021-03-01,DynamicTeamAgent,0.0002528457630859293
2021-03-02,DynamicTeamAgent,-6.129859985615216e-05
2021-03-03,DynamicTeamAgent,1.567503280774929e-05
2021-03-04,DynamicTeamAgent,-0.0004315059227233409
2021-03-05,DynamicTeamAgent,-2.1374856756017913e-05
2021-03-08,DynamicTeamAgent,-0.00044019162269504086
2021-03-09,DynamicTeamAgent,-4.576731298511216e-05
2021-03-10,DynamicTeamAgent,9.963340503205131e-05
2021-03-11,DynamicTeamAgent,0.00018835532427541324
2021-03-12,DynamicTeamAgent,-2.2178783775417266e-05
2021-03-15,DynamicTeamAgent,-0.00015235763702392546
2021-03-16,DynamicTeamAgent,0.00010701632393628202
2021-03-17,DynamicTeamAgent,0.00012089252654390314
2021-03-18,DynamicTeamAgent,8.871040249358586e-05
2021-03-19,DynamicTeamAgent,-0.00031345557501416543
2021-01-04,FreeRiderAgent,0.0
2021-01-04,FreeRiderAgent,0.0
2021-01-05,FreeRiderAgent,0.0
2021-01-06,FreeRiderAgent,0.0
2021-01-07,FreeRiderAgent,0.0
2021-01-08,FreeRiderAgent,0.0
2021-01-11,FreeRiderAgent,-6.799999999973494e-06
2021-01-12,FreeRiderAgent,2.300015640166464e-06
2021-01-13,FreeRiderAgent,-2.2000099000329953e-06
2021-01-14,FreeRiderAgent,0.0
2021-01-15,FreeRiderAgent,0.002090014003093721
2021-01-18,FreeRiderAgent,0.0015567568085408379
2021-01-19,FreeRiderAgent,-0.00013949178956307318
2021-01-20,FreeRiderAgent,-0.00038863848280323854
2021-01-21,FreeRiderAgent,0.0027514339606502514
2021-01-22,FreeRiderAgent,-0.0009941609942325513
2021-01-25,FreeRiderAgent,0.0004677206569225767
2021-01-26,FreeRiderAgent,-0.000709906755234746
2021-01-27,FreeRiderAgent,0.0005942488654524514
2021-01-28,FreeRiderAgent,-0.000397621789952618
2021-01-29,FreeRiderAgent,-0.00046276627347452415
2021-02-01,FreeRiderAgent,0.0013074968295789802
2021-02-02,FreeRiderAgent,0.0003252541501723716
2021-02-03,FreeRiderAgent,-4.761420998888877e-05
2021-02-04,FreeRiderAgent,-4.453482628385963e-05
2021-02-05,FreeRiderAgent,-0.00026384083259967106
2021-02-08,FreeRiderAgent,5.011713388447525e-05
2021-02-09,FreeRiderAgent,0.00036492195194459676
2021-02-10,FreeRiderAgent,0.000438541779006707
2021-02-18,FreeRiderAgent,-0.000297068254263122
2021-02-19,FreeRiderAgent,9.381798138896613e-05
2021-02-22,FreeRiderAgent,-0.0006777315787438454
2021-02-23,FreeRiderAgent,-0.00025636025517095096
2021-02-24,FreeRiderAgent,-0.00038264964838907733
2021-02-25,FreeRiderAgent,-5.572285679877886e-06
2021-02-26,FreeRiderAgent,-0.0003464786938490727
2021-03-01,FreeRiderAgent,0.0003611316440308432
2021-03-02,FreeRiderAgent,-6.786187143925648e-05
2021-03-03,FreeRiderAgent,-3.4828837163214388e-06
2021-03-04,FreeRiderAgent,-0.0005248226484556584
2021-03-05,FreeRiderAgent,-4.241407788962981e-05
2021-03-08,FreeRiderAgent,-0.0003911022641813755
2021-03-09,FreeRiderAgent,-0.00012948876540530563
2021-03-10,FreeRiderAgent,5.718167464818791e-05
2021-03-11,FreeRiderAgent,8.825795629041622e-05
2021-03-12,FreeRiderAgent,-2.8985100164469202e-05
2021-03-15,FreeRiderAgent,-7.829192128971929e-05
2021-03-16,FreeRiderAgent,2.4903960367250733e-05
2021-03-17,FreeRiderAgent,4.084147788852022e-06
2021-03-18,FreeRiderAgent,1.6635363295991468e-05
2021-03-19,FreeRiderAgent,0.0
2021-01-04,LowVolatilityAgent,0.0
2021-01-04,LowVolatilityAgent,0.0
2021-01-05,LowVolatilityAgent,0.0006245000000000278
2021-01-06,LowVolatilityAgent,0.00040524692329646506
2021-01-07,LowVolatilityAgent,0.00039958842392340266
2021-01-08,LowVolatilityAgent,-0.0004992860209900307
2021-01-11,LowVolatilityAgent,9.720959507664162e-05
2021-01-12,LowVolatilityAgent,0.000698981935857379
2021-01-13,LowVolatilityAgent,-1.567293284487903e-05
2021-01-14,LowVolatilityAgent,-0.0004585153426941435
2021-01-15,LowVolatilityAgent,-0.0005193497740828557
2021-01-18,LowVolatilityAgent,-0.0001898610217321295
2021-01-19,LowVolatilityAgent,-0.000535609699542805
2021-01-20,LowVolatilityAgent,0.00031219809559157596
2021-01-21,LowVolatilityAgent,0.0002896078178316053
2021-01-22,LowVolatilityAgent,-8.394895903207633e-06
2021-01-25,LowVolatilityAgent,0.00020217877360728664
2021-01-26,LowVolatilityAgent,3.39727572451487e-06
2021-01-27,LowVolatilityAgent,5.995172087880363e-06
2021-01-28,LowVolatilityAgent,-3.8968384948878665e-06
2021-01-29,LowVolatilityAgent,0.0
2021-02-01,LowVolatilityAgent,1.2989512267580494e-05
2021-02-02,LowVolatilityAgent,-4.296475171750025e-06
2021-02-03,LowVolatilityAgent,1.0791193307158053e-05
