date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,99950.2
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,98003.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,98996.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,99793.24
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,99989.96
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,99972.22
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100000.0,100000.0
2021-01-05,ContrarianAgent,100000.0,99898.46
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0
2021-01-05,DynamicTeamAgent,100004.98,99950.2
2021-01-05,FreeRiderAgent,100000.0,100000.0
2021-01-05,LowVolatilityAgent,100062.45,98003.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,100017.0,98941.22
2021-01-05,PersuaderAgent,100013.14,99573.34
2021-01-05,RandomAgent,100000.17,99979.75
2021-01-05,SocialGraphAgent,100000.13,99972.22
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100000.0,100000.0
2021-01-06,ContrarianAgent,99999.42,99898.46
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0
2021-01-06,DynamicTeamAgent,100005.62,99950.2
2021-01-06,FreeRiderAgent,100000.0,100000.0
2021-01-06,LowVolatilityAgent,100103.0,98003.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,100046.64,98941.22
2021-01-06,PersuaderAgent,100005.94,99357.04
2021-01-06,RandomAgent,100000.75,99969.25
2021-01-06,SocialGraphAgent,100000.97,99972.22
2021-01-06,TruthfulReporterAgent,100000.0,100000.0
2021-01-07,CommitteeTeamAgent,100000.0,100000.0
2021-01-07,ContrarianAgent,100003.28,99898.46
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0
