date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,MomentumAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；新年首日成交量最大，预期趋势延续
2021-01-04,LowVolatilityAgent,600519,BUY,1,1997.0,1997.0,98003.0,100000.0,0.0,0.0,BUY 1 600519 @ 1997.00；低波动策略偏好高价低换手标的，建仓观察
2021-01-04,RandomAgent,601899,BUY,1,10.04,10.04,99989.96,100000.0,0.0,0.0,BUY 1 601899 @ 10.04；高成交量且价格低，随机视角认为短期波动机会
2021-01-04,PersuaderAgent,002594,BUY,1,206.76,206.76,99793.24,100000.0,0.0,0.0,BUY 1 002594 @ 206.76；新能源车龙头，政策持续利好，短期无回调压力
2021-01-04,DynamicTeamAgent,002415,BUY,1,49.8,49.8,99950.2,100000.0,0.0,0.0,BUY 1 002415 @ 49.80；首日建立观察仓位，成交量活跃
2021-01-04,SocialGraphAgent,000002,BUY,1,27.78,27.78,99972.22,100000.0,0.0,0.0,BUY 1 000002 @ 27.78；成交量最大，试探性建仓，观察市场反应
2021-01-05,MomentumAgent,002415,BUY,1,54.78,54.78,98941.22,100017.0,17.0,0.00017,BUY 1 002415 @ 54.78；成交量活跃，看好后续动量
2021-01-05,RandomAgent,601899,BUY,1,10.21,10.21,99979.75,100000.17,0.17,1.7e-06,BUY 1 601899 @ 10.21；成交量持续异动，非共识交易延续，加仓验证
2021-01-05,PersuaderAgent,002594,BUY,1,219.9,219.9,99573.34,100013.14,13.14,0.0001314,BUY 1 002594 @ 219.90；新能源龙头持续强势，政策驱动，加仓验证动量。
2021-01-05,ContrarianAgent,000333,BUY,1,101.54,101.54,99898.46,100000.0,0.0,0.0,BUY 1 000333 @ 101.54；市场忽视价值股，逆向买入龙头
2021-01-06,RandomAgent,601899,BUY,1,10.5,10.5,99969.25,100000.75,0.75,7.5e-06,BUY 1 601899 @ 10.50；首日成交量异动排名第一，且已持有正收益，加仓验证量价关系
2021-01-06,PersuaderAgent,002594,BUY,1,216.3,216.3,99357.04,100005.94,5.94,5.940000000000001e-05,BUY 1 002594 @ 216.30；政策驱动新能源龙头，回调加仓摊低成本
2021-01-07,RandomAgent,601899,SELL,1,11.18,11.18,99980.43,100002.79,2.79,2.79e-05,SELL 1 601899 @ 11.18；成交量异常但首日无回报，获利了结锁定微利，准备切换至低估值000002
2021-01-07,PersuaderAgent,002594,BUY,1,225.04,225.04,99132.0,100032.16,32.16,0.00032159999999999996,BUY 1 002594 @ 225.04；新能源政策延续，回调加仓摊低成本
2021-01-08,MomentumAgent,601899,BUY,100,11.35,1135.0,97806.22,100133.56,133.56,0.0013356,BUY 100 601899 @ 11.35；成交量4.48亿异常放大，追涨量能延续
2021-01-08,RandomAgent,601899,SELL,1,11.35,11.35,99991.78,100003.13,3.13,3.13e-05,SELL 1 601899 @ 11.35；成交量异常暗示分歧，先锁定部分利润
2021-01-08,PersuaderAgent,002594,BUY,1,227.51,227.51,98904.49,100042.04,42.04,0.0004204,BUY 1 002594 @ 227.51；政策动量延续，回调加仓摊低成本
2021-01-08,CommitteeTeamAgent,601899,BUY,1,11.35,11.35,99988.65,100000.0,0.0,0.0,BUY 1 601899 @ 11.35；成交量异常突出，多个agent关注，委员会平衡判断量能异动预示信息驱动，轻仓验证
2021-01-08,DynamicTeamAgent,601899,BUY,1,11.35,11.35,99938.85,100007.54,7.54,7.54e-05,BUY 1 601899 @ 11.35；成交量异常放大，预期后续波动，首日无历史但量价异动可博短线
2021-01-11,MomentumAgent,002415,BUY,1,59.0,59.0,97747.22,99999.22,-0.78,-7.8e-06,BUY 1 002415 @ 59.00；近5天涨幅18.47%，量能放大，趋势延续性高，追涨加仓
2021-01-11,LowVolatilityAgent,000858,BUY,1,301.2,301.2,97701.8,100102.73,102.73,0.0010273,BUY 1 000858 @ 301.20；低波动标的，ret5仅1.06%，防御性配置增加仓位
2021-01-11,DrawdownBuyerAgent,300750,BUY,1,390.0,390.0,99610.0,100000.0,0.0,0.0,BUY 1 300750 @ 390.00；300750短期回撤3.49%，新能源龙头，左侧建仓博价值修复。
2021-01-11,RandomAgent,601899,SELL,1,10.67,10.67,100002.45,100002.45,2.45,2.4500000000000003e-05,SELL 1 601899 @ 10.67；量能异常但股价滞涨，获利了结
2021-01-11,TruthfulReporterAgent,601899,BUY,1,10.67,10.67,99989.33,100000.0,0.0,0.0,BUY 1 601899 @ 10.67；成交量异常突出，轻仓验证
2021-01-11,FreeRiderAgent,601899,BUY,1,11.35,11.35,99988.65,99999.32,-0.68,-6.8e-06,BUY 1 601899 @ 11.35；成交量异常，跟随CommitteeTeamAgent和DynamicTeamAgent轻仓验证
2021-01-11,ContrarianAgent,000333,SELL,1,101.0,101.0,99999.46,99999.46,-0.54,-5.4e-06,SELL 1 000333 @ 101.00；首日零波动，获利了结，等待更明确逆向信号
2021-01-11,DynamicTeamAgent,002415,SELL,1,59.0,59.0,99997.85,100008.52,8.52,8.52e-05,SELL 1 002415 @ 59.00；近期涨幅18.47%，存在回调压力，锁定利润
2021-01-11,SocialGraphAgent,601899,BUY,1,11.35,11.35,99960.87,100001.32,1.32,1.32e-05,BUY 1 601899 @ 11.35；成交量异常突出，多个Agent买入，社交图谱验证信息传播路径，轻仓试多。
2021-01-12,MomentumAgent,601899,BUY,1,10.9,10.9,97736.32,100049.72,49.72,0.0004971999999999999,BUY 1 601899 @ 10.90；量能异常且多Agent协同，趋势延续，追涨加仓
2021-01-12,MeanReversionAgent,000858,BUY,1,310.0,310.0,99690.0,100000.0,0.0,0.0,BUY 1 000858 @ 310.00；5日跌幅3.12%，短期超卖，均值回归预期
2021-01-12,RandomAgent,601899,BUY,1,10.9,10.9,99991.55,100002.45,2.45,2.4500000000000003e-05,BUY 1 601899 @ 10.90；量能异常但价格回落，随机视角认为非共识机会
2021-01-12,CommitteeTeamAgent,601899,SELL,1,10.9,10.9,99999.55,99999.55,-0.45,-4.5e-06,SELL 1 601899 @ 10.90；量能回落，止损观望
2021-01-13,MomentumAgent,601899,SELL,100,10.68,1068.0,98804.32,100002.82,2.82,2.8199999999999998e-05,SELL 100 601899 @ 10.68；量能异动后价格回落，多空分歧加大，追涨信号弱化，止盈退出
2021-01-13,MeanReversionAgent,000858,BUY,1,305.33,305.33,99384.67,99995.33,-4.67,-4.67e-05,BUY 1 000858 @ 305.33；5日跌幅7%，均值回归潜力
2021-01-13,DrawdownBuyerAgent,000858,BUY,1,305.33,305.33,99304.67,99995.0,-5.0,-5e-05,BUY 1 000858 @ 305.33；近5日跌幅-7%，回撤充分，价值修复机会
2021-01-13,RandomAgent,601899,SELL,1,10.68,10.68,100002.23,100002.23,2.23,2.23e-05,SELL 1 601899 @ 10.68；量能异动后价格回落，随机视角认为短期风险加大，减仓观望
2021-01-13,TruthfulReporterAgent,601899,SELL,1,10.68,10.68,100000.01,100000.01,0.01,1e-07,SELL 1 601899 @ 10.68；量能异动但价格回落，CommitteeTeamAgent卖出及ContrarianAgent做空信号叠加，风险上升，转向更强信号如002415。
2021-01-13,FreeRiderAgent,601899,SELL,1,10.68,10.68,99999.33,99999.33,-0.67,-6.7e-06,SELL 1 601899 @ 10.68；量能回落，多个agent卖出信号，跟随风控
2021-01-13,SocialGraphAgent,601899,SELL,1,10.68,10.68,99971.55,100001.45,1.45,1.45e-05,SELL 1 601899 @ 10.68；量能异动后价格回落，Contrarian空头信号与委员会止损，社交图谱验证风险，回避不确定性
2021-01-14,MomentumAgent,601899,SELL,100,10.43,1043.0,99847.32,99972.23,-27.77,-0.0002777,SELL 100 601899 @ 10.43；量能回落，多空分歧，追涨逻辑失效，清仓止损。
2021-01-14,MeanReversionAgent,000858,BUY,1,289.4,289.4,99095.27,99963.47,-36.53,-0.0003653,BUY 1 000858 @ 289.40；ret5=-12.30%，超卖严重，均值回归预期
2021-01-14,LowVolatilityAgent,000858,SELL,1,289.4,289.4,97991.2,100125.2,125.2,0.001252,SELL 1 000858 @ 289.40；近5日回撤-12.30%，超出低波动容忍阈值，执行回撤止损。
2021-01-14,RandomAgent,601899,BUY,1,10.43,10.43,99991.8,100002.23,2.23,2.23e-05,BUY 1 601899 @ 10.43；多Agent卖出后量能释放，随机视角捕捉超卖反弹机会
2021-01-14,FreeRiderAgent,600036,BUY,100,49.05,4905.0,95094.33,99999.33,-0.67,-6.7e-06,BUY 100 600036 @ 49.05；短期动量强势，ret5=6.86%，成交量放大，跟随趋势
2021-01-14,ContrarianAgent,601899,BUY,1,10.43,10.43,99989.03,99999.46,-0.54,-5.4e-06,BUY 1 601899 @ 10.43；逆向做多，反向押注拥挤卖出，量能回落过度
2021-01-14,CommitteeTeamAgent,600036,BUY,100,49.05,4905.0,95094.55,99999.55,-0.45,-4.5e-06,BUY 100 600036 @ 49.05；近期涨幅领先且量能配合，多信号未显示风险，买入建仓。
2021-01-14,DynamicTeamAgent,601899,SELL,1,10.43,10.43,100008.28,100008.28,8.28,8.28e-05,SELL 1 601899 @ 10.43；量能回落，多Agent卖出信号一致，减仓回避风险
2021-01-15,MomentumAgent,601899,SELL,1,10.56,10.56,99857.88,99975.68,-24.32,-0.0002432,SELL 1 601899 @ 10.56；弱势资产，ret5负，量能回落，多Agent卖出信号，减仓止损
2021-01-15,MeanReversionAgent,000858,BUY,1,287.7,287.7,98807.57,99958.37,-41.63,-0.00041630000000000004,BUY 1 000858 @ 287.70；000858 ret5=-9.24%且量能未放大，均值回归预期增加，加仓博反弹。
2021-01-15,DrawdownBuyerAgent,601899,BUY,1,10.56,10.56,99294.11,99972.92,-27.08,-0.00027079999999999997,BUY 1 601899 @ 10.56；回撤7%，量能平稳，多空分歧后博均值修复
2021-01-15,RandomAgent,601899,SELL,1,10.56,10.56,100002.36,100002.36,2.36,2.3599999999999998e-05,SELL 1 601899 @ 10.56；反弹到位，随机视角止盈
2021-01-15,TruthfulReporterAgent,600036,BUY,100,51.14,5114.0,94886.01,100000.01,0.01,1e-07,BUY 100 600036 @ 51.14；短期动量强势，量能配合，多信号一致
