agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.5757610586522053,0.6923681323774517,0.5501456329346871,0.7741403941766101,0.5417344719764693,0.7341778947427122,0.5457194912031639,0.5200254934672918,0.4786758748766469,0.6958430461020385,0.6773106545324502
ContrarianAgent,0.5757610586522053,1.0,0.5259810096038637,0.46638939832922927,0.5986717563860416,0.7164765224995567,0.4998584324325247,0.4845329427653361,0.19787631970802402,0.472875252951573,0.6818630388898712,0.6892963560697232
DrawdownBuyerAgent,0.6923681323774517,0.5259810096038637,1.0,0.5174017273823588,0.7721620325158813,0.5070890143053323,0.9125074072542827,0.5003861272012408,0.6486595809343773,0.7925329517783499,0.6705063024088632,0.6766092287053239
DynamicTeamAgent,0.5501456329346871,0.46638939832922927,0.5174017273823588,1.0,0.8130546902529241,0.4153541116338897,0.5248098041708916,0.780292281123928,0.36330871807836157,0.616730171781163,0.7282115216955108,0.8153090827066755
FreeRiderAgent,0.7741403941766101,0.5986717563860416,0.7721620325158813,0.8130546902529241,1.0,0.5295064382320659,0.8344396058046246,0.7651536111672992,0.5922534785315926,0.7150001106431598,0.748092806990564,0.8168509661841148
LowVolatilityAgent,0.5417344719764693,0.7164765224995567,0.5070890143053323,0.4153541116338897,0.5295064382320659,1.0,0.5052797833132436,0.44346149649600997,0.2283829402794351,0.44338260278050234,0.5896948096174303,0.5886684817962803
MeanReversionAgent,0.7341778947427122,0.4998584324325247,0.9125074072542827,0.5248098041708916,0.8344396058046246,0.5052797833132436,1.0,0.48066338106055306,0.6786129723784275,0.677679174809267,0.6976589284666983,0.6948299515486365
MomentumAgent,0.5457194912031639,0.4845329427653361,0.5003861272012408,0.780292281123928,0.7651536111672992,0.44346149649600997,0.48066338106055306,1.0,0.3424644524826284,0.5983316120783514,0.5582264380274172,0.6464784172808189
PersuaderAgent,0.5200254934672918,0.19787631970802402,0.6486595809343773,0.36330871807836157,0.5922534785315926,0.2283829402794351,0.6786129723784275,0.3424644524826284,1.0,0.504085443914493,0.3325227482141074,0.42729723546907233
RandomAgent,0.4786758748766469,0.472875252951573,0.7925329517783499,0.616730171781163,0.7150001106431598,0.44338260278050234,0.677679174809267,0.5983316120783514,0.504085443914493,1.0,0.6191100982092476,0.683319133211645
SocialGraphAgent,0.6958430461020385,0.6818630388898712,0.6705063024088632,0.7282115216955108,0.748092806990564,0.5896948096174303,0.6976589284666983,0.5582264380274172,0.3325227482141074,0.6191100982092476,1.0,0.9351555646504925
TruthfulReporterAgent,0.6773106545324502,0.6892963560697232,0.6766092287053239,0.8153090827066755,0.8168509661841148,0.5886684817962803,0.6948299515486365,0.6464784172808189,0.42729723546907233,0.683319133211645,0.9351555646504925,1.0
