agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
PersuaderAgent,0.06864500000000007,0.3973996459531448,0.17320145899841835,2.294435902856764,-0.05605530080247223,50
CommitteeTeamAgent,0.010788999999999938,0.05557465844097509,0.031728748926214786,1.751555303053832,-0.012361843123957605,50
ContrarianAgent,0.0019862999999999964,0.010051200132831672,0.02921619339852732,0.34402839533976787,-0.00890611907948069,50
LowVolatilityAgent,-0.0008336999999999373,-0.004194777752595913,0.023737670221760716,-0.17671396196036504,-0.009514894046661393,50
FreeRiderAgent,-0.009241000000000055,-0.04571334253433612,0.07783552862802545,-0.5873068936526318,-0.04582004304865861,50
MeanReversionAgent,-0.06911449999999997,-0.30299293804076244,0.3556114657527565,-0.8520336581369461,-0.16657906848306325,50
RandomAgent,-0.051776000000000044,-0.23505333711249599,0.20989572007746024,-1.1198576942195464,-0.10504448986823745,50
SocialGraphAgent,-0.009451100000000046,-0.0467328288012816,0.031333248267364444,-1.4914773087843813,-0.019550851143730674,50
DrawdownBuyerAgent,-0.1501750999999999,-0.5596272500028816,0.3664630629172457,-1.5271041112518782,-0.18587176210078915,50
DynamicTeamAgent,-0.012595700000000098,-0.0618876109558677,0.039260140341727714,-1.5763471657815327,-0.026953590571134445,50
MomentumAgent,-0.061985599999999974,-0.2756709424982745,0.16797619803139002,-1.6411309800377751,-0.09792902709389484,50
TruthfulReporterAgent,-0.08603600000000011,-0.36454820309199065,0.17137418757923364,-2.1272060176708023,-0.12073470430953137,50
