agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.2559350999826724,0.2707812867371315,0.5343511030675884,0.506077106651898,0.48094465333841613,0.31155785387657287,0.25780985596231104,0.6303228176889074,0.24055858559032958,0.4850886542290914,0.2647907030368626
ContrarianAgent,0.2559350999826724,1.0,0.7902865934103624,0.4214990594773776,0.5766062691980528,0.2743095245159856,0.7906383414932198,0.45412331992559735,0.23205661543639683,0.45908458310750544,0.528702448839183,0.26040032603219104
DrawdownBuyerAgent,0.2707812867371315,0.7902865934103624,1.0,0.6917727717531172,0.48369941032995706,0.41447726832440485,0.9391080392082779,0.8278493942469722,0.17773186683500303,0.7162094628302695,0.5499804478260591,0.29097162632683243
DynamicTeamAgent,0.5343511030675884,0.4214990594773776,0.6917727717531172,1.0,0.48294391327082176,0.5268073520332046,0.6244575437751466,0.7363894287521819,0.38320791209637084,0.5480674877467628,0.5386198490958073,0.4371174504375017
FreeRiderAgent,0.506077106651898,0.5766062691980528,0.48369941032995706,0.48294391327082176,1.0,0.39997769183855875,0.5516336712400836,0.3860975818187315,0.5196518173955125,0.5241872829588786,0.7376447061117486,0.48682949245004215
LowVolatilityAgent,0.48094465333841613,0.2743095245159856,0.41447726832440485,0.5268073520332046,0.39997769183855875,1.0,0.3642932675075308,0.39791029757140567,0.27965514041652395,0.27529780237081497,0.5002423761726525,0.5250726500694647
MeanReversionAgent,0.31155785387657287,0.7906383414932198,0.9391080392082779,0.6244575437751466,0.5516336712400836,0.3642932675075308,1.0,0.8031978925576498,0.22210559898306304,0.7481512225908404,0.5638437013526577,0.14109007424955905
MomentumAgent,0.25780985596231104,0.45412331992559735,0.8278493942469722,0.7363894287521819,0.3860975818187315,0.39791029757140567,0.8031978925576498,1.0,0.14348140279047025,0.7817291836644127,0.4639791923383132,0.13013487628253098
PersuaderAgent,0.6303228176889074,0.23205661543639683,0.17773186683500303,0.38320791209637084,0.5196518173955125,0.27965514041652395,0.22210559898306304,0.14348140279047025,1.0,0.1812694802315793,0.4086343460646187,0.23857563914755972
RandomAgent,0.24055858559032958,0.45908458310750544,0.7162094628302695,0.5480674877467628,0.5241872829588786,0.27529780237081497,0.7481512225908404,0.7817291836644127,0.1812694802315793,1.0,0.4896983682728338,0.22135469491429224
SocialGraphAgent,0.4850886542290914,0.528702448839183,0.5499804478260591,0.5386198490958073,0.7376447061117486,0.5002423761726525,0.5638437013526577,0.4639791923383132,0.4086343460646187,0.4896983682728338,1.0,0.5619082342158823
TruthfulReporterAgent,0.2647907030368626,0.26040032603219104,0.29097162632683243,0.4371174504375017,0.48682949245004215,0.5250726500694647,0.14109007424955905,0.13013487628253098,0.23857563914755972,0.22135469491429224,0.5619082342158823,1.0
