date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,95020.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,98003.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,98003.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,59590.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,70195.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,98996.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,97222.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100498.0,95020.0
2021-01-05,ContrarianAgent,100000.0,95782.0
2021-01-05,DrawdownBuyerAgent,100000.0,98979.0
2021-01-05,DynamicTeamAgent,100062.45,95943.55
2021-01-05,FreeRiderAgent,100062.45,98003.0
2021-01-05,LowVolatilityAgent,100000.0,97940.55
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,99790.0,59590.0
2021-01-05,PersuaderAgent,102193.0,69975.1
2021-01-05,RandomAgent,100017.0,100017.0
2021-01-05,SocialGraphAgent,100013.0,97222.0
2021-01-05,TruthfulReporterAgent,100000.0,100000.0
2021-01-06,CommitteeTeamAgent,100562.0,95020.0
2021-01-06,ContrarianAgent,100197.0,95782.0
2021-01-06,DrawdownBuyerAgent,100029.0,98979.0
2021-01-06,DynamicTeamAgent,100143.55,95943.55
2021-01-06,FreeRiderAgent,100103.0,98003.0
2021-01-06,LowVolatilityAgent,100040.55,97940.55
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,100267.0,59590.0
2021-01-06,PersuaderAgent,103021.4,69975.1
2021-01-06,RandomAgent,100017.0,99688.7
2021-01-06,SocialGraphAgent,100097.0,97222.0
2021-01-06,TruthfulReporterAgent,100000.0,100000.0
2021-01-07,CommitteeTeamAgent,100849.0,95020.0
2021-01-07,ContrarianAgent,100372.0,91192.0
2021-01-07,DrawdownBuyerAgent,100097.0,98979.0
2021-01-07,DynamicTeamAgent,100223.55,95943.55
2021-01-07,FreeRiderAgent,100143.0,98003.0
2021-01-07,LowVolatilityAgent,100080.55,97940.55
2021-01-07,MeanReversionAgent,100000.0,100000.0
2021-01-07,MomentumAgent,100913.0,59590.0
2021-01-07,PersuaderAgent,103200.14,69975.1
2021-01-07,RandomAgent,100018.7,99677.52
2021-01-07,SocialGraphAgent,100101.0,97222.0
2021-01-07,TruthfulReporterAgent,100000.0,100000.0
2021-01-08,CommitteeTeamAgent,100754.0,95020.0
2021-01-08,ContrarianAgent,100512.0,91192.0
2021-01-08,DrawdownBuyerAgent,100114.0,98979.0
2021-01-08,DynamicTeamAgent,100123.55,95943.55
2021-01-08,FreeRiderAgent,100093.0,98003.0
2021-01-08,LowVolatilityAgent,100030.55,97940.55
2021-01-08,MeanReversionAgent,100000.0,100000.0
2021-01-08,MomentumAgent,100040.0,59590.0
2021-01-08,PersuaderAgent,101902.61,69975.1
2021-01-08,RandomAgent,100005.87,89376.52
2021-01-08,SocialGraphAgent,100156.0,97222.0
2021-01-08,TruthfulReporterAgent,100000.0,100000.0
2021-01-11,CommitteeTeamAgent,100920.0,97970.0
2021-01-11,ContrarianAgent,100876.0,52192.0
2021-01-11,DrawdownBuyerAgent,100046.0,59979.0
2021-01-11,DynamicTeamAgent,100143.01,100143.01
2021-01-11,FreeRiderAgent,100102.73,92103.0
2021-01-11,LowVolatilityAgent,100040.28,97940.55
2021-01-11,MeanReversionAgent,100000.0,61000.0
2021-01-11,MomentumAgent,98590.0,98590.0
2021-01-11,PersuaderAgent,100329.96,69740.24
2021-01-11,RandomAgent,99788.39,89387.19
2021-01-11,SocialGraphAgent,100200.0,91322.0
2021-01-11,TruthfulReporterAgent,100000.0,100000.0
2021-01-12,CommitteeTeamAgent,101032.5,97296.25
2021-01-12,ContrarianAgent,102249.0,57162.0
2021-01-12,DrawdownBuyerAgent,101186.0,59669.0
2021-01-12,DynamicTeamAgent,100143.01,100081.76
2021-01-12,FreeRiderAgent,100388.9,92103.0
2021-01-12,LowVolatilityAgent,100101.45,97940.55
2021-01-12,MeanReversionAgent,101117.0,30000.0
2021-01-12,MomentumAgent,98590.0,92465.0
2021-01-12,PersuaderAgent,101214.22,69503.25
2021-01-12,RandomAgent,100107.19,89376.29
2021-01-12,SocialGraphAgent,100417.0,91085.01
