agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
CommitteeTeamAgent,0.009248600000000051,0.047491974960824246,0.016498947307027147,2.8784851589044536,-0.0032166553858770097,50
FreeRiderAgent,-0.0008920000000000039,-0.004487586822602863,0.015973565595658237,-0.2809383287487566,-0.0059396396975437415,50
PersuaderAgent,-0.018012200000000034,-0.0875381726336576,0.08497661515455908,-1.0301442635063711,-0.04846272495366766,50
ContrarianAgent,-0.0337094,-0.15871511912610592,0.15192852181330782,-1.0446696724999245,-0.06499676391758391,50
MeanReversionAgent,-0.07137119999999997,-0.31146752544253153,0.2964538263798404,-1.0506443085792874,-0.15705835149953906,50
DrawdownBuyerAgent,-0.11275860000000004,-0.4528194342343491,0.38452560009169584,-1.1776054289398874,-0.18391029816552085,50
LowVolatilityAgent,-0.003862499999999991,-0.019315706912505393,0.010351398649632389,-1.865999713303608,-0.006056967440540961,50
DynamicTeamAgent,-0.003038200000000102,-0.015218841379627479,0.007893500311591384,-1.9280218887530842,-0.005435748384486572,50
TruthfulReporterAgent,-0.007611900000000005,-0.037778622433249254,0.018865388217496958,-2.002536178832035,-0.008371335315975892,50
SocialGraphAgent,-0.006521600000000016,-0.03243871369634943,0.016054168321539164,-2.020578895564951,-0.01110738221615859,50
MomentumAgent,-0.24740679999999993,-0.7612937108523862,0.3429143296117979,-2.220069694125124,-0.2816927452359954,50
RandomAgent,-0.04142509999999999,-0.19202986772752628,0.08360908383595246,-2.2967584252484317,-0.05708796861045595,50
