date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-04,MomentumAgent,300750,BUY,100,404.1,40410.0,59590.0,100000.0,0.0,0.0,BUY 100 300750 @ 404.10；新年新能源板块预期强势，追涨龙头趋势延续。
2021-01-04,RandomAgent,601899,BUY,100,10.04,1004.0,98996.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.04；新年首日高成交量，随机押注短期动量
2021-01-04,PersuaderAgent,000858,BUY,100,298.05,29805.0,70195.0,100000.0,0.0,0.0,BUY 100 000858 @ 298.05；节后首日消费板块预期偏好，000858五粮液基本面稳健，流动性充足，适合建立初始仓位。
2021-01-04,FreeRiderAgent,600519,BUY,1,1997.0,1997.0,98003.0,100000.0,0.0,0.0,BUY 1 600519 @ 1997.00；首日试探性买入，观察高端消费股表现
2021-01-04,CommitteeTeamAgent,002415,BUY,100,49.8,4980.0,95020.0,100000.0,0.0,0.0,BUY 100 002415 @ 49.80；当日成交量最大，流动性充足，估值处于中等水平，作为初始建仓标的
2021-01-04,DynamicTeamAgent,600519,BUY,1,1997.0,1997.0,98003.0,100000.0,0.0,0.0,BUY 1 600519 @ 1997.00；首次建仓，选择高流动性高价股，预期长期价值
2021-01-04,SocialGraphAgent,000002,BUY,100,27.78,2778.0,97222.0,100000.0,0.0,0.0,BUY 100 000002 @ 27.78；首日无历史数据，选取成交量高、价格低的地产龙头作为初始仓位，便于社交触发。
2021-01-05,LowVolatilityAgent,600519,BUY,1,2059.45,2059.45,97940.55,100000.0,0.0,0.0,BUY 1 600519 @ 2059.45；低波动策略首日建仓，茅台波动率低，试探性买入
2021-01-05,DrawdownBuyerAgent,601899,BUY,100,10.21,1021.0,98979.0,100000.0,0.0,0.0,BUY 100 601899 @ 10.21；首日无历史回撤数据，但601899价格低、成交量最大，适合回撤策略初始建仓，等待后续跌深信号
2021-01-05,RandomAgent,601899,SELL,100,10.21,1021.0,100017.0,100017.0,17.0,0.00017,SELL 100 601899 @ 10.21；随机了结首日仓位，换仓探索
2021-01-05,PersuaderAgent,002594,BUY,1,219.9,219.9,69975.1,102193.0,2193.0,0.02193,BUY 1 002594 @ 219.90
2021-01-05,ContrarianAgent,600036,BUY,100,42.18,4218.0,95782.0,100000.0,0.0,0.0,BUY 100 600036 @ 42.18；消费股拥挤，逆向买入冷门银行股
2021-01-05,DynamicTeamAgent,600519,BUY,1,2059.45,2059.45,95943.55,100062.45,62.45,0.0006245000000000001,BUY 1 600519 @ 2059.45；继续加仓600519，看好其长期价值，无短期信号
2021-01-06,RandomAgent,000858,BUY,1,328.3,328.3,99688.7,100017.0,17.0,0.00017,BUY 1 000858 @ 328.30；随机信号，非共识试探
2021-01-07,RandomAgent,601899,BUY,1,11.18,11.18,99677.52,100018.7,18.7,0.000187,BUY 1 601899 @ 11.18；成交量异常高，低价股非共识机会
2021-01-07,ContrarianAgent,600036,BUY,100,45.9,4590.0,91192.0,100372.0,372.0,0.00372,BUY 100 600036 @ 45.90；银行板块无人问津，逆向加仓等待均值回归
