agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.07546329071054553,0.3302931142660914,0.38133105170650905,0.47983755030378517,0.07709023202000707,0.2501464729675966,0.2700826615162942,0.47932228419422535,0.32899562688156814,0.41719352720556874,0.3298419449250893
ContrarianAgent,0.07546329071054553,1.0,0.4128786841535184,0.059377739384950536,0.1976677183920142,0.3063751354891253,0.35744936016189294,0.12295241969564279,0.22756551221898705,0.35353133539785053,-0.03865502342255209,0.39144406774754503
DrawdownBuyerAgent,0.3302931142660914,0.4128786841535184,1.0,0.5228268299965229,0.6799557947745989,0.3898699631173835,0.869114295889384,0.6880586406951312,0.8382504717257439,0.7083423133754687,0.6270322709844975,0.6839602448010178
DynamicTeamAgent,0.38133105170650905,0.059377739384950536,0.5228268299965229,1.0,0.8944856960287833,0.09999084935020362,0.6981810236162691,0.41743024731212636,0.4816192822416983,0.22345600841055166,0.9104910430892486,0.2607359008864477
FreeRiderAgent,0.47983755030378517,0.1976677183920142,0.6799557947745989,0.8944856960287833,1.0,0.20925316619314074,0.7774062072488512,0.4630660093229518,0.6317879936316728,0.501031469513599,0.8914383394931,0.5430360735010784
LowVolatilityAgent,0.07709023202000707,0.3063751354891253,0.3898699631173835,0.09999084935020362,0.20925316619314074,1.0,0.4225153060487271,0.11300584796506183,0.20838781623133232,0.37124427991057796,0.09027549013864579,0.34131017889495047
MeanReversionAgent,0.2501464729675966,0.35744936016189294,0.869114295889384,0.6981810236162691,0.7774062072488512,0.4225153060487271,1.0,0.5477681037728381,0.6646798053152089,0.5004658890588498,0.728269827850138,0.48050022459865244
MomentumAgent,0.2700826615162942,0.12295241969564279,0.6880586406951312,0.41743024731212636,0.4630660093229518,0.11300584796506183,0.5477681037728381,1.0,0.7129953357369033,0.47223911702728544,0.505593847004728,0.4185340783170855
PersuaderAgent,0.47932228419422535,0.22756551221898705,0.8382504717257439,0.4816192822416983,0.6317879936316728,0.20838781623133232,0.6646798053152089,0.7129953357369033,1.0,0.7225383612305776,0.6135402444223577,0.7217484447993677
RandomAgent,0.32899562688156814,0.35353133539785053,0.7083423133754687,0.22345600841055166,0.501031469513599,0.37124427991057796,0.5004658890588498,0.47223911702728544,0.7225383612305776,1.0,0.37853983271464303,0.7515685354617327
SocialGraphAgent,0.41719352720556874,-0.03865502342255209,0.6270322709844975,0.9104910430892486,0.8914383394931,0.09027549013864579,0.728269827850138,0.505593847004728,0.6135402444223577,0.37853983271464303,1.0,0.3944822143654452
TruthfulReporterAgent,0.3298419449250893,0.39144406774754503,0.6839602448010178,0.2607359008864477,0.5430360735010784,0.34131017889495047,0.48050022459865244,0.4185340783170855,0.7217484447993677,0.7515685354617327,0.3944822143654452,1.0
