date,agent,equity,cash
2021-01-04,CommitteeTeamAgent,100000.0,100000.0
2021-01-04,CommitteeTeamAgent,100000.0,98996.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,ContrarianAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0
2021-01-04,DynamicTeamAgent,100000.0,99595.9
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,FreeRiderAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MeanReversionAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,100000.0
2021-01-04,MomentumAgent,100000.0,59590.0
2021-01-04,PersuaderAgent,100000.0,100000.0
2021-01-04,PersuaderAgent,100000.0,98996.0
2021-01-04,RandomAgent,100000.0,100000.0
2021-01-04,RandomAgent,100000.0,59590.0
2021-01-04,SocialGraphAgent,100000.0,100000.0
2021-01-04,SocialGraphAgent,100000.0,97222.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0
2021-01-05,CommitteeTeamAgent,100017.0,96205.0
2021-01-05,ContrarianAgent,100000.0,100000.0
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0
2021-01-05,DynamicTeamAgent,99997.9,99595.9
2021-01-05,FreeRiderAgent,100000.0,100000.0
2021-01-05,LowVolatilityAgent,99901.0,95683.0
2021-01-05,MeanReversionAgent,100000.0,100000.0
2021-01-05,MomentumAgent,99790.0,58569.0
2021-01-05,PersuaderAgent,100017.0,97975.0
2021-01-05,RandomAgent,99790.0,99790.0
2021-01-05,SocialGraphAgent,100013.0,97222.0
2021-01-05,TruthfulReporterAgent,100000.0,98979.0
2021-01-06,CommitteeTeamAgent,100130.0,96205.0
2021-01-06,ContrarianAgent,100000.0,100000.0
2021-01-06,DrawdownBuyerAgent,100000.0,98950.0
2021-01-06,DynamicTeamAgent,100002.67,98545.9
2021-01-06,FreeRiderAgent,100000.0,98950.0
2021-01-06,LowVolatilityAgent,100098.0,94633.0
2021-01-06,MeanReversionAgent,100000.0,100000.0
2021-01-06,MomentumAgent,100296.0,57519.0
2021-01-06,PersuaderAgent,100075.0,96925.0
2021-01-06,RandomAgent,99790.0,98740.0
2021-01-06,SocialGraphAgent,100097.0,96172.0
2021-01-06,TruthfulReporterAgent,100029.0,98979.0
2021-01-07,CommitteeTeamAgent,100202.0,96205.0
2021-01-07,ContrarianAgent,100000.0,100000.0
2021-01-07,DrawdownBuyerAgent,100068.0,98950.0
2021-01-07,DynamicTeamAgent,100077.13,98545.9
2021-01-07,FreeRiderAgent,100068.0,98950.0
2021-01-07,LowVolatilityAgent,100341.0,95192.0
2021-01-07,MeanReversionAgent,100000.0,100000.0
2021-01-07,MomentumAgent,101078.0,57519.0
2021-01-07,PersuaderAgent,100279.0,95807.0
2021-01-07,RandomAgent,99858.0,99858.0
2021-01-07,SocialGraphAgent,100169.0,96172.0
2021-01-07,TruthfulReporterAgent,100097.0,98979.0
2021-01-08,CommitteeTeamAgent,100274.0,96205.0
2021-01-08,ContrarianAgent,100000.0,100000.0
2021-01-08,DrawdownBuyerAgent,100085.0,100085.0
2021-01-08,DynamicTeamAgent,100085.4,98545.9
2021-01-08,FreeRiderAgent,100085.0,98950.0
2021-01-08,LowVolatilityAgent,100419.5,95759.5
2021-01-08,MeanReversionAgent,100000.0,100000.0
2021-01-08,MomentumAgent,100239.0,56384.0
2021-01-08,PersuaderAgent,100347.0,96942.0
2021-01-08,RandomAgent,99858.0,96924.0
2021-01-08,SocialGraphAgent,100241.0,96172.0
2021-01-08,TruthfulReporterAgent,100114.0,98979.0
2021-01-11,CommitteeTeamAgent,100250.0,96738.5
2021-01-11,ContrarianAgent,100000.0,100000.0
2021-01-11,DrawdownBuyerAgent,100085.0,61085.0
2021-01-11,DynamicTeamAgent,100002.9,99612.9
2021-01-11,FreeRiderAgent,100017.0,99483.5
2021-01-11,LowVolatilityAgent,100601.5,100601.5
2021-01-11,MeanReversionAgent,100000.0,61000.0
2021-01-11,MomentumAgent,98585.0,95384.0
2021-01-11,PersuaderAgent,100143.0,98009.0
2021-01-11,RandomAgent,99902.0,99902.0
2021-01-11,SocialGraphAgent,100217.0,97239.0
2021-01-11,TruthfulReporterAgent,100046.0,100046.0
2021-01-12,CommitteeTeamAgent,100253.5,97283.5
2021-01-12,ContrarianAgent,100000.0,99455.0
2021-01-12,DrawdownBuyerAgent,101202.0,30085.0
2021-01-12,DynamicTeamAgent,100014.07,99612.9
2021-01-12,FreeRiderAgent,100028.5,99483.5
2021-01-12,LowVolatilityAgent,100601.5,90191.5
2021-01-12,MeanReversionAgent,101117.0,30000.0
2021-01-12,MomentumAgent,98654.0,96474.0
2021-01-12,PersuaderAgent,100189.0,99099.0
2021-01-12,RandomAgent,99902.0,98812.0
2021-01-12,SocialGraphAgent,100209.0,97239.0
2021-01-12,TruthfulReporterAgent,100046.0,100046.0
2021-01-13,CommitteeTeamAgent,100273.5,97283.5
2021-01-13,ContrarianAgent,99989.0,99455.0
2021-01-13,DrawdownBuyerAgent,99118.0,29551.0
2021-01-13,DynamicTeamAgent,99975.9,98522.9
2021-01-13,FreeRiderAgent,100017.5,99483.5
2021-01-13,LowVolatilityAgent,100525.5,90191.5
2021-01-13,MeanReversionAgent,99033.0,14733.5
2021-01-13,MomentumAgent,98610.0,97542.0
2021-01-13,PersuaderAgent,100167.0,98565.0
2021-01-13,RandomAgent,99880.0,99880.0
2021-01-13,SocialGraphAgent,100229.0,97239.0
2021-01-13,TruthfulReporterAgent,100046.0,100046.0
2021-01-14,CommitteeTeamAgent,100282.5,97283.5
2021-01-14,ContrarianAgent,99976.5,99976.5
2021-01-14,DrawdownBuyerAgent,95913.5,15081.0
2021-01-14,DynamicTeamAgent,99934.91,98522.9
2021-01-14,FreeRiderAgent,100005.0,99483.5
2021-01-14,LowVolatilityAgent,100151.5,67796.5
2021-01-14,MeanReversionAgent,95044.5,14733.5
2021-01-14,MomentumAgent,98585.0,98585.0
2021-01-14,PersuaderAgent,100129.5,98565.0
2021-01-14,RandomAgent,99880.0,99567.1
2021-01-14,SocialGraphAgent,100238.0,96196.0
2021-01-14,TruthfulReporterAgent,100046.0,100046.0
2021-01-15,CommitteeTeamAgent,100278.5,97283.5
2021-01-15,ContrarianAgent,99976.5,71206.5
2021-01-15,DrawdownBuyerAgent,96819.0,14553.0
2021-01-15,DynamicTeamAgent,99959.45,98522.9
2021-01-15,FreeRiderAgent,100011.5,99483.5
2021-01-15,LowVolatilityAgent,100285.5,67796.5
2021-01-15,MeanReversionAgent,95943.5,14733.5
2021-01-15,MomentumAgent,98585.0,93471.0
2021-01-15,PersuaderAgent,100149.0,98565.0
2021-01-15,RandomAgent,99883.9,99883.9
2021-01-15,SocialGraphAgent,100247.0,97252.0
2021-01-15,TruthfulReporterAgent,100046.0,100046.0
2021-01-18,CommitteeTeamAgent,100409.5,97283.5
2021-01-18,ContrarianAgent,99661.5,49037.5
2021-01-18,DrawdownBuyerAgent,96694.5,12336.1
2021-01-18,DynamicTeamAgent,99975.8,99591.9
2021-01-18,FreeRiderAgent,100018.0,99483.5
2021-01-18,LowVolatilityAgent,99877.5,67796.5
2021-01-18,MeanReversionAgent,95806.0,1432.1
2021-01-18,MomentumAgent,98663.0,90875.0
2021-01-18,PersuaderAgent,100168.5,98565.0
2021-01-18,RandomAgent,99883.9,71428.9
2021-01-18,SocialGraphAgent,100378.0,97252.0
2021-01-18,TruthfulReporterAgent,100046.0,100046.0
2021-01-19,CommitteeTeamAgent,100411.5,88838.5
2021-01-19,ContrarianAgent,98807.5,30732.0
2021-01-19,DrawdownBuyerAgent,94362.1,10174.1
2021-01-19,DynamicTeamAgent,99958.01,99958.01
2021-01-19,FreeRiderAgent,99997.5,99997.5
2021-01-19,LowVolatilityAgent,98901.5,89416.5
2021-01-19,MeanReversionAgent,93240.1,1432.1
2021-01-19,MomentumAgent,98652.5,90875.0
2021-01-19,PersuaderAgent,100107.0,99593.0
2021-01-19,RandomAgent,99578.9,99578.9
2021-01-19,SocialGraphAgent,100380.0,97252.0
2021-01-19,TruthfulReporterAgent,100046.0,97884.0
2021-01-20,CommitteeTeamAgent,100434.0,97384.0
2021-01-20,ContrarianAgent,100987.0,50302.0
2021-01-20,DrawdownBuyerAgent,97537.6,10143.6
2021-01-20,DynamicTeamAgent,99958.01,97109.51
2021-01-20,FreeRiderAgent,99997.5,97149.0
2021-01-20,LowVolatilityAgent,99044.5,99044.5
2021-01-20,MeanReversionAgent,96619.6,1432.1
2021-01-20,MomentumAgent,98633.0,90875.0
2021-01-20,PersuaderAgent,100121.0,91047.5
2021-01-20,RandomAgent,99578.9,96528.9
2021-01-20,SocialGraphAgent,100302.0,97252.0
2021-01-20,TruthfulReporterAgent,100104.0,97884.0
2021-01-21,CommitteeTeamAgent,100394.0,98889.0
2021-01-21,ContrarianAgent,103549.0,79997.0
2021-01-21,DrawdownBuyerAgent,99653.6,29708.6
2021-01-21,DynamicTeamAgent,100079.01,100079.01
2021-01-21,FreeRiderAgent,100118.5,100118.5
2021-01-21,LowVolatilityAgent,99044.5,99044.5
2021-01-21,MeanReversionAgent,99235.8,10340.6
2021-01-21,MomentumAgent,98771.0,90243.0
2021-01-21,PersuaderAgent,100504.5,99956.0
2021-01-21,RandomAgent,99538.9,88084.9
