agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
ContrarianAgent,0.07854629999999996,0.46388687919112814,0.1156417924607942,4.011412045073572,-0.013791422868266956,50
DynamicTeamAgent,0.0014127999999999918,0.0071408620290440705,0.035259889215527154,0.20252082998319515,-0.014439874667289132,50
TruthfulReporterAgent,-0.0012055000000000815,-0.006060943015596787,0.023179354227124322,-0.26148023608458915,-0.013881634954724054,50
CommitteeTeamAgent,-0.0006744000000000749,-0.003394348779062639,0.008887132648897124,-0.3819397001443285,-0.004998705617619503,50
SocialGraphAgent,-0.002938999999999914,-0.01472488259621485,0.03249537539944471,-0.4531377900766295,-0.01636993513594176,50
FreeRiderAgent,-0.003088099999999927,-0.015467239545903788,0.02671562345044651,-0.5789585848368168,-0.013376957297933978,50
MeanReversionAgent,-0.068666,-0.3012987696767694,0.32046269454194287,-0.9401992019927135,-0.14172725401945585,50
DrawdownBuyerAgent,-0.10846220000000006,-0.43933377133352014,0.4206065421464735,-1.0445243411847003,-0.22704091845996333,50
RandomAgent,-0.021567899999999973,-0.10406874014311773,0.07107806686826772,-1.464147024932363,-0.026765446706196627,50
LowVolatilityAgent,-0.0096503,-0.04769861760655003,0.029964927503167187,-1.5918148843012705,-0.017685123979264694,50
MomentumAgent,-0.19857000000000002,-0.6722953523807306,0.3115700791983883,-2.157766092656975,-0.2253025550605985,50
PersuaderAgent,-0.05319850000000004,-0.24081950078415348,0.09610364327653494,-2.5058311274548,-0.07169175270824624,50
