scenario,experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
adversarial_persuader,agent_portfolio,drawdown_constrained_agent_portfolio,-0.022792846333077654,-0.11181648647651499,0.07989671280074345,-1.399512978154397,-0.05158223931491046,49,0.478672794783384,0.127479466751782,0.03156684633307749
barbell_two_camps,agent_portfolio,drawdown_constrained_agent_portfolio,0.003941521331141784,0.020436867562929395,0.03997793024328061,0.5112037426290815,-0.015226417263575986,49,0.395199379389427,0.09884576774926176,0.017437278668858358
baseline_isolated,agent_portfolio,drawdown_constrained_agent_portfolio,-0.0005546720680850159,-0.002849323578685725,0.06477222000016346,-0.04398990151454643,-0.029746241992977374,49,0.48055269709505044,0.10568217233754004,0.04710407206808498
bridge_broker,agent_portfolio,drawdown_constrained_agent_portfolio,-0.03366857627702324,-0.16149497513264444,0.14803963051377336,-1.090890152671782,-0.07599578251369432,49,0.564370669369758,0.14303127513723393,0.04887297627702325
chain_influence,agent_portfolio,drawdown_constrained_agent_portfolio,-0.023082895621994948,-0.11317144287272118,0.11766510950561265,-0.9618096931896611,-0.07080786957996965,49,0.4725254495935985,0.14795467514313676,0.06741059562199492
core_periphery,agent_portfolio,drawdown_constrained_agent_portfolio,-0.007654930269169746,-0.038748950814425864,0.0619952430461637,-0.6250310331967264,-0.03255253777427092,49,0.45815589602782614,0.10584416389369025,0.04890043026916979
dense_market,agent_portfolio,hedge_agent_portfolio,0.0008117202565367521,0.004181586483976485,0.14876489591903375,0.028108690952550662,-0.07440812178695122,49,0.5714576881133937,0.15505130386817348,0.07034957974346323
echo_chambers,agent_portfolio,drawdown_constrained_agent_portfolio,-0.014291658502102345,-0.07135638373160458,0.055905276298367536,-1.276380128250761,-0.02633249374318769,49,0.4983975591853852,0.11179089799125538,0.020101258502102426
mentor_pairs,agent_portfolio,correlation_aware_agent_portfolio,-1.650071532266484e-05,-8.485792116219582e-05,0.006008387458182383,-0.014123243840846853,-0.0033283889772158792,49,0.4619126226999453,0.08406701786798362,0.003918700715322632
star_social_hub,agent_portfolio,drawdown_constrained_agent_portfolio,-0.01782753661956904,-0.08836133952618774,0.08115382548702242,-1.0888129918203042,-0.046647133845382105,49,0.6038068274582576,0.12735797743085672,0.08647253661956911
strategy_silos,agent_portfolio,equal_agent_portfolio,-0.045454677605090366,-0.21277919674060342,0.10210579981200199,-2.0839090152799757,-0.06492694410467437,49,0.4612573289706751,0.08333333333333334,0.05470327760509042
truthful_anchor,agent_portfolio,drawdown_constrained_agent_portfolio,-0.014878759498346494,-0.07419745486881879,0.0621469381159046,-1.1939036277288493,-0.034474798038967025,49,0.45426072154516417,0.10467566824751581,0.09342505949834645
