date,ticker,open,high,low,close,volume
2022-01-03,ALPHA,63.4138,63.902,62.8695,63.6103,3395529
2022-01-04,ALPHA,63.6103,63.7218,63.2498,63.5176,2097128
2022-01-05,ALPHA,63.5176,63.6507,63.0807,63.4538,3775820
2022-01-06,ALPHA,63.4538,63.6899,63.2226,63.5211,4639325
2022-01-07,ALPHA,63.5211,63.609,62.96,63.2887,1207578
2022-01-10,ALPHA,63.2887,63.3577,62.2859,62.6383,1750546
2022-01-11,ALPHA,62.6383,62.8033,62.2896,62.6526,4958155
2022-01-12,ALPHA,62.6526,63.1784,62.2895,62.4093,2143313
2022-01-13,ALPHA,62.4093,62.7843,61.8847,62.6791,1430128
2022-01-14,ALPHA,62.6791,63.5406,62.3195,63.5061,2052952
2022-01-17,ALPHA,63.5061,63.5805,63.0911,63.4098,2353535
2022-01-18,ALPHA,63.4098,63.7698,63.3906,63.7387,1912191
2022-01-19,ALPHA,63.7387,65.1405,63.364,64.7922,1197629
2022-01-20,ALPHA,64.7922,65.6499,63.5491,64.5565,3790582
2022-01-21,ALPHA,64.5565,66.1613,64.5342,65.7466,4091308
2022-01-24,ALPHA,65.7466,65.9407,65.6257,65.7492,3097298
2022-01-25,ALPHA,65.7492,66.7308,65.698,66.1912,2497181
2022-01-26,ALPHA,66.1912,66.249,65.6989,65.8784,4953812
2022-01-27,ALPHA,65.8784,66.4168,65.5873,65.6284,1355921
2022-01-28,ALPHA,65.6284,65.8698,64.9486,65.207,3983954
2022-01-31,ALPHA,65.207,65.9907,65.0552,65.0987,668918
2022-02-01,ALPHA,65.0987,65.8289,65.0732,65.6721,1839692
2022-02-02,ALPHA,65.6721,66.8997,65.0738,66.7468,4700195
2022-02-03,ALPHA,66.7468,67.4306,66.4469,67.1043,2711674
2022-02-04,ALPHA,67.1043,67.1274,66.5392,66.687,848981
2022-02-07,ALPHA,66.687,67.7821,66.365,67.4212,3468232
2022-02-08,ALPHA,67.4212,67.5646,66.4271,66.6583,4049282
2022-02-09,ALPHA,66.6583,67.0251,66.5748,66.7579,3269787
2022-02-10,ALPHA,66.7579,67.0802,66.2657,66.4576,4751958
2022-02-11,ALPHA,66.4576,67.1413,66.2056,66.5698,1946019
2022-02-14,ALPHA,66.5698,67.2105,66.2403,66.8715,2399453
2022-02-15,ALPHA,66.8715,67.2829,66.4796,66.7103,877592
2022-02-16,ALPHA,66.7103,66.9032,66.0157,66.6595,3998716
2022-02-17,ALPHA,66.6595,67.8866,66.3366,67.4292,1934055
2022-02-18,ALPHA,67.4292,68.4961,67.4107,68.4163,1350693
2022-02-21,ALPHA,68.4163,69.7576,68.1529,69.1655,4813160
2022-02-22,ALPHA,69.1655,70.609,69.0796,70.4771,4731485
2022-02-23,ALPHA,70.4771,70.9193,69.8757,70.0761,4290025
2022-02-24,ALPHA,70.0761,70.8778,69.6286,70.077,2175142
2022-02-25,ALPHA,70.077,70.5564,69.0952,69.7273,4835681
2022-02-28,ALPHA,69.7273,69.9618,68.8339,69.1012,2118076
2022-03-01,ALPHA,69.1012,70.9624,68.7414,70.3157,1934519
2022-03-02,ALPHA,70.3157,70.8033,70.2184,70.5376,1077791
2022-03-03,ALPHA,70.5376,70.728,70.0864,70.6991,1326471
2022-03-04,ALPHA,70.6991,70.783,69.5853,70.0062,669390
2022-03-07,ALPHA,70.0062,71.0601,68.979,70.6724,693908
2022-03-08,ALPHA,70.6724,71.5104,69.7074,71.4556,2525117
2022-03-09,ALPHA,71.4556,72.5656,71.4185,72.1348,3054043
2022-03-10,ALPHA,72.1348,73.5218,71.7536,73.1984,4633716
2022-03-11,ALPHA,73.1984,74.2329,72.897,74.2,1833562
2022-03-14,ALPHA,74.2,75.3775,73.9645,75.2802,2642007
2022-03-15,ALPHA,75.2802,76.5843,74.7322,76.163,3826673
2022-03-16,ALPHA,76.163,76.621,75.1971,75.7608,3847728
2022-03-17,ALPHA,75.7608,76.6691,75.3038,75.6997,3096859
2022-03-18,ALPHA,75.6997,75.9536,75.237,75.8382,2579804
2022-03-21,ALPHA,75.8382,76.243,75.623,76.0199,3971916
2022-03-22,ALPHA,76.0199,76.5504,75.7496,76.2983,1577778
2022-03-23,ALPHA,76.2983,76.8289,76.0212,76.5881,1682074
2022-03-24,ALPHA,76.5881,77.2701,76.516,76.7545,1149148
2022-03-25,ALPHA,76.7545,77.4307,76.6701,77.1667,2424040
2022-03-28,ALPHA,77.1667,77.878,77.0664,77.3785,975229
2022-03-29,ALPHA,77.3785,77.6299,76.5912,76.8417,4891244
2022-03-30,ALPHA,76.8417,76.8818,76.0629,76.3074,3410048
2022-03-31,ALPHA,76.3074,76.3481,75.1025,75.1596,2694011
2022-04-01,ALPHA,75.1596,75.4969,74.5203,74.6883,539969
2022-04-04,ALPHA,74.6883,74.8023,73.9205,74.0846,4757823
2022-04-05,ALPHA,74.0846,74.7878,73.1368,73.8112,4260209
2022-04-06,ALPHA,73.8112,75.1899,73.391,75.0497,1029708
2022-04-07,ALPHA,75.0497,75.7766,74.1861,75.4067,4479278
2022-04-08,ALPHA,75.4067,76.3284,75.2944,75.9024,3829553
