agent,CommitteeTeamAgent,ContrarianAgent,DrawdownBuyerAgent,DynamicTeamAgent,FreeRiderAgent,LowVolatilityAgent,MeanReversionAgent,MomentumAgent,PersuaderAgent,RandomAgent,SocialGraphAgent,TruthfulReporterAgent
CommitteeTeamAgent,1.0,0.7695189909800393,0.8281525308324551,0.999653108981777,0.9333163917574263,0.9338156717724966,0.874368718334341,0.9161765568102432,0.8792354178502984,0.9189678909561559,0.9959258662581385,0.9168825218951664
ContrarianAgent,0.7695189909800393,1.0,0.9841523667009252,0.7688982141373092,0.5734912587824532,0.5772090436800565,0.793583706155613,0.5577388884357941,0.809445427128379,0.8353473404023815,0.7779935700004564,0.5556806370589282
DrawdownBuyerAgent,0.8281525308324551,0.9841523667009252,1.0,0.8279874505420829,0.6383931511214073,0.64126587373118,0.8536620513330783,0.620676593634216,0.867527776918041,0.8752045767209053,0.8342229672607316,0.6195630444081235
DynamicTeamAgent,0.999653108981777,0.7688982141373092,0.8279874505420829,1.0,0.9333203786273606,0.9339765264296583,0.8745378458369838,0.9159881352924549,0.8796008598849379,0.919391891423627,0.9959860655153573,0.916566135793639
FreeRiderAgent,0.9333163917574263,0.5734912587824532,0.6383931511214073,0.9333203786273606,1.0,0.9954306553782987,0.7217219014389771,0.9407802398208275,0.7234850864401448,0.8089742628654992,0.9316402807398291,0.9413377555306148
LowVolatilityAgent,0.9338156717724966,0.5772090436800565,0.64126587373118,0.9339765264296583,0.9954306553782987,1.0,0.7215328593512579,0.943145638232791,0.7234504771133595,0.8098291761908171,0.9332278880555942,0.942036500613921
MeanReversionAgent,0.874368718334341,0.793583706155613,0.8536620513330783,0.8745378458369838,0.7217219014389771,0.7215328593512579,1.0,0.682590636980543,0.9883508709850042,0.8785787255101862,0.872932974779789,0.6847160512700466
MomentumAgent,0.9161765568102432,0.5577388884357941,0.620676593634216,0.9159881352924549,0.9407802398208275,0.943145638232791,0.682590636980543,1.0,0.6826267616581362,0.8039589975697605,0.9131698249629535,0.9961541310518578
PersuaderAgent,0.8792354178502984,0.809445427128379,0.867527776918041,0.8796008598849379,0.7234850864401448,0.7234504771133595,0.9883508709850042,0.6826267616581362,1.0,0.8830834593377197,0.8784181112685234,0.6842103046051732
RandomAgent,0.9189678909561559,0.8353473404023815,0.8752045767209053,0.919391891423627,0.8089742628654992,0.8098291761908171,0.8785787255101862,0.8039589975697605,0.8830834593377197,1.0,0.922119411824155,0.8071515175269932
SocialGraphAgent,0.9959258662581385,0.7779935700004564,0.8342229672607316,0.9959860655153573,0.9316402807398291,0.9332278880555942,0.872932974779789,0.9131698249629535,0.8784181112685234,0.922119411824155,1.0,0.9139744483975152
TruthfulReporterAgent,0.9168825218951664,0.5556806370589282,0.6195630444081235,0.916566135793639,0.9413377555306148,0.942036500613921,0.6847160512700466,0.9961541310518578,0.6842103046051732,0.8071515175269932,0.9139744483975152,1.0
