experiment,scenario,agent,pagerank
full_social,core_periphery,MomentumAgent,0.04992867679919749
full_social,core_periphery,MeanReversionAgent,0.04993166357002926
full_social,core_periphery,LowVolatilityAgent,0.05003400235112654
full_social,core_periphery,DrawdownBuyerAgent,0.04992867679919749
full_social,core_periphery,RandomAgent,0.04993166357002926
full_social,core_periphery,CommitteeTeamAgent,0.17819060347356752
full_social,core_periphery,DynamicTeamAgent,0.17770904013400457
full_social,core_periphery,TruthfulReporterAgent,0.054127534340871586
full_social,core_periphery,PersuaderAgent,0.054127534340871586
full_social,core_periphery,FreeRiderAgent,0.054127534340871586
full_social,core_periphery,ContrarianAgent,0.054127534340871586
full_social,core_periphery,SocialGraphAgent,0.17783553593936172
