agent_a,agent_b
CommitteeTeamAgent,DrawdownBuyerAgent
CommitteeTeamAgent,DynamicTeamAgent
CommitteeTeamAgent,LowVolatilityAgent
CommitteeTeamAgent,MomentumAgent
CommitteeTeamAgent,RandomAgent
CommitteeTeamAgent,SocialGraphAgent
ContrarianAgent,DrawdownBuyerAgent
ContrarianAgent,LowVolatilityAgent
ContrarianAgent,MeanReversionAgent
ContrarianAgent,PersuaderAgent
DrawdownBuyerAgent,LowVolatilityAgent
DrawdownBuyerAgent,SocialGraphAgent
DynamicTeamAgent,LowVolatilityAgent
DynamicTeamAgent,MeanReversionAgent
DynamicTeamAgent,MomentumAgent
DynamicTeamAgent,RandomAgent
DynamicTeamAgent,SocialGraphAgent
FreeRiderAgent,LowVolatilityAgent
LowVolatilityAgent,SocialGraphAgent
MeanReversionAgent,PersuaderAgent
MeanReversionAgent,SocialGraphAgent
MomentumAgent,SocialGraphAgent
MomentumAgent,TruthfulReporterAgent
