date,ticker,open,high,low,close,volume
2021-01-04,000002,28.4,28.4,27.52,27.78,146844133.0
2021-01-04,000333,98.9,101.95,98.03,99.01,33882680.0
2021-01-04,000858,292.0,300.0,291.99,298.05,23427822.0
2021-01-04,002415,48.1,50.65,46.92,49.8,157793361.0
2021-01-04,002594,189.0,211.16,187.09,206.76,58950161.0
2021-01-04,300750,358.1,411.11,358.1,404.1,22480807.0
2021-01-04,600036,43.23,43.78,42.02,43.17,154952285.0
2021-01-04,600519,1999.98,2004.99,1983.81,1997.0,4351400.0
2021-01-04,601318,86.91,86.95,84.1,85.18,103643104.0
2021-01-04,601899,9.42,10.17,9.38,10.04,445168334.0
2021-01-05,000002,27.78,27.93,27.1,27.91,116265838.0
2021-01-05,000333,98.07,101.94,97.0,101.54,35114801.0
2021-01-05,000858,297.2,319.98,294.5,319.98,31460633.0
2021-01-05,002415,49.5,54.78,49.4,54.78,147156104.0
2021-01-05,002594,206.0,221.23,202.01,219.9,54530597.0
2021-01-05,300750,395.0,403.8,386.01,402.0,22745201.0
2021-01-05,600036,42.76,42.8,41.44,42.18,138717699.0
2021-01-05,600519,1990.0,2059.45,1982.46,2059.45,5211605.0
2021-01-05,601318,84.5,84.5,82.85,84.27,105478627.0
2021-01-05,601899,10.09,10.25,9.85,10.21,362738182.0
2021-01-06,000002,27.8,28.75,27.73,28.75,104880129.0
2021-01-06,000333,103.0,104.8,99.65,100.96,36020338.0
2021-01-06,000858,320.15,335.66,317.79,328.3,31343033.0
2021-01-06,002415,55.5,58.32,54.8,55.42,131752692.0
2021-01-06,002594,219.72,222.18,212.0,216.3,43465214.0
2021-01-06,300750,408.0,416.0,391.01,406.77,18668114.0
2021-01-06,600036,42.1,44.2,42.0,44.15,120064563.0
2021-01-06,600519,2064.8,2125.0,2036.03,2100.0,4741020.0
2021-01-06,601318,84.29,85.74,83.55,85.74,93759848.0
2021-01-06,601899,10.45,10.79,10.31,10.5,382786005.0
2021-01-07,000002,29.0,29.5,28.39,28.79,122675574.0
2021-01-07,000333,102.0,105.67,101.2,104.82,45140052.0
2021-01-07,000858,328.31,330.68,317.08,330.0,24255948.0
2021-01-07,002415,56.0,59.45,55.68,58.29,93609657.0
2021-01-07,002594,216.6,228.32,214.2,225.04,42860254.0
2021-01-07,300750,400.99,415.0,396.88,413.23,17389487.0
2021-01-07,600036,44.29,45.97,44.26,45.9,107832187.0
2021-01-07,600519,2097.0,2140.0,2075.0,2140.0,3793139.0
2021-01-07,601318,85.87,86.76,84.3,86.26,106968724.0
2021-01-07,601899,10.43,11.32,10.38,11.18,447954121.0
2021-01-08,000002,28.98,29.45,28.81,29.34,102856329.0
2021-01-08,000333,104.0,104.7,101.25,103.01,33069048.0
2021-01-08,000858,330.06,331.6,308.94,317.0,37870249.0
2021-01-08,002415,58.2,58.9,55.72,57.34,85544954.0
2021-01-08,002594,233.0,234.32,220.7,227.51,42675836.0
2021-01-08,300750,419.0,424.99,397.4,404.5,21006685.0
2021-01-08,600036,46.29,47.02,45.81,46.6,129959481.0
2021-01-08,600519,2142.0,2150.88,2063.02,2090.0,5386164.0
2021-01-08,601318,86.22,87.26,85.21,86.1,116936795.0
2021-01-08,601899,11.4,11.52,10.9,11.35,389430578.0
2021-01-11,000002,29.5,30.35,29.27,29.78,138812124.0
2021-01-11,000333,103.2,104.33,100.0,101.0,34189187.0
2021-01-11,000858,316.43,316.5,299.5,301.2,38195291.0
2021-01-11,002415,58.01,61.31,57.84,59.0,129337078.0
2021-01-11,002594,234.59,245.0,230.98,234.86,53425466.0
2021-01-11,300750,409.88,409.88,386.0,390.0,23005038.0
2021-01-11,600036,46.58,49.17,46.49,48.42,144523356.0
2021-01-11,600519,2090.0,2150.5,2058.6,2099.73,5107990.0
2021-01-11,601318,86.2,86.6,84.0,84.03,109860234.0
2021-01-11,601899,10.9,11.12,10.5,10.67,471688810.0
2021-01-12,000002,29.78,29.8,29.37,29.7,98065437.0
2021-01-12,000333,100.31,104.28,100.31,104.1,35529586.0
2021-01-12,000858,298.95,311.3,298.0,310.0,23025505.0
2021-01-12,002415,59.04,61.55,59.01,61.25,84141203.0
2021-01-12,002594,231.8,239.75,220.0,236.99,43312458.0
2021-01-12,300750,385.5,404.4,380.0,401.17,16559671.0
2021-01-12,600036,48.55,50.05,47.56,49.7,104448591.0
2021-01-12,600519,2088.0,2160.9,2085.0,2160.9,4105859.0
2021-01-12,601318,83.88,87.82,83.33,87.82,146755609.0
2021-01-12,601899,10.3,10.9,10.23,10.9,330386249.0
2021-01-13,000002,29.9,30.22,29.6,29.9,94050423.0
2021-01-13,000333,105.0,105.71,102.04,103.34,34348739.0
2021-01-13,000858,311.53,313.48,302.12,305.33,23365302.0
2021-01-13,002415,60.8,61.44,59.0,59.91,72099546.0
2021-01-13,002594,238.0,249.88,229.69,239.3,48034787.0
2021-01-13,300750,400.0,410.5,372.98,385.0,27261967.0
2021-01-13,600036,49.31,49.98,48.88,49.4,64910979.0
2021-01-13,600519,2164.0,2173.33,2135.0,2164.0,3438993.0
2021-01-13,601318,88.8,89.28,86.83,87.54,139094339.0
2021-01-13,601899,10.92,11.56,10.51,10.68,446550141.0
2021-01-14,000002,29.93,30.79,29.8,29.99,121632323.0
2021-01-14,000333,103.6,104.39,99.39,99.6,37381528.0
2021-01-14,000858,304.0,304.88,289.0,289.4,35489554.0
2021-01-14,002415,59.12,59.69,56.8,57.24,62406543.0
2021-01-14,002594,232.0,235.45,222.34,223.95,44595502.0
2021-01-14,300750,375.2,384.0,368.02,369.01,19606569.0
2021-01-14,600036,49.4,50.08,48.56,49.05,70377099.0
2021-01-14,600519,2156.0,2163.0,2116.11,2134.0,3615220.0
2021-01-14,601318,88.4,88.52,84.88,85.27,137927380.0
2021-01-14,601899,10.62,10.72,10.31,10.43,248924015.0
2021-01-15,000002,30.01,30.73,29.88,29.95,112337238.0
2021-01-15,000333,99.03,100.17,96.78,99.69,35743823.0
2021-01-15,000858,288.0,292.29,278.07,287.7,41713251.0
2021-01-15,002415,57.58,60.97,57.58,58.9,57256014.0
2021-01-15,002594,222.0,228.92,216.5,225.2,37705046.0
2021-01-15,300750,367.99,383.98,365.0,380.55,19822928.0
2021-01-15,600036,50.5,53.89,50.48,51.14,177574522.0
2021-01-15,600519,2115.0,2134.35,2029.0,2082.0,5950939.0
2021-01-15,601318,85.94,88.65,85.27,86.9,158708501.0
2021-01-15,601899,10.59,10.88,10.24,10.56,265911595.0
2021-01-18,000002,30.2,31.26,29.83,31.26,125828168.0
2021-01-18,000333,99.39,100.28,97.51,99.12,28677180.0
2021-01-18,000858,285.0,287.14,279.33,284.55,27255864.0
2021-01-18,002415,58.21,61.1,57.07,59.78,45947104.0
2021-01-18,002594,220.0,224.0,216.26,221.69,26378933.0
2021-01-18,300750,376.74,391.8,375.77,383.9,14201178.0
2021-01-18,600036,51.5,53.08,51.2,51.92,123764160.0
2021-01-18,600519,2061.06,2091.48,2040.27,2063.0,3914404.0
2021-01-18,601318,87.0,87.65,85.3,87.2,116241991.0
