message_id,timestamp,sender_id,channel,receiver_ids,tickers,horizon,claim_type,direction,confidence,evidence,position_intent,natural_language,expires_at,event_id
2eb45660-275f-4391-b111-b026cc0212a2,2021-05-14,MomentumAgent,private,"['CommitteeTeamAgent', 'DynamicTeamAgent', 'TruthfulReporterAgent', 'SocialGraphAgent']",['601899'],medium,trend,bullish,0.762198520567678,"[{'type': 'target_weight', 'quality': 0.31219852056767805}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[cooperate] MomentumAgent reports a bullish signal on 601899.,2021-06-03,1177
ed7f4b20-52fc-4347-b01f-db5d2d2b6161,2021-05-14,MeanReversionAgent,public,[],['601899'],medium,trend,bullish,0.8384930520524866,"[{'type': 'target_weight', 'quality': 0.28849305205248654}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[compete] MeanReversionAgent reports a bullish signal on 601899.,2021-06-03,1178
b4d75d65-1993-4439-abf7-d11505e2b4af,2021-05-14,LowVolatilityAgent,private,"['DrawdownBuyerAgent', 'CommitteeTeamAgent', 'DynamicTeamAgent', 'FreeRiderAgent', 'ContrarianAgent', 'SocialGraphAgent']",['601899'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[cooperate] LowVolatilityAgent reports a bullish signal on 601899.,2021-06-03,1179
d92277fd-0313-4473-93bd-2a8810257b99,2021-05-14,CommitteeTeamAgent,private,"['MomentumAgent', 'LowVolatilityAgent', 'DrawdownBuyerAgent', 'RandomAgent', 'DynamicTeamAgent', 'SocialGraphAgent']",['601899'],medium,trend,bullish,0.7391955930987362,"[{'type': 'target_weight', 'quality': 0.2891955930987362}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[cooperate] CommitteeTeamAgent reports a bullish signal on 601899.,2021-06-03,1180
db550198-e0fe-42f5-b065-1d45e77d1461,2021-05-14,DynamicTeamAgent,private,"['MomentumAgent', 'MeanReversionAgent', 'LowVolatilityAgent', 'RandomAgent', 'CommitteeTeamAgent', 'SocialGraphAgent']",['601899'],medium,trend,bullish,0.7391955930987362,"[{'type': 'target_weight', 'quality': 0.2891955930987362}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[cooperate] DynamicTeamAgent reports a bullish signal on 601899.,2021-06-03,1181
509f1743-117f-4f39-88b3-7fcba5da8472,2021-05-14,PersuaderAgent,public,[],['601899'],medium,trend,bullish,0.9884930520524866,"[{'type': 'target_weight', 'quality': 0.28849305205248654}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[compete] PersuaderAgent strongly recommends increasing exposure to 601899.,2021-06-03,1182
c1b8bca3-50bd-467b-8f19-0e29eb33c917,2021-05-14,ContrarianAgent,public,[],['002594'],medium,trend,bullish,0.7644173103492138,"[{'type': 'target_weight', 'quality': 0.21441731034921377}, {'type': 'recent_return', 'value': -0.0638985427717822, 'quality': 0.319492713858911}, {'type': 'volatility', 'value': 0.03117301453658298, 'quality': 0.9688269854634171}]",increase,[compete] ContrarianAgent reports a bullish signal on 002594.,2021-06-03,1183
33483839-28f1-4421-8f97-fc6a1abeec2c,2021-05-14,SocialGraphAgent,private,"['MomentumAgent', 'MeanReversionAgent', 'LowVolatilityAgent', 'DrawdownBuyerAgent', 'CommitteeTeamAgent', 'DynamicTeamAgent']",['601899'],medium,trend,bullish,0.7391955930987362,"[{'type': 'target_weight', 'quality': 0.2891955930987362}, {'type': 'recent_return', 'value': 0.14020618556701048, 'quality': 0.7010309278350524}, {'type': 'volatility', 'value': 0.03053947161248476, 'quality': 0.9694605283875153}]",increase,[cooperate] SocialGraphAgent reports a bullish signal on 601899.,2021-06-03,1184
2c1595a8-c02d-44ac-90d5-6ce16d1e4688,2021-05-21,MeanReversionAgent,public,[],['601899'],medium,trend,bullish,0.9,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.007448789571694592, 'quality': 0.03724394785847296}, {'type': 'volatility', 'value': 0.032491071490979594, 'quality': 0.9675089285090204}]",increase,[compete] MeanReversionAgent reports a bullish signal on 601899.,2021-06-10,1357
4b71028b-f705-4825-9ff2-fb87847a6aab,2021-05-21,LowVolatilityAgent,public,[],['002415'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.025641025641025772, 'quality': 0.12820512820512886}, {'type': 'volatility', 'value': 0.01863962709487787, 'quality': 0.9813603729051221}]",increase,[observe] LowVolatilityAgent reports a bullish signal on 002415.,2021-06-10,1358
2bada14b-1c2f-4028-89f1-6e9d5007e711,2021-05-21,CommitteeTeamAgent,public,[],['002415'],medium,trend,bullish,0.7454258876565163,"[{'type': 'target_weight', 'quality': 0.1954258876565163}, {'type': 'recent_return', 'value': 0.025641025641025772, 'quality': 0.12820512820512886}, {'type': 'volatility', 'value': 0.01863962709487787, 'quality': 0.9813603729051221}]",increase,[compete] CommitteeTeamAgent reports a bullish signal on 002415.,2021-06-10,1359
706ac43b-1f31-42f8-8715-e7af84cebe28,2021-05-21,DynamicTeamAgent,public,[],['002415'],medium,trend,bullish,0.7454258876565162,"[{'type': 'target_weight', 'quality': 0.19542588765651625}, {'type': 'recent_return', 'value': 0.025641025641025772, 'quality': 0.12820512820512886}, {'type': 'volatility', 'value': 0.01863962709487787, 'quality': 0.9813603729051221}]",increase,[compete] DynamicTeamAgent reports a bullish signal on 002415.,2021-06-10,1360
ce819ca1-7c3f-4662-bbb1-ef50c61863e6,2021-05-21,TruthfulReporterAgent,private,['MomentumAgent'],['000858'],medium,trend,bullish,0.7857598209454714,"[{'type': 'target_weight', 'quality': 0.33575982094547135}, {'type': 'recent_return', 'value': 0.10774976657329605, 'quality': 0.5387488328664802}, {'type': 'volatility', 'value': 0.02260811015361681, 'quality': 0.9773918898463831}]",increase,[cooperate] TruthfulReporterAgent reports a bullish signal on 000858.,2021-06-10,1361
3ebe0344-7f82-4132-bd48-44c88554032a,2021-05-21,PersuaderAgent,public,[],['601899'],medium,trend,bullish,1.0,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.007448789571694592, 'quality': 0.03724394785847296}, {'type': 'volatility', 'value': 0.032491071490979594, 'quality': 0.9675089285090204}]",increase,[compete] PersuaderAgent strongly recommends increasing exposure to 601899.,2021-06-10,1362
6475b840-8bab-4985-b30a-3ad5df945450,2021-05-21,ContrarianAgent,public,[],['002594'],medium,trend,bullish,0.7432740033085989,"[{'type': 'target_weight', 'quality': 0.19327400330859898}, {'type': 'recent_return', 'value': 0.011445923849567663, 'quality': 0.057229619247838315}, {'type': 'volatility', 'value': 0.032762969161183375, 'quality': 0.9672370308388166}]",increase,[compete] ContrarianAgent reports a bullish signal on 002594.,2021-06-10,1363
7ad332ed-c3c2-4ac6-b3ef-800bebb8d412,2021-05-21,SocialGraphAgent,public,[],['002415'],medium,trend,bullish,0.7454258876565162,"[{'type': 'target_weight', 'quality': 0.19542588765651625}, {'type': 'recent_return', 'value': 0.025641025641025772, 'quality': 0.12820512820512886}, {'type': 'volatility', 'value': 0.01863962709487787, 'quality': 0.9813603729051221}]",increase,[compete] SocialGraphAgent reports a bullish signal on 002415.,2021-06-10,1364
791fb556-24eb-4c11-a5a8-0c1637b75028,2021-05-28,CommitteeTeamAgent,public,[],['600036'],medium,trend,bullish,0.7331765295251224,"[{'type': 'target_weight', 'quality': 0.1831765295251223}, {'type': 'recent_return', 'value': 0.12348761282888421, 'quality': 0.617438064144421}, {'type': 'volatility', 'value': 0.020358837025039513, 'quality': 0.9796411629749605}]",increase,[compete] CommitteeTeamAgent reports a bullish signal on 600036.,2021-06-17,1528
6fdfb61f-134e-4246-b6f6-76d1d45e0f15,2021-05-28,DynamicTeamAgent,public,[],['600036'],medium,trend,bullish,0.7331765295251224,"[{'type': 'target_weight', 'quality': 0.1831765295251223}, {'type': 'recent_return', 'value': 0.12348761282888421, 'quality': 0.617438064144421}, {'type': 'volatility', 'value': 0.020358837025039513, 'quality': 0.9796411629749605}]",increase,[compete] DynamicTeamAgent reports a bullish signal on 600036.,2021-06-17,1529
1b29980f-649a-4838-abda-a7006019b938,2021-05-28,TruthfulReporterAgent,public,[],['300750'],medium,trend,bullish,0.8532678271072341,"[{'type': 'target_weight', 'quality': 0.3032678271072342}, {'type': 'recent_return', 'value': 0.17498565691336765, 'quality': 0.8749282845668382}, {'type': 'volatility', 'value': 0.028320109407272347, 'quality': 0.9716798905927276}]",increase,[compete] TruthfulReporterAgent reports a bullish signal on 300750.,2021-06-17,1530
08d5dfd6-3e78-4a2e-8dc1-b8d572e55ae4,2021-05-28,PersuaderAgent,public,[],['000002'],medium,trend,neutral,0.9,"[{'type': 'target_weight', 'quality': 0.1}, {'type': 'recent_return', 'value': -0.03508771929824561, 'quality': 0.17543859649122806}, {'type': 'volatility', 'value': 0.01202721239438053, 'quality': 0.9879727876056195}]",increase,[compete] PersuaderAgent strongly recommends increasing exposure to 000002.,2021-06-17,1531
2b0e03ae-78d4-4835-88f9-b97ed148711c,2021-05-28,ContrarianAgent,public,[],['000002'],medium,trend,bullish,0.7931150115831679,"[{'type': 'target_weight', 'quality': 0.24311501158316784}, {'type': 'recent_return', 'value': -0.03508771929824561, 'quality': 0.17543859649122806}, {'type': 'volatility', 'value': 0.01202721239438053, 'quality': 0.9879727876056195}]",increase,[compete] ContrarianAgent reports a bullish signal on 000002.,2021-06-17,1532
cbec1a1b-f5b7-48a0-b366-cd0c5fb0cc10,2021-05-28,SocialGraphAgent,public,[],['600036'],medium,trend,bullish,0.7331765295251224,"[{'type': 'target_weight', 'quality': 0.1831765295251223}, {'type': 'recent_return', 'value': 0.12348761282888421, 'quality': 0.617438064144421}, {'type': 'volatility', 'value': 0.020358837025039513, 'quality': 0.9796411629749605}]",increase,[compete] SocialGraphAgent reports a bullish signal on 600036.,2021-06-17,1533
1cc4c86c-9786-4d55-93ce-18feee96e9b9,2021-06-04,DrawdownBuyerAgent,private,"['LowVolatilityAgent', 'CommitteeTeamAgent', 'ContrarianAgent', 'SocialGraphAgent']",['000002'],medium,trend,bullish,0.7139163473443679,"[{'type': 'target_weight', 'quality': 0.263916347344368}, {'type': 'recent_return', 'value': -0.05964285714285722, 'quality': 0.2982142857142861}, {'type': 'volatility', 'value': 0.011723506461649331, 'quality': 0.9882764935383507}]",increase,[observe] DrawdownBuyerAgent reports a bullish signal on 000002.,2021-06-24,1705
b3e6c2ed-8408-4929-9383-76186fc385c1,2021-06-04,TruthfulReporterAgent,private,['MomentumAgent'],['300750'],medium,trend,bullish,0.6866099559050186,"[{'type': 'target_weight', 'quality': 0.23660995590501857}, {'type': 'recent_return', 'value': 0.17678610324548027, 'quality': 0.8839305162274014}, {'type': 'volatility', 'value': 0.028076777426462134, 'quality': 0.9719232225735379}]",increase,[cooperate] TruthfulReporterAgent reports a bullish signal on 300750.,2021-06-24,1706
52bbe357-e8d2-44a8-bae9-0e71c5c67f05,2021-06-04,PersuaderAgent,public,[],['000333'],medium,trend,bullish,1.0,"[{'type': 'target_weight', 'quality': 0.3253288468427849}, {'type': 'recent_return', 'value': 0.03529568460309007, 'quality': 0.17647842301545036}, {'type': 'volatility', 'value': 0.019272173562269707, 'quality': 0.9807278264377303}]",increase,[compete] PersuaderAgent strongly recommends increasing exposure to 000333.,2021-06-24,1707
e8b4106e-a48d-46d4-8c09-b05f7e98f876,2021-06-04,ContrarianAgent,public,[],['000002'],medium,trend,bullish,0.8139163473443679,"[{'type': 'target_weight', 'quality': 0.263916347344368}, {'type': 'recent_return', 'value': -0.05964285714285722, 'quality': 0.2982142857142861}, {'type': 'volatility', 'value': 0.011723506461649331, 'quality': 0.9882764935383507}]",increase,[compete] ContrarianAgent reports a bullish signal on 000002.,2021-06-24,1708
8c9bdd49-a10c-4bd9-84ef-6e3a72dab8a8,2021-06-04,SocialGraphAgent,public,[],['002415'],medium,trend,bullish,0.5731616808849614,"[{'type': 'target_weight', 'quality': 0.12316168088496146}, {'type': 'recent_return', 'value': 0.03034389750505717, 'quality': 0.15171948752528586}, {'type': 'volatility', 'value': 0.016647548904711523, 'quality': 0.9833524510952885}]",increase,[observe] SocialGraphAgent reports a bullish signal on 002415.,2021-06-24,1709
bfe4fefb-48a6-4457-bd00-383c783e7ee4,2021-06-11,DynamicTeamAgent,moments,[],['300750'],medium,trend,bullish,0.5950635335134536,"[{'type': 'target_weight', 'quality': 0.14506353351345364}, {'type': 'recent_return', 'value': 0.2589972144846797, 'quality': 1.0}, {'type': 'volatility', 'value': 0.03297098703210317, 'quality': 0.9670290129678968}]",increase,[observe] DynamicTeamAgent reports a bullish signal on 300750.,2021-07-01,1889
91312921-1497-483b-a3fc-55d594ce8d61,2021-06-11,TruthfulReporterAgent,private,['MomentumAgent'],['002594'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.4786686641047353, 'quality': 1.0}, {'type': 'volatility', 'value': 0.03172782482626422, 'quality': 0.9682721751737358}]",increase,[cooperate] TruthfulReporterAgent reports a bullish signal on 002594.,2021-07-01,1890
43189378-d62e-4268-8373-f41437bef0d2,2021-06-11,PersuaderAgent,public,[],['000333'],medium,trend,bullish,0.9647504287648625,"[{'type': 'target_weight', 'quality': 0.26475042876486254}, {'type': 'recent_return', 'value': -0.03192046049188901, 'quality': 0.15960230245944507}, {'type': 'volatility', 'value': 0.016140673375479832, 'quality': 0.9838593266245201}]",increase,[compete] PersuaderAgent strongly recommends increasing exposure to 000333.,2021-07-01,1891
20e7ab8d-3fc0-48e9-968d-ebe6a0be3b57,2021-06-11,ContrarianAgent,public,[],['000002'],medium,trend,bullish,0.8009560043454622,"[{'type': 'target_weight', 'quality': 0.2509560043454622}, {'type': 'recent_return', 'value': -0.0657554488363502, 'quality': 0.328777244181751}, {'type': 'volatility', 'value': 0.01106305145367, 'quality': 0.98893694854633}]",increase,[compete] ContrarianAgent reports a bullish signal on 000002.,2021-07-01,1892
