event_id,date,event_type,sender,receiver,status,similarity,detail
1,2022-01-03,friend_request,MomentumAgent,TruthfulReporterAgent,pending,,第 1 轮：MomentumAgent 申请添加 TruthfulReporterAgent 为好友
2,2022-01-03,friend_request,MomentumAgent,CommitteeTeamAgent,pending,,第 1 轮：MomentumAgent 申请添加 CommitteeTeamAgent 为好友
3,2022-01-03,friend_request,MeanReversionAgent,PersuaderAgent,pending,,第 1 轮：MeanReversionAgent 申请添加 PersuaderAgent 为好友
4,2022-01-03,friend_request,MeanReversionAgent,ContrarianAgent,pending,,第 1 轮：MeanReversionAgent 申请添加 ContrarianAgent 为好友
5,2022-01-03,friend_request,LowVolatilityAgent,FreeRiderAgent,pending,,第 1 轮：LowVolatilityAgent 申请添加 FreeRiderAgent 为好友
6,2022-01-03,friend_request,LowVolatilityAgent,CommitteeTeamAgent,pending,,第 1 轮：LowVolatilityAgent 申请添加 CommitteeTeamAgent 为好友
7,2022-01-03,friend_request,DrawdownBuyerAgent,ContrarianAgent,pending,,第 1 轮：DrawdownBuyerAgent 申请添加 ContrarianAgent 为好友
8,2022-01-03,friend_request,DrawdownBuyerAgent,CommitteeTeamAgent,pending,,第 1 轮：DrawdownBuyerAgent 申请添加 CommitteeTeamAgent 为好友
9,2022-01-03,friend_request,RandomAgent,CommitteeTeamAgent,pending,,第 1 轮：RandomAgent 申请添加 CommitteeTeamAgent 为好友
10,2022-01-03,friend_request,RandomAgent,DynamicTeamAgent,pending,,第 1 轮：RandomAgent 申请添加 DynamicTeamAgent 为好友
11,2022-01-03,friend_request,CommitteeTeamAgent,MomentumAgent,pending,,第 1 轮：CommitteeTeamAgent 申请添加 MomentumAgent 为好友
12,2022-01-03,friend_request,CommitteeTeamAgent,MeanReversionAgent,pending,,第 1 轮：CommitteeTeamAgent 申请添加 MeanReversionAgent 为好友
13,2022-01-03,friend_request,DynamicTeamAgent,MomentumAgent,pending,,第 1 轮：DynamicTeamAgent 申请添加 MomentumAgent 为好友
14,2022-01-03,friend_request,DynamicTeamAgent,MeanReversionAgent,pending,,第 1 轮：DynamicTeamAgent 申请添加 MeanReversionAgent 为好友
15,2022-01-03,friend_request,TruthfulReporterAgent,MomentumAgent,pending,,第 1 轮：TruthfulReporterAgent 申请添加 MomentumAgent 为好友
16,2022-01-03,friend_request,TruthfulReporterAgent,CommitteeTeamAgent,pending,,第 1 轮：TruthfulReporterAgent 申请添加 CommitteeTeamAgent 为好友
17,2022-01-03,friend_request,PersuaderAgent,MeanReversionAgent,pending,,第 1 轮：PersuaderAgent 申请添加 MeanReversionAgent 为好友
18,2022-01-03,friend_request,PersuaderAgent,ContrarianAgent,pending,,第 1 轮：PersuaderAgent 申请添加 ContrarianAgent 为好友
19,2022-01-03,friend_request,FreeRiderAgent,LowVolatilityAgent,pending,,第 1 轮：FreeRiderAgent 申请添加 LowVolatilityAgent 为好友
20,2022-01-03,friend_request,FreeRiderAgent,CommitteeTeamAgent,pending,,第 1 轮：FreeRiderAgent 申请添加 CommitteeTeamAgent 为好友
21,2022-01-03,friend_request,ContrarianAgent,MeanReversionAgent,pending,,第 1 轮：ContrarianAgent 申请添加 MeanReversionAgent 为好友
22,2022-01-03,friend_request,ContrarianAgent,DrawdownBuyerAgent,pending,,第 1 轮：ContrarianAgent 申请添加 DrawdownBuyerAgent 为好友
23,2022-01-03,friend_request,SocialGraphAgent,MomentumAgent,pending,,第 1 轮：SocialGraphAgent 申请添加 MomentumAgent 为好友
24,2022-01-03,friend_request,SocialGraphAgent,MeanReversionAgent,pending,,第 1 轮：SocialGraphAgent 申请添加 MeanReversionAgent 为好友
25,2022-01-03,friend_accept,MomentumAgent,TruthfulReporterAgent,accepted,1.0,TruthfulReporterAgent 通过了 MomentumAgent 的好友申请：strategy similarity 1.00 >= threshold 0.35
26,2022-01-03,friend_accept,MomentumAgent,CommitteeTeamAgent,accepted,0.6,CommitteeTeamAgent 通过了 MomentumAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
27,2022-01-03,friend_accept,MeanReversionAgent,PersuaderAgent,accepted,1.0,PersuaderAgent 通过了 MeanReversionAgent 的好友申请：strategy similarity 1.00 >= threshold 0.35
28,2022-01-03,friend_accept,MeanReversionAgent,ContrarianAgent,accepted,1.0,ContrarianAgent 通过了 MeanReversionAgent 的好友申请：strategy similarity 1.00 >= threshold 0.35
29,2022-01-03,friend_accept,LowVolatilityAgent,FreeRiderAgent,accepted,1.0,FreeRiderAgent 通过了 LowVolatilityAgent 的好友申请：strategy similarity 1.00 >= threshold 0.35
30,2022-01-03,friend_accept,LowVolatilityAgent,CommitteeTeamAgent,accepted,0.6,CommitteeTeamAgent 通过了 LowVolatilityAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
31,2022-01-03,friend_accept,DrawdownBuyerAgent,ContrarianAgent,accepted,1.0,ContrarianAgent 通过了 DrawdownBuyerAgent 的好友申请：strategy similarity 1.00 >= threshold 0.35
32,2022-01-03,friend_accept,DrawdownBuyerAgent,CommitteeTeamAgent,accepted,0.6,CommitteeTeamAgent 通过了 DrawdownBuyerAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
33,2022-01-03,friend_accept,RandomAgent,CommitteeTeamAgent,accepted,0.6,CommitteeTeamAgent 通过了 RandomAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
34,2022-01-03,friend_accept,RandomAgent,DynamicTeamAgent,accepted,0.6,DynamicTeamAgent 通过了 RandomAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
35,2022-01-03,friend_reject,CommitteeTeamAgent,MomentumAgent,rejected,0.6,MomentumAgent 拒绝了 CommitteeTeamAgent 的好友申请：already friends
36,2022-01-03,friend_reject,CommitteeTeamAgent,MeanReversionAgent,rejected,0.6,MeanReversionAgent 拒绝了 CommitteeTeamAgent 的好友申请：CommitteeTeamAgent reached max_friends=6
37,2022-01-03,friend_accept,DynamicTeamAgent,MomentumAgent,accepted,0.6,MomentumAgent 通过了 DynamicTeamAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
38,2022-01-03,friend_accept,DynamicTeamAgent,MeanReversionAgent,accepted,0.6,MeanReversionAgent 通过了 DynamicTeamAgent 的好友申请：strategy similarity 0.60 >= threshold 0.35
39,2022-01-03,friend_reject,TruthfulReporterAgent,MomentumAgent,rejected,1.0,MomentumAgent 拒绝了 TruthfulReporterAgent 的好友申请：already friends
40,2022-01-03,friend_reject,TruthfulReporterAgent,CommitteeTeamAgent,rejected,0.6,CommitteeTeamAgent 拒绝了 TruthfulReporterAgent 的好友申请：CommitteeTeamAgent reached max_friends=6
41,2022-01-03,friend_reject,PersuaderAgent,MeanReversionAgent,rejected,1.0,MeanReversionAgent 拒绝了 PersuaderAgent 的好友申请：already friends
42,2022-01-03,friend_accept,PersuaderAgent,ContrarianAgent,accepted,1.0,ContrarianAgent 通过了 PersuaderAgent 的好友申请：strategy similarity 1.00 >= threshold 0.35
